id,start_timestep,last_timestep,user_id,ideal_duration,protocol,duration,privacy_score
SW3OWM19A5BT,18049.25,18092.5,pedestrian_1-1-pt_1673,50.75,wifi,43.25,0.8522167487684729
IZ1CSHLJ2WFZ,18029.25,18093.5,pedestrian_1-1-pt_1773,70.75,wifi,64.25,0.9081272084805654
L473I7PLR5HQ,18069.25,18100.0,pedestrian_1-1-pt_2201,30.75,wifi,30.75,1.0
U3JWA4HMZW3Z,18014.25,18082.0,pedestrian_1-1-pt_2382,85.75,wifi,67.75,0.7900874635568513
32JGTA9LYOT9,18054.25,18086.5,pedestrian_1-1-pt_2498,45.75,wifi,32.25,0.7049180327868853
0YGVNVMNUP1H,18078.25,18100.0,pedestrian_1-1-pt_255,21.75,wifi,21.75,1.0
S3KNPGEE4454,18073.25,18100.0,pedestrian_1-1-pt_2770,26.75,wifi,26.75,1.0
MTTGIKHXAFFD,18083.25,18100.0,pedestrian_1-1-pt_2835,16.75,wifi,16.75,1.0
GW2CYKPW7NJO,18030.25,18097.75,pedestrian_1-1-pt_3251,69.75,wifi,67.5,0.967741935483871
TQOHBHZBKJAL,18032.25,18100.0,pedestrian_1-1-pt_3431,67.75,wifi,67.75,1.0
LWLQYMME9MNL,18097.25,18100.0,pedestrian_1-1-pt_4026,2.75,lte,2.75,1.0
PD3V38MQP0YL,18065.25,18100.0,pedestrian_1-1-pt_4187,34.75,wifi,34.75,1.0
89JJ2C9VNK2V,18076.25,18100.0,pedestrian_1-1-pt_4472,23.75,wifi,23.75,1.0
IIJQMCZZE53G,18073.25,18100.0,pedestrian_1-1-pt_4658,26.75,wifi,26.75,1.0
LUFNJBH43V70,18038.25,18089.25,pedestrian_1-1-pt_5078,61.75,wifi,51.0,0.8259109311740891
FHCNYEILW1LG,18075.25,18100.0,pedestrian_1-1-pt_5139,24.75,wifi,24.75,1.0
XMVTHBDWGBXR,18016.25,18060.0,pedestrian_1-1-pt_6269,83.75,wifi,43.75,0.5223880597014925
8HHMIL76TFCA,18046.25,18081.75,pedestrian_1-1-pt_6561,53.75,wifi,35.5,0.6604651162790698
MUGNGNU6VVDU,18031.25,18082.0,pedestrian_1-1-pt_7054,68.75,wifi,50.75,0.7381818181818182
8EAJO2SDSUVI,18001.25,18075.25,pedestrian_1-1-pt_7251,98.75,wifi,74.0,0.7493670886075949
VHBGPNZHQEUF,18013.25,18063.0,pedestrian_1-1-pt_8143,86.75,wifi,49.75,0.5734870317002881
578UH6SS9SIR,18045.25,18100.0,pedestrian_1-1-pt_8289,54.75,wifi,54.75,1.0
B4KIGCLCFRLG,18020.25,18079.25,pedestrian_1-1-pt_8365,79.75,wifi,59.0,0.7398119122257053
W5ETXYIQ74QK,18094.25,18100.0,pedestrian_1-1-pt_8618,5.75,wifi,5.75,1.0
C6SL54TGIDNM,18037.5,18094.0,pedestrian_1-1-pt_8637,96.75,wifi,56.5,0.5839793281653747
XUCL4VD344WP,18048.75,18098.75,pedestrian_1-1-pt_8795,90.75,wifi,50.0,0.5509641873278237
DQURFZSNMBMH,18029.25,18076.25,pedestrian_1-1-pt_8810,70.75,wifi,47.0,0.6643109540636042
9KRQQQUVF2RR,18004.25,18046.75,pedestrian_1-1-veh_105,95.75,wifi,42.5,0.44386422976501305
R3P0K6VNPHPQ,18032.25,18097.25,pedestrian_1-1-veh_546,67.75,wifi,65.0,0.959409594095941
O6PCOUKM02ZI,18073.25,18100.0,pedestrian_1-1-veh_668,26.75,wifi,26.75,1.0
9E747FHAXKUJ,18070.25,18100.0,pedestrian_1-1-veh_790,29.75,wifi,29.75,1.0
HVZXGMWW92LN,18008.25,18059.5,pedestrian_1-1-veh_886,91.75,wifi,51.25,0.55858310626703
CSPHVX3LVXPT,18092.25,18100.0,pedestrian_1-2_1559,7.75,wifi,7.75,1.0
56SEUGDIRXOX,18064.25,18100.0,pedestrian_1-2_1741,35.75,wifi,35.75,1.0
702C0EX5SE8D,18041.25,18100.0,pedestrian_1-2_1990,98.75,wifi,58.75,0.5949367088607594
TJ62F9NH7QYI,18064.25,18100.0,pedestrian_1-2_2171,35.75,wifi,35.75,1.0
A76NPXJC93X7,18041.25,18100.0,pedestrian_1-2_285,58.75,wifi,58.75,1.0
53Y0XI9ZWGKT,18058.25,18067.5,pedestrian_1-2_3821,9.25,lte,9.25,1.0
6BORO72LCB0U,18006.25,18071.5,pedestrian_1-2_3838,93.75,wifi,65.25,0.696
1JXWZMXNS6F3,18052.25,18100.0,pedestrian_1-2_3940,47.75,wifi,47.75,1.0
4YI8W8JI2A15,18085.25,18100.0,pedestrian_1-2_4327,14.75,wifi,14.75,1.0
UQ1PMGYCJBZ0,18069.25,18100.0,pedestrian_1-2_4454,30.75,wifi,30.75,1.0
CS7KFDURIMLB,18041.25,18065.0,pedestrian_1-2_4734,23.75,wifi,23.75,1.0
3ZT9EXLNSYHY,18041.5,18085.5,pedestrian_1-2_5770,88.75,wifi,44.0,0.49577464788732395
6D25UOTLYGZU,18061.25,18100.0,pedestrian_1-2_5791,38.75,wifi,38.75,1.0
W99EB1BW5WFY,18036.25,18086.75,pedestrian_1-2_609,63.75,wifi,50.5,0.792156862745098
NZGLQ5NQK4LJ,18052.25,18100.0,pedestrian_1-2_638,47.75,wifi,47.75,1.0
RYWSA330QBEC,18048.25,18078.25,pedestrian_1-3_1790,51.75,wifi,30.0,0.5797101449275363
IDWTVXDAP1J2,18031.25,18071.75,pedestrian_1-3_2018,68.75,wifi,40.5,0.5890909090909091
67295VJZ6XXT,18047.75,18091.25,pedestrian_1-3_2221,89.75,wifi,43.5,0.48467966573816157
03OLQ0US1Q2U,18001.25,18073.0,pedestrian_1-3_2374,98.75,wifi,71.75,0.7265822784810126
