id,start_timestep,last_timestep,user_id,ideal_duration,protocol,duration,privacy_score
MFYMYQWCW8H1,18058.25,18070.5,pedestrian_1-1-pt_1673,50.75,lte,12.25,0.2413793103448276
RCCO3LH4DI4N,18080.5,18092.5,pedestrian_1-1-pt_1773,70.75,lte,12.0,0.1696113074204947
NLSAD24E1DLI,18086.75,18097.0,pedestrian_1-1-pt_2201,30.75,lte,10.25,0.3333333333333333
HLH6P58T6GGR,18045.25,18058.25,pedestrian_1-1-pt_2382,85.75,lte,13.0,0.15160349854227406
N8GYEQJ84HYG,18069.75,18082.75,pedestrian_1-1-pt_2498,45.75,lte,13.0,0.28415300546448086
F0S3OTREHA5H,18087.25,18099.5,pedestrian_1-1-pt_255,21.75,lte,12.25,0.5632183908045977
GYWJBABCW1P4,18089.25,18100.0,pedestrian_1-1-pt_2770,26.75,lte,10.75,0.40186915887850466
LOFBBAMQRNL6,18088.25,18096.25,pedestrian_1-1-pt_2835,16.75,lte,8.0,0.47761194029850745
1HRIJCP1JFQT,18030.25,18044.0,pedestrian_1-1-pt_3251,69.75,lte,13.75,0.1971326164874552
APN4E4GBUA0N,18065.5,18077.0,pedestrian_1-1-pt_3431,67.75,lte,11.5,0.16974169741697417
LWLQYMME9MNL,18097.25,18100.0,pedestrian_1-1-pt_4026,2.75,lte,2.75,1.0
C24H79OSC15M,18065.25,18073.0,pedestrian_1-1-pt_4187,34.75,lte,7.75,0.22302158273381295
G7F6T4KC1WW1,18087.5,18100.0,pedestrian_1-1-pt_4472,23.75,lte,12.5,0.5263157894736842
14HGMZTQ09Z5,18073.25,18083.25,pedestrian_1-1-pt_4658,26.75,lte,10.0,0.37383177570093457
6G1E9NQHPZGR,18080.0,18093.0,pedestrian_1-1-pt_5078,61.75,lte,13.0,0.21052631578947367
BXWVFKG0I0H7,18075.25,18090.0,pedestrian_1-1-pt_5139,24.75,lte,14.75,0.5959595959595959
14KGRPXXRNEZ,18076.25,18090.5,pedestrian_1-1-pt_6269,83.75,lte,14.25,0.1701492537313433
OP02X2F3Z24C,18046.25,18059.25,pedestrian_1-1-pt_6561,53.75,lte,13.0,0.24186046511627907
CEH7XQGDLVN0,18079.25,18092.75,pedestrian_1-1-pt_7054,68.75,lte,13.5,0.19636363636363635
OTKL391DW29V,18039.0,18053.5,pedestrian_1-1-pt_7251,98.75,lte,14.5,0.1468354430379747
511YSC9Z731N,18056.5,18071.25,pedestrian_1-1-pt_8143,86.75,lte,14.75,0.17002881844380405
JDK1ZGKJ89VC,18077.0,18091.25,pedestrian_1-1-pt_8289,54.75,lte,14.25,0.2602739726027397
996OV0EUST2C,18053.75,18066.0,pedestrian_1-1-pt_8365,79.75,lte,12.25,0.1536050156739812
8VIVDXRUPV0K,18094.25,18100.0,pedestrian_1-1-pt_8618,5.75,lte,5.75,1.0
XVBQ4QK99EYU,18083.75,18098.5,pedestrian_1-1-pt_8637,96.75,lte,14.75,0.1524547803617571
W0QPOU19I6V8,18069.75,18082.25,pedestrian_1-1-pt_8795,90.75,lte,12.5,0.13774104683195593
KAKZZA7EHIIK,18060.25,18073.75,pedestrian_1-1-pt_8810,70.75,lte,13.5,0.19081272084805653
L4Y2VWKTGJO4,18072.0,18086.75,pedestrian_1-1-veh_105,95.75,lte,14.75,0.15404699738903394
79C6588P3DOU,18062.75,18076.75,pedestrian_1-1-veh_546,67.75,lte,14.0,0.2066420664206642
SLJDN2WGXYXT,18073.25,18085.75,pedestrian_1-1-veh_668,26.75,lte,12.5,0.4672897196261682
4N00KIIWB3NF,18079.25,18093.0,pedestrian_1-1-veh_790,29.75,lte,13.75,0.46218487394957986
1CDOC91ZFMQW,18075.25,18088.75,pedestrian_1-1-veh_886,91.75,lte,13.5,0.14713896457765668
AWP988HPF2SQ,18092.25,18098.5,pedestrian_1-2_1559,7.75,lte,6.25,0.8064516129032258
4CID5ZXG05QJ,18070.5,18084.25,pedestrian_1-2_1741,35.75,lte,13.75,0.38461538461538464
Y61Z27G7I0CX,18026.75,18041.0,pedestrian_1-2_1990,98.75,lte,14.25,0.14430379746835442
UIJGQ9JFZ7HS,18064.25,18076.25,pedestrian_1-2_2171,35.75,lte,12.0,0.3356643356643357
U97L46T1THTE,18056.5,18071.25,pedestrian_1-2_285,58.75,lte,14.75,0.251063829787234
