id,start_timestep,last_timestep,duration,ideal_duration,user_id,protocol,privacy_score
MFYMYQWCW8H1,18058.25,18070.5,12.25,50.75,pedestrian_1-1-pt_1673,lte,0.2413793103448276
RCCO3LH4DI4N,18080.5,18100.0,19.5,70.75,pedestrian_1-1-pt_1773,lte,0.2756183745583039
MZS6FRYKCJNN,18071.75,18099.75,28.0,30.75,pedestrian_1-1-pt_2201,lte,0.9105691056910569
HLH6P58T6GGR,18045.25,18058.25,13.0,85.75,pedestrian_1-1-pt_2382,lte,0.15160349854227406
YL4UBQWH7AW8,18054.25,18069.5,15.25,45.75,pedestrian_1-1-pt_2498,lte,0.3333333333333333
F0S3OTREHA5H,18087.25,18099.5,12.25,21.75,pedestrian_1-1-pt_255,lte,0.5632183908045977
8IVWU9KAZ1ZH,18073.25,18089.0,15.75,26.75,pedestrian_1-1-pt_2770,lte,0.5887850467289719
LOFBBAMQRNL6,18088.25,18096.25,8.0,16.75,pedestrian_1-1-pt_2835,lte,0.47761194029850745
1HRIJCP1JFQT,18030.25,18044.0,13.75,69.75,pedestrian_1-1-pt_3251,lte,0.1971326164874552
OZFWJR6OJ9CO,18040.5,18100.0,59.5,67.75,pedestrian_1-1-pt_3431,lte,0.8782287822878229
LWLQYMME9MNL,18097.25,18100.0,2.75,2.75,pedestrian_1-1-pt_4026,lte,1.0
N9QUV97TP9DV,18073.25,18091.25,18.0,34.75,pedestrian_1-1-pt_4187,lte,0.5179856115107914
G7F6T4KC1WW1,18087.5,18100.0,12.5,23.75,pedestrian_1-1-pt_4472,lte,0.5263157894736842
B4AM2H5XWKEN,18083.5,18100.0,16.5,26.75,pedestrian_1-1-pt_4658,lte,0.616822429906542
ENQIEJQRHANS,18038.25,18052.75,14.5,61.75,pedestrian_1-1-pt_5078,lte,0.23481781376518218
BXWVFKG0I0H7,18075.25,18090.0,14.75,24.75,pedestrian_1-1-pt_5139,lte,0.5959595959595959
K4KWI13SS32O,18024.5,18062.75,38.25,83.75,pedestrian_1-1-pt_6269,lte,0.45671641791044776
19EUGXORXE1K,18069.0,18098.0,29.0,53.75,pedestrian_1-1-pt_6561,lte,0.5395348837209303
CEH7XQGDLVN0,18079.25,18092.75,13.5,68.75,pedestrian_1-1-pt_7054,lte,0.19636363636363635
5T0TGB33R16N,18001.25,18020.75,19.5,98.75,pedestrian_1-1-pt_7251,lte,0.19746835443037974
7BKDKMKUK0GO,18026.0,18071.25,45.25,86.75,pedestrian_1-1-pt_8143,lte,0.521613832853026
U5PAIDVOPBPN,18068.0,18100.0,32.0,54.75,pedestrian_1-1-pt_8289,lte,0.5844748858447488
108CVBHBAHPR,18020.25,18037.5,17.25,79.75,pedestrian_1-1-pt_8365,lte,0.21630094043887146
8VIVDXRUPV0K,18094.25,18100.0,5.75,5.75,pedestrian_1-1-pt_8618,lte,1.0
JZKL6PSVRBA2,18039.25,18058.0,18.75,96.75,pedestrian_1-1-pt_8637,lte,0.1937984496124031
9GWD6XP8LVMN,18009.25,18034.25,25.0,90.75,pedestrian_1-1-pt_8795,lte,0.27548209366391185
KAKZZA7EHIIK,18060.25,18073.75,13.5,70.75,pedestrian_1-1-pt_8810,lte,0.19081272084805653
L4Y2VWKTGJO4,18072.0,18086.75,14.75,95.75,pedestrian_1-1-veh_105,lte,0.15404699738903394
79C6588P3DOU,18062.75,18076.75,14.0,67.75,pedestrian_1-1-veh_546,lte,0.2066420664206642
SLJDN2WGXYXT,18073.25,18085.75,12.5,26.75,pedestrian_1-1-veh_668,lte,0.4672897196261682
4N00KIIWB3NF,18079.25,18093.0,13.75,29.75,pedestrian_1-1-veh_790,lte,0.46218487394957986
OX3UAY8DSQOR,18066.0,18088.75,22.75,91.75,pedestrian_1-1-veh_886,lte,0.24795640326975477
AWP988HPF2SQ,18092.25,18100.0,7.75,7.75,pedestrian_1-2_1559,lte,1.0
4CID5ZXG05QJ,18070.5,18084.25,13.75,35.75,pedestrian_1-2_1741,lte,0.38461538461538464
CSZW5HERU0UE,18015.25,18041.0,25.75,98.75,pedestrian_1-2_1990,lte,0.2607594936708861
UIJGQ9JFZ7HS,18064.25,18076.25,12.0,35.75,pedestrian_1-2_2171,lte,0.3356643356643357
WDHGDYVKKT3Y,18053.5,18071.25,17.75,58.75,pedestrian_1-2_285,lte,0.3021276595744681
53Y0XI9ZWGKT,18058.25,18067.5,9.25,9.25,pedestrian_1-2_3821,lte,1.0
PX7R8B7L149P,18052.25,18066.75,14.5,93.75,pedestrian_1-2_3838,lte,0.15466666666666667
3UNLNFEFJBBW,18052.25,18068.5,16.25,47.75,pedestrian_1-2_3940,lte,0.3403141361256545
L6KF26A5EVRG,18085.25,18099.0,13.75,14.75,pedestrian_1-2_4327,lte,0.9322033898305084
TB83ITXEOR57,18069.25,18096.5,27.25,30.75,pedestrian_1-2_4454,lte,0.8861788617886179
40P9YFZ029S6,18050.0,18063.0,13.0,23.75,pedestrian_1-2_4734,lte,0.5473684210526316
C8AUJAGJGIJB,18070.25,18086.5,16.25,88.75,pedestrian_1-2_5770,lte,0.18309859154929578
VY004E6P2Y64,18064.5,18097.25,32.75,38.75,pedestrian_1-2_5791,lte,0.8451612903225807
7ODVRTFDIMSY,18083.5,18100.0,16.5,63.75,pedestrian_1-2_609,lte,0.25882352941176473
P0W3W1FMVLHM,18052.25,18089.5,37.25,47.75,pedestrian_1-2_638,lte,0.7801047120418848
E3HH7C3COVRF,18048.25,18074.0,25.75,51.75,pedestrian_1-3_1790,lte,0.4975845410628019
BTOZI7M4VFKD,18031.25,18045.5,14.25,68.75,pedestrian_1-3_2018,lte,0.20727272727272728
8LNEZES32972,18062.5,18097.25,34.75,89.75,pedestrian_1-3_2221,lte,0.3871866295264624
A7TBK73HMZ7O,18006.0,18038.5,32.5,98.75,pedestrian_1-3_2374,lte,0.3291139240506329
W0VEYP08I114,18022.0,18033.5,11.5,49.25,pedestrian_1-3_2410,lte,0.233502538071066
1OEMG6TY5C56,18070.25,18085.0,14.75,43.75,pedestrian_1-3_2454,lte,0.33714285714285713
6MANVP2U377T,18080.25,18094.25,14.0,39.75,pedestrian_1-3_268,lte,0.3522012578616352
