id,start_timestep,last_timestep,user_id,ideal_duration,protocol,duration,privacy_score
UPPFFKPUKYF9,19362.25,19373.5,pedestrian_1-1-pt_0,97.75,lte,11.25,0.11508951406649616
E3VQXNXJY5RE,18150.25,18164.75,pedestrian_1-1-pt_1006,118.0,lte,14.5,0.1228813559322034
Y2DSP5OKRLFH,19236.5,19251.0,pedestrian_1-1-pt_1011,283.75,lte,14.5,0.05110132158590308
9A18OOOR6W75,18965.75,18980.5,pedestrian_1-1-pt_1022,469.75,lte,14.75,0.03139968068121341
BEOZE01H0S66,19385.75,19397.75,pedestrian_1-1-pt_1037,39.75,lte,12.0,0.3018867924528302
BQEGGXZVM9CX,18726.25,18738.75,pedestrian_1-1-pt_1039,97.75,lte,12.5,0.1278772378516624
GAF4J3HOHAOB,18996.5,19011.25,pedestrian_1-1-pt_1040,797.75,lte,14.75,0.018489501723597618
JDL14G9ZVFZG,19102.0,19116.75,pedestrian_1-1-pt_1073,525.5,lte,14.75,0.028068506184586107
3N9ILWHEF4N9,19022.75,19037.5,pedestrian_1-1-pt_1078,535.75,lte,14.75,0.027531497900139992
OGLW5LQVUG6M,18916.25,18931.0,pedestrian_1-1-pt_1108,895.75,lte,14.75,0.016466648060284677
3UOJWV1GET5K,19222.5,19236.0,pedestrian_1-1-pt_111,209.75,lte,13.5,0.06436233611442194
C9JDXX6M8N0L,19357.5,19372.25,pedestrian_1-1-pt_1121,115.75,lte,14.75,0.12742980561555076
6DHG2F2OPMLY,18693.0,18707.75,pedestrian_1-1-pt_1134,1186.75,lte,14.75,0.012428902464714557
SD9QQ3IN5HL9,18755.75,18770.5,pedestrian_1-1-pt_1142,1190.75,lte,14.75,0.012387150955280285
THYDHEZ1V708,19263.5,19278.25,pedestrian_1-1-pt_1167,457.75,lte,14.75,0.03222282905516111
2UV71CTKK79N,18768.0,18782.75,pedestrian_1-1-pt_1169,907.75,lte,14.75,0.016248967226659323
OP4J004ERN6O,18819.25,18834.0,pedestrian_1-1-pt_1173,580.75,lte,14.75,0.025398191993112353
D3CZZUWDACPX,18735.75,18750.5,pedestrian_1-1-pt_1215,680.75,lte,14.75,0.021667278736687477
6X8M3OCJYGCP,18928.25,18943.0,pedestrian_1-1-pt_1223,839.75,lte,14.75,0.017564751414111342
UGLQ1HLPMLRK,18844.0,18858.0,pedestrian_1-1-pt_1227,329.75,lte,14.0,0.04245640636846096
V60D8HXK8PU4,18797.25,18812.0,pedestrian_1-1-pt_1238,602.75,lte,14.75,0.024471173786810452
