id,start_timestep,last_timestep,user_id,ideal_duration,protocol,duration,privacy_score
K7LUSXYNXUO9,18076.25,18086.75,pedestrian_1-1-pt_1673,51.75,lte,10.5,0.2028985507246377
7F9Z831TO6EN,18032.25,18047.0,pedestrian_1-1-pt_1773,71.75,lte,14.75,0.20557491289198607
N67S31RJI9O1,18085.5,18100.0,pedestrian_1-1-pt_2201,31.75,lte,14.5,0.4566929133858268
5KQ913700IL2,18014.25,18028.0,pedestrian_1-1-pt_2382,86.75,lte,13.75,0.1585014409221902
P6DM8V0D5CBZ,18071.0,18083.5,pedestrian_1-1-pt_2498,46.75,lte,12.5,0.26737967914438504
OO0H52YRR4CE,18083.75,18093.0,pedestrian_1-1-pt_255,22.75,lte,9.25,0.4065934065934066
6264QF9405EI,18087.0,18101.0,pedestrian_1-1-pt_2770,27.75,lte,14.0,0.5045045045045045
T57E0GWFQZGD,18083.25,18097.5,pedestrian_1-1-pt_2835,17.75,lte,14.25,0.8028169014084507
G8ZYJLP5GL0E,18047.0,18058.25,pedestrian_1-1-pt_3251,70.75,lte,11.25,0.15901060070671377
WF7HTR9HEZ54,18084.75,18099.25,pedestrian_1-1-pt_3431,68.75,lte,14.5,0.2109090909090909
393IATS3D90N,18097.25,18101.0,pedestrian_1-1-pt_4026,3.75,lte,3.75,1.0
R21AOQ2102W2,18083.75,18096.25,pedestrian_1-1-pt_4187,35.75,lte,12.5,0.34965034965034963
IQEZVVC4T6L1,18076.25,18087.25,pedestrian_1-1-pt_4472,24.75,lte,11.0,0.4444444444444444
XVRU8EFTOSAW,18085.0,18098.5,pedestrian_1-1-pt_4658,27.75,lte,13.5,0.4864864864864865
1H4GZQ452EOL,18084.25,18098.5,pedestrian_1-1-pt_5078,62.75,lte,14.25,0.22709163346613545
5QIEG117JETS,18075.25,18085.25,pedestrian_1-1-pt_5139,25.75,lte,10.0,0.3883495145631068
3DQU27X82NT4,18030.75,18044.25,pedestrian_1-1-pt_6269,84.75,lte,13.5,0.1592920353982301
B074H3470PCQ,18083.5,18098.0,pedestrian_1-1-pt_6561,54.75,lte,14.5,0.2648401826484018
JNS0305GWSE3,18045.0,18059.0,pedestrian_1-1-pt_7054,69.75,lte,14.0,0.2007168458781362
MW9YS0218XXO,18028.5,18043.25,pedestrian_1-1-pt_7251,99.75,lte,14.75,0.14786967418546365
4VMCNZYYEQT4,18062.0,18075.0,pedestrian_1-1-pt_8143,87.75,lte,13.0,0.14814814814814814
64DBXKQNG23J,18062.5,18076.5,pedestrian_1-1-pt_8289,55.75,lte,14.0,0.25112107623318386
OWCZX3MYAAHC,18020.25,18035.0,pedestrian_1-1-pt_8365,80.75,lte,14.75,0.1826625386996904
GSC58NCDOUJF,18094.25,18101.0,pedestrian_1-1-pt_8618,6.75,lte,6.75,1.0
YPZVE77LR1WY,18039.0,18052.0,pedestrian_1-1-pt_8637,97.75,lte,13.0,0.1329923273657289
S3RSEMVGDLLS,18080.25,18095.0,pedestrian_1-1-pt_8795,91.75,lte,14.75,0.16076294277929154
X214DSOHR935,18064.25,18078.5,pedestrian_1-1-pt_8810,71.75,lte,14.25,0.1986062717770035
ULCP1NDWV57I,18075.25,18089.25,pedestrian_1-1-veh_105,96.75,lte,14.0,0.14470284237726097
04ZGFDC1QXOC,18032.25,18046.25,pedestrian_1-1-veh_546,68.75,lte,14.0,0.20363636363636364
