id,start_timestep,last_timestep,duration,ideal_duration,user_id,protocol,privacy_score
E3VQXNXJY5RE,18150.25,18164.75,14.5,118.0,pedestrian_1-1-pt_1006,lte,0.1228813559322034
32LNS3TUFUKZ,18338.0,18352.25,14.25,150.75,pedestrian_1-1-pt_1134,lte,0.0945273631840796
W2ZO5FQ6YG6X,18230.25,18244.0,13.75,154.75,pedestrian_1-1-pt_1142,lte,0.0888529886914378
OG3V8H0VSGGZ,18287.25,18300.5,13.25,76.75,pedestrian_1-1-pt_1253,lte,0.17263843648208468
C4EUUOCMQNR6,18262.75,18276.25,13.5,220.75,pedestrian_1-1-pt_1669,lte,0.061155152887882216
4GS6PRTWSCYT,18319.0,18333.5,14.5,314.75,pedestrian_1-1-pt_1673,lte,0.046068308181096106
8NJ10EB19INS,18214.0,18228.25,14.25,34.75,pedestrian_1-1-pt_1747,lte,0.41007194244604317
ETFF662XONFD,18082.25,18117.5,35.25,334.75,pedestrian_1-1-pt_1773,lte,0.1053024645257655
7SGAI9YR5ZVP,18332.5,18347.0,14.5,165.75,pedestrian_1-1-pt_1780,lte,0.08748114630467571
GQK21Z5PQUTO,18323.25,18332.75,9.5,40.75,pedestrian_1-1-pt_1949,lte,0.2331288343558282
1IMGRGE8H5DJ,18353.0,18358.0,5.0,13.75,pedestrian_1-1-pt_2162,lte,0.36363636363636365
BNZZMP96NNV2,18075.75,18123.0,47.25,294.75,pedestrian_1-1-pt_2201,lte,0.16030534351145037
7NQUX5P3QNAE,18302.75,18317.5,14.75,92.75,pedestrian_1-1-pt_2342,lte,0.15902964959568733
XXY6P4XYF63J,18307.25,18320.5,13.25,70.75,pedestrian_1-1-pt_237,lte,0.1872791519434629
QEJCYT55JHOU,18105.25,18128.5,23.25,349.75,pedestrian_1-1-pt_2382,lte,0.06647605432451752
GT8579HOSVZH,18159.25,18174.0,14.75,309.75,pedestrian_1-1-pt_2498,lte,0.047619047619047616
TBVS9TFVHKX0,18179.0,18193.75,14.75,189.75,pedestrian_1-1-pt_250,lte,0.077733860342556
99SI585P1XA5,18291.5,18304.5,13.0,110.75,pedestrian_1-1-pt_2534,lte,0.11738148984198646
YUXQ3N466VCG,18232.75,18246.5,13.75,285.75,pedestrian_1-1-pt_255,lte,0.048118985126859144
5OTA6KO6H84G,18321.25,18336.0,14.75,277.75,pedestrian_1-1-pt_2770,lte,0.05310531053105311
T57E0GWFQZGD,18083.25,18097.5,14.25,280.75,pedestrian_1-1-pt_2835,lte,0.05075690115761353
7C5ST81W27CK,18133.25,18148.0,14.75,104.75,pedestrian_1-1-pt_306,lte,0.14081145584725538
TQMN3T77U6FB,18294.25,18308.0,13.75,69.75,pedestrian_1-1-pt_317,lte,0.1971326164874552
ZKZ7E5S6WL4Z,18336.0,18350.25,14.25,227.75,pedestrian_1-1-pt_319,lte,0.06256860592755215
6AKWC0B7GH00,18274.0,18288.75,14.75,107.75,pedestrian_1-1-pt_325,lte,0.1368909512761021
W28AK8E3RJEB,18038.25,18061.25,23.0,333.75,pedestrian_1-1-pt_3251,lte,0.06891385767790262
NCDH9RSKBKTY,18058.75,18099.25,40.5,331.75,pedestrian_1-1-pt_3431,lte,0.12207987942727958
