id,start_timestep,last_timestep,duration,ideal_duration,user_id,protocol,privacy_score
M58HJY05EAN2,18049.25,18079.5,30.25,51.75,pedestrian_1-1-pt_1673,wifi,0.5845410628019324
ECMGHSA2NVB9,18029.25,18087.0,57.75,71.75,pedestrian_1-1-pt_1773,wifi,0.8048780487804879
0IUVDKALXIJA,18069.25,18101.0,31.75,31.75,pedestrian_1-1-pt_2201,wifi,1.0
2LEM2BUR20FX,18014.25,18077.75,63.5,86.75,pedestrian_1-1-pt_2382,wifi,0.7319884726224783
5W17BOUPCRFE,18054.25,18101.0,46.75,46.75,pedestrian_1-1-pt_2498,wifi,1.0
IQ1P68NSQ42U,18078.25,18101.0,22.75,22.75,pedestrian_1-1-pt_255,wifi,1.0
JXJXOH9TWW5G,18073.25,18101.0,27.75,27.75,pedestrian_1-1-pt_2770,wifi,1.0
CJFWWRJ1LL0X,18083.25,18101.0,17.75,17.75,pedestrian_1-1-pt_2835,wifi,1.0
3QTN7UDWBEK9,18030.25,18069.5,39.25,70.75,pedestrian_1-1-pt_3251,wifi,0.5547703180212014
2Z0SY6TF0AFA,18032.25,18090.75,58.5,68.75,pedestrian_1-1-pt_3431,wifi,0.850909090909091
GZZ9Z8YG6AST,18097.25,18101.0,3.75,3.75,pedestrian_1-1-pt_4026,wifi,1.0
RWSFB9N2EGWF,18065.25,18101.0,35.75,35.75,pedestrian_1-1-pt_4187,wifi,1.0
YQIBPT5SEIMC,18076.25,18101.0,24.75,24.75,pedestrian_1-1-pt_4472,wifi,1.0
YM66U8XIXKFX,18073.25,18101.0,27.75,27.75,pedestrian_1-1-pt_4658,wifi,1.0
YSGGL0MWNGF9,18038.25,18098.5,60.25,62.75,pedestrian_1-1-pt_5078,wifi,0.9601593625498008
1YDS86IRAJ1G,18075.25,18101.0,25.75,25.75,pedestrian_1-1-pt_5139,wifi,1.0
VO4H0OWQUWTS,18016.25,18084.25,68.0,84.75,pedestrian_1-1-pt_6269,wifi,0.8023598820058997
QRVPZE924GO2,18046.25,18101.0,54.75,54.75,pedestrian_1-1-pt_6561,wifi,1.0
MFQSNU5Z6R5S,18031.25,18076.75,45.5,69.75,pedestrian_1-1-pt_7054,wifi,0.6523297491039427
PLER7W33613Y,18001.25,18068.75,67.5,99.75,pedestrian_1-1-pt_7251,wifi,0.6766917293233082
0MGTRIS86ZNL,18013.25,18068.0,54.75,87.75,pedestrian_1-1-pt_8143,wifi,0.6239316239316239
