id,start_timestep,last_timestep,user_id,ideal_duration,protocol,duration,privacy_score
BR79O0CIKGRS,19302.25,19370.0,pedestrian_1-1-pt_0,97.75,wifi,67.75,0.6930946291560103
29JCPQGKD7NR,18200.0,18254.75,pedestrian_1-1-pt_1006,118.0,wifi,54.75,0.4639830508474576
ZKN877XZ3XFY,19116.25,19190.25,pedestrian_1-1-pt_1011,283.75,wifi,74.0,0.2607929515418502
2I0FO5HD1CYR,18898.25,18968.0,pedestrian_1-1-pt_1022,469.75,wifi,69.75,0.1484832357637041
DED507W74DX3,19360.25,19400.0,pedestrian_1-1-pt_1037,39.75,wifi,39.75,1.0
IZZODTULINHY,18767.25,18823.0,pedestrian_1-1-pt_1039,97.75,wifi,55.75,0.5703324808184144
0IV8H381M1I7,18645.5,18718.75,pedestrian_1-1-pt_1040,797.75,wifi,73.25,0.09182074584769664
NJAUTWYZ44UL,19116.0,19183.75,pedestrian_1-1-pt_1073,525.5,wifi,67.75,0.12892483349191247
365CZ95RPRA4,19091.0,19161.75,pedestrian_1-1-pt_1078,535.75,wifi,70.75,0.13205786280914605
CH6NQ7VW8CU2,18568.25,18640.25,pedestrian_1-1-pt_1108,895.75,wifi,72.0,0.08037957019257605
J9GA49V14MWD,19190.25,19241.5,pedestrian_1-1-pt_111,209.75,wifi,51.25,0.24433849821215733
30NZHJSCHNBH,19284.25,19348.0,pedestrian_1-1-pt_1121,115.75,wifi,63.75,0.550755939524838
M88J1T4P8F3M,18582.75,18657.5,pedestrian_1-1-pt_1134,1186.75,wifi,74.75,0.06298714977880766
LAHRKWPDGP1G,19031.75,19100.5,pedestrian_1-1-pt_1142,1190.75,wifi,68.75,0.057736720554272515
ZXDINRT4L4YN,18984.75,19054.5,pedestrian_1-1-pt_1167,457.75,wifi,69.75,0.1523757509557619
322L21XM0947,19272.75,19345.25,pedestrian_1-1-pt_1169,907.75,wifi,72.5,0.07986780501239328
7W8H9TIU9CY8,18885.5,18952.25,pedestrian_1-1-pt_1173,580.75,wifi,66.75,0.1149375807145932
LFTPEV71GXM1,18946.5,19017.75,pedestrian_1-1-pt_1215,680.75,wifi,71.25,0.1046639735585751
NL1AHB94KR8P,19216.25,19290.25,pedestrian_1-1-pt_1223,839.75,wifi,74.0,0.08812146472164335
00AGCYQ39NC3,18650.75,18721.0,pedestrian_1-1-pt_1227,329.75,wifi,70.25,0.21304018195602728
MQD91CBQSGJ3,18942.25,19009.75,pedestrian_1-1-pt_1238,602.75,wifi,67.5,0.11198672749896309
W8UG98CDT4B7,18511.75,18583.25,pedestrian_1-1-pt_1253,719.75,wifi,71.5,0.09934004862799584
XZ8KY4Q81B64,19298.75,19363.0,pedestrian_1-1-pt_1259,205.75,wifi,64.25,0.31227217496962334
H653X1WCXRY0,18917.0,18987.0,pedestrian_1-1-pt_1270,930.75,wifi,70.0,0.07520816545796401
LN2MDDEO33AN,18846.25,18920.25,pedestrian_1-1-pt_1296,553.75,wifi,74.0,0.13363431151241534
BXQXPO3QEEYT,18948.75,19019.0,pedestrian_1-1-pt_1298,534.75,wifi,70.25,0.131369798971482
8IPQIYB8EWHY,19346.25,19380.0,pedestrian_1-1-pt_1304,53.75,wifi,33.75,0.627906976744186
OYP3VR05FXUN,19116.75,19181.75,pedestrian_1-1-pt_1306,371.75,wifi,65.0,0.17484868863483524
I24FKD6QCD8W,18582.0,18638.75,pedestrian_1-1-pt_1329,187.25,wifi,56.75,0.3030707610146863
5BEQCK5NPG3X,19340.25,19380.75,pedestrian_1-1-pt_1390,59.75,wifi,40.5,0.6778242677824268
9KX5NXXRBUKS,19173.25,19231.5,pedestrian_1-1-pt_1403,226.75,wifi,58.25,0.25689084895259096
YFMQQSV58ZQ4,18978.75,19049.25,pedestrian_1-1-pt_1414,721.75,wifi,70.5,0.09767925181849671
RH12Q7BE0AUD,19225.25,19299.75,pedestrian_1-1-pt_1420,355.75,wifi,74.5,0.20941672522839072
EPB7IG83AV78,19297.25,19369.75,pedestrian_1-1-pt_1440,1026.75,wifi,72.5,0.07061115169223277
W01ZMON9PHWV,19368.25,19400.0,pedestrian_1-1-pt_1473,31.75,wifi,31.75,1.0
Y1141ZO36OWV,18667.5,18739.5,pedestrian_1-1-pt_1475,363.0,wifi,72.0,0.19834710743801653
F1VZYM9BK32D,19309.25,19356.5,pedestrian_1-1-pt_150,90.75,wifi,47.25,0.5206611570247934
MQUEYBYQCWY3,18984.5,19056.25,pedestrian_1-1-pt_1531,506.75,wifi,71.75,0.1415885545140602
C7EARXGA3UI6,18682.25,18752.25,pedestrian_1-1-pt_1560,893.75,wifi,70.0,0.07832167832167833
X3O5A5GM05TL,19244.75,19317.5,pedestrian_1-1-pt_1601,147.5,wifi,72.75,0.49322033898305084
O08W0DODRWC9,19006.25,19064.75,pedestrian_1-1-pt_1633,427.75,wifi,58.5,0.13676212741087085
RJXVWW2FXL0P,19289.0,19360.5,pedestrian_1-1-pt_1665,924.75,wifi,71.5,0.07731819410651528
EE8RV355BF81,18272.5,18346.0,pedestrian_1-1-pt_1669,612.25,wifi,73.5,0.12004899959167006
73PAM7XUVCIV,18184.0,18255.5,pedestrian_1-1-pt_1673,418.75,wifi,71.5,0.1707462686567164
14ZV0HBPUK5P,18863.0,18935.25,pedestrian_1-1-pt_1695,361.5,wifi,72.25,0.19986168741355465
REVGMBZYTP5O,19341.5,19400.0,pedestrian_1-1-pt_17,114.75,wifi,58.5,0.5098039215686274
SOYFY0IUXLII,18686.25,18753.25,pedestrian_1-1-pt_1714,109.25,wifi,67.0,0.6132723112128147
U6R6PM6MLI44,18861.5,18936.25,pedestrian_1-1-pt_1720,971.75,wifi,74.75,0.07692307692307693
SZOT3P7L2YA5,19259.0,19322.75,pedestrian_1-1-pt_1736,253.75,wifi,63.75,0.2512315270935961
4IVFESPQ3CVC,18207.25,18242.0,pedestrian_1-1-pt_1747,34.75,wifi,34.75,1.0
5UFHLE95NF3U,18402.25,18476.75,pedestrian_1-1-pt_1770,448.0,wifi,74.5,0.16629464285714285
XF4QXG77JH4N,18521.5,18595.0,pedestrian_1-1-pt_1773,576.0,wifi,73.5,0.12760416666666666
40CQEKTGVXGJ,18769.5,18840.0,pedestrian_1-1-pt_1780,909.25,wifi,70.5,0.0775364311245532
G1PKH4Q16QWH,18767.5,18840.25,pedestrian_1-1-pt_1797,1008.75,wifi,72.75,0.07211895910780669
LIEODNRYXBD5,18867.0,18939.75,pedestrian_1-1-pt_1809,621.75,wifi,72.75,0.11700844390832328
X0J9ALNO09IR,19140.0,19193.75,pedestrian_1-1-pt_182,163.5,wifi,53.75,0.3287461773700306
MJ0BBSET8SWH,18899.25,18974.0,pedestrian_1-1-pt_1829,290.5,wifi,74.75,0.2573149741824441
5YVLA82FGYPT,19285.25,19354.75,pedestrian_1-1-pt_1903,114.75,wifi,69.5,0.6056644880174292
FRHORCROEA50,19127.25,19199.25,pedestrian_1-1-pt_1910,500.75,wifi,72.0,0.14378432351472792
0FVNCANV5HZB,18608.25,18682.25,pedestrian_1-1-pt_1933,791.75,wifi,74.0,0.09346384591095674
0QXNJPXIHJBA,18864.25,18938.0,pedestrian_1-1-pt_1949,1076.75,wifi,73.75,0.0684931506849315
HS0R8GO8TA4D,18980.25,19053.0,pedestrian_1-1-pt_1966,525.75,wifi,72.75,0.1383737517831669
UOZYVH1W225N,19197.25,19271.75,pedestrian_1-1-pt_2013,256.75,wifi,74.5,0.2901655306718598
