id1,id2,start_timestep,last_timestep,duration,user_id,ideal_duration,protocol_id1,protocol_id2,privacy_score
7S7VXI6QPAWH,PLER7W33613Y,18001.25,18358.5,357.25,pedestrian_1-1-pt_7251,1181.75,lte,wifi,0.3023059022635921
IN29P3P2AE2X,GJGJ54SCHLXP,18001.25,18193.5,192.25,pedestrian_1-2_1990,196.5,lte,wifi,0.9783715012722646
TKJS90SEYF1R,GLVDUMS5NPM6,18001.25,18159.25,158.0,pedestrian_1-3_2374,165.75,lte,wifi,0.9532428355957768
GN60IZZHIYTO,IL0TOSIZATEO,18003.25,18652.25,649.0,pedestrian_1-1-pt_8637,660.0,lte,wifi,0.9833333333333333
HK2I9BRODF4N,C28ZQ3WSBD8V,18003.25,18052.5,49.25,pedestrian_1-3_2410,49.25,lte,wifi,1.0
R69UJBJY5O0T,ZURHIZ5IPCI8,18004.25,18246.75,242.5,pedestrian_1-1-veh_105,250.25,lte,wifi,0.9690309690309691
8MU0U68RWA1O,6UPMGCJC0Q4N,18006.25,18325.0,318.75,pedestrian_1-2_3838,327.25,wifi,lte,0.974025974025974
IOPYL30H38RJ,77FGUYBO7J8M,18008.25,18116.25,108.0,pedestrian_1-3_4838,113.5,wifi,lte,0.9515418502202643
ZDTCCJYPAD5E,S3BDRXV0BMWL,18008.25,18227.75,219.5,pedestrian_1-1-veh_886,224.25,wifi,lte,0.9788182831661093
QD861X3P8BAJ,O0UCADZHEO8I,18009.25,18185.25,176.0,pedestrian_1-1-pt_8795,188.25,lte,wifi,0.9349269588313412
9W368RTXZMIS,PUZHCDHOL0T7,18010.25,18209.25,199.0,pedestrian_1-3_2221,199.5,wifi,lte,0.9974937343358395
ZCFWUA30NN6P,1RXMBGSYLIQG,18010.25,18127.0,116.75,pedestrian_1-3_3320,123.0,wifi,lte,0.9491869918699187
RUIG7Q99KHNK,5C5NHSBFZVPF,18011.25,18168.5,157.25,pedestrian_1-2_5770,159.75,wifi,lte,0.9843505477308294
ZCUGJ5PPXB8Y,0MGTRIS86ZNL,18013.25,18374.5,361.25,pedestrian_1-1-pt_8143,709.25,lte,wifi,0.5093408530137469
5KQ913700IL2,2LEM2BUR20FX,18014.25,18408.0,393.75,pedestrian_1-1-pt_2382,1361.0,lte,wifi,0.28930933137398973
VO4H0OWQUWTS,MFP7RPYM6EOU,18016.25,18448.75,432.5,pedestrian_1-1-pt_6269,1029.25,wifi,lte,0.4202088899684236
PAJKBO4Z2TSU,OWCZX3MYAAHC,18020.25,18155.75,135.5,pedestrian_1-1-pt_8365,566.5,wifi,lte,0.23918799646954986
JB6DT1B0L8T2,V2OY1LPY3UOM,18022.25,18101.25,79.0,pedestrian_1-3_5363,85.75,lte,wifi,0.9212827988338192
7MSPB4P3IZRB,QTQCZPK6ACPM,18023.25,18322.0,298.75,pedestrian_2-1_3545,707.0,lte,wifi,0.4225601131541726
DB4HW1V9NHT5,2J6TJCVHIOW3,18027.25,18186.25,159.0,pedestrian_1-3_537,160.5,lte,wifi,0.9906542056074766
G4G475PNF8RH,GSZDF42GV74H,18029.25,18165.75,136.5,pedestrian_1-1-pt_8810,1370.75,wifi,lte,0.09958052161225607
ECMGHSA2NVB9,S6SVAND3JOMW,18029.25,18412.5,383.25,pedestrian_1-1-pt_1773,576.0,wifi,lte,0.6653645833333334
3QTN7UDWBEK9,X212F7T6EFTN,18030.25,18448.25,418.0,pedestrian_1-1-pt_3251,421.0,wifi,lte,0.9928741092636579
MFQSNU5Z6R5S,10OQ35R5CC3E,18031.25,18212.75,181.5,pedestrian_1-1-pt_7054,187.75,wifi,lte,0.966711051930759
G71UU4IJNVX2,4RS74NCBSIE7,18031.25,18216.5,185.25,pedestrian_2-1_3320,193.5,wifi,lte,0.9573643410852714
EEDOMJ1TQUUC,GYX33A8HBXCK,18031.25,18112.75,81.5,pedestrian_1-3_2018,81.75,lte,wifi,0.9969418960244648
J4YGPQ90FAWX,04ZGFDC1QXOC,18032.25,18095.5,63.25,pedestrian_1-1-veh_546,71.75,wifi,lte,0.8815331010452961
SDR5S0U1LYMW,2Z0SY6TF0AFA,18032.25,19388.0,1355.75,pedestrian_1-1-pt_3431,1367.75,lte,wifi,0.9912264668250776
RC90XJ5JL61V,05LD9NV7P2RN,18036.25,18172.75,136.5,pedestrian_1-2_609,136.75,wifi,lte,0.9981718464351006
YSGGL0MWNGF9,8889U6CTX14P,18038.25,18098.5,60.25,pedestrian_1-1-pt_5078,189.0,wifi,lte,0.3187830687830688
FZX5EBBP4PHO,H12NXMSNQJ9G,18041.25,18161.0,119.75,pedestrian_1-2_285,122.0,wifi,lte,0.9815573770491803
4AKXINNEVQ2L,2SF7QJRND2YJ,18041.25,18065.0,23.75,pedestrian_1-2_4734,23.75,lte,wifi,1.0
NQ6G0GISD0Y7,O1R8DKST0UKU,18045.25,18109.0,63.75,pedestrian_1-1-pt_8289,66.5,wifi,lte,0.9586466165413534
QRVPZE924GO2,L8IHR7ET6VCS,18046.25,18207.75,161.5,pedestrian_1-1-pt_6561,170.25,wifi,lte,0.9486049926578561
ZPB1MUNHYFQM,YDU7VRXP0TE3,18048.25,18220.75,172.5,pedestrian_1-3_1790,177.25,lte,wifi,0.9732016925246827
XC1VCVXLEH8F,M58HJY05EAN2,18049.25,18467.5,418.25,pedestrian_1-1-pt_1673,418.75,lte,wifi,0.9988059701492538
JFNZS4WYI5TI,WHOQR4208R8Q,18052.25,18322.75,270.5,pedestrian_1-2_3940,279.25,lte,wifi,0.9686660698299016
YOMPUZ1VEDGW,14ETQQCDVM2Q,18052.25,18316.5,264.25,pedestrian_1-2_638,266.75,lte,wifi,0.9906279287722587
HG89YIXBSSF9,7N8FQKNAH8FQ,18053.25,18166.0,112.75,pedestrian_2-1_1662,118.0,lte,wifi,0.9555084745762712
5W17BOUPCRFE,YUD9J9X3EGZH,18054.25,18814.25,760.0,pedestrian_1-1-pt_2498,1345.75,wifi,lte,0.5647408508266766
I7PYL8UYMGU0,BS7SFQ3FB83B,18056.25,18115.75,59.5,pedestrian_1-3_2454,73.25,wifi,lte,0.8122866894197952
63NEPBZ2Z9OV,SYPE55FF9YJQ,18058.25,18067.5,9.25,pedestrian_1-2_3821,9.25,lte,wifi,1.0
63YCHL2EXUTJ,SB7KPHMJ4J37,18060.25,18238.0,177.75,pedestrian_1-3_268,189.25,wifi,lte,0.9392338177014531
UJ0ZGZFNFOG4,KLD0BJIC4YK9,18061.25,18203.25,142.0,pedestrian_1-2_5791,146.5,lte,wifi,0.9692832764505119
8NKNT5PZ8WGF,3VAGBBQRMSS0,18064.25,18134.0,69.75,pedestrian_1-2_2171,220.0,lte,wifi,0.3170454545454545
NXYWF4SI6D7N,KCFRZUK1F72R,18064.25,18418.25,354.0,pedestrian_1-2_1741,360.0,wifi,lte,0.9833333333333333
RWSFB9N2EGWF,,18065.25,18718.5,653.25,pedestrian_1-1-pt_4187,707.75,wifi,,0.9229954079830449
7PP8VVVVUM4Y,0C9ID4ZFCGR5,18066.25,18328.5,262.25,pedestrian_1-3_90,323.5,lte,wifi,0.8106646058732612
Z3M8HU45TARS,EU95BPHY94HE,18069.25,18315.75,246.5,pedestrian_1-2_4454,247.75,wifi,lte,0.9949545913218971
0IUVDKALXIJA,QYB1RGGIX0MC,18069.25,18522.5,453.25,pedestrian_1-1-pt_2201,458.5,wifi,lte,0.9885496183206107
FE9SUMHQAB61,M9OALWPSTUS0,18070.25,18371.0,300.75,pedestrian_1-1-veh_790,375.75,lte,wifi,0.8003992015968064
TISI89YVL74D,1RF647LDUQRQ,18072.25,18234.0,161.75,pedestrian_2-1_4638,364.5,lte,wifi,0.443758573388203
7CIW6QSPGHB4,MQ2JUN2LXMFY,18073.25,18255.5,182.25,pedestrian_1-1-veh_668,186.25,lte,wifi,0.978523489932886
EE9LC1SIOCDO,YM66U8XIXKFX,18073.25,18705.5,632.25,pedestrian_1-1-pt_4658,642.0,lte,wifi,0.9848130841121495
JXJXOH9TWW5G,DLZP1H2WZATP,18073.25,18348.25,275.0,pedestrian_1-1-pt_2770,277.75,wifi,lte,0.9900990099009901
5QIEG117JETS,1YDS86IRAJ1G,18075.25,18738.75,663.5,pedestrian_1-1-pt_5139,956.5,lte,wifi,0.6936748562467329
YQIBPT5SEIMC,IQEZVVC4T6L1,18076.25,18621.75,545.5,pedestrian_1-1-pt_4472,1083.0,wifi,lte,0.5036934441366574
IQ1P68NSQ42U,BG3VUIH8Q7IJ,18078.25,18974.75,896.5,pedestrian_1-1-pt_255,928.75,wifi,lte,0.9652759084791386
Q49AMK9XAG67,T22YUP9IOR7E,18078.25,18170.25,92.0,pedestrian_1-3_3834,92.75,wifi,lte,0.9919137466307277
T57E0GWFQZGD,CJFWWRJ1LL0X,18083.25,18181.5,98.25,pedestrian_1-1-pt_2835,1108.75,lte,wifi,0.08861330326944758
GVWDKXXO8H6W,D8HSSNEE0EV1,18085.25,18344.0,258.75,pedestrian_1-2_4327,259.75,wifi,lte,0.9961501443695862
52K1IAHXLKX9,66T4YIKUQ891,18092.25,18490.0,397.75,pedestrian_1-2_1559,397.75,lte,wifi,1.0
GSC58NCDOUJF,0BH4H96BGK8U,18094.25,18791.25,697.0,pedestrian_1-1-pt_8618,1305.75,lte,wifi,0.53379283936435
393IATS3D90N,GZZ9Z8YG6AST,18097.25,19097.0,999.75,pedestrian_1-1-pt_4026,1302.75,lte,wifi,0.7674150834772596
RKRNBPLN3XAQ,YBX3IDG6R7ZH,18100.25,18178.75,78.5,pedestrian_1-3_1010,85.5,lte,wifi,0.9181286549707602
5ZW41NI7XOJ9,0VR5LXP5OWIP,18102.25,18264.75,162.5,pedestrian_1-3_3480,168.25,wifi,lte,0.9658246656760773
P4MKV2MKPDX8,K86AZW47YIKA,18102.25,18251.0,148.75,pedestrian_1-3_4170,151.25,lte,wifi,0.9834710743801653
OXEW1Y5XFJBC,HI0YM4N8KZJF,18102.25,18261.0,158.75,pedestrian_1-2_5518,234.5,wifi,lte,0.6769722814498934
L18A8YV4V9VC,PAI2SJOMEXTM,18103.25,18348.75,245.5,pedestrian_1-2_1313,276.0,lte,wifi,0.8894927536231884
YB5TYR8MQQ90,TKINDCDXW6Z1,18106.25,18344.5,238.25,pedestrian_1-1-pt_6139,729.0,lte,wifi,0.3268175582990398
EOGXZ5G3RYZU,NRDPQNW9FLFS,18109.25,18289.25,180.0,pedestrian_1-1-veh_236,239.5,wifi,lte,0.7515657620041754
Q0X7WYGTWP23,CGHGNXAXZQ41,18109.25,18169.5,60.25,pedestrian_1-3_2180,61.5,wifi,lte,0.9796747967479674
P91Y5M9VIRYD,GH2D6YM2JO6E,18111.25,18659.0,547.75,pedestrian_1-1-pt_438,1288.75,wifi,lte,0.4250242483026188
