2025-01-12 21:16:24.986 CET | INFO | filter_users_RI_count.py | loaded df
2025-01-12 21:16:25.286 CET | INFO | filter_users_RI_count.py | Total unique user_ids before mobility filter: 6427
2025-01-12 21:16:31.410 CET | INFO | filter_users_RI_count.py | Total unique user_ids after mobility filter, but before extending them and RI filter: 3689
2025-01-12 21:16:31.415 CET | INFO | filter_users_RI_count.py | 3073 Users at timestep == 25200 after mobility and before extension
2025-01-12 21:16:34.000 CET | INFO | filter_users_RI_count.py | Total unique user_ids before mobility filter: 3689
2025-01-12 21:16:36.506 CET | INFO | filter_users_RI_count.py | Checking again: Total unique user_ids after mobility filter, but after extending them and before RI filter: 3689
2025-01-12 21:16:36.511 CET | INFO | filter_users_RI_count.py | 3689 Users at timestep == 25200 after mobility and extension
2025-01-12 21:16:36.571 CET | INFO | filter_users_RI_count.py | Timesteps per user written to: data/raw_user_data_timesteps_per_user_scenario_sumo.csv
2025-01-12 21:16:36.733 CET | INFO | filter_users_RI_count.py | Total unique user_ids after mobility filter and RI filter and extension: 2124
2025-01-12 21:16:36.810 CET | INFO | filter_users_RI_count.py | Selected users written to: data/raw_user_data_scenario_sumo_32.csv
2025-01-12 21:16:36.952 CET | INFO | filter_users_RI_count.py | Selected users written to: data/raw_user_data_scenario_sumo_128.csv
2025-01-12 21:16:37.177 CET | INFO | filter_users_RI_count.py | Selected users written to: data/raw_user_data_scenario_sumo_256.csv
2025-01-12 21:16:37.524 CET | INFO | filter_users_RI_count.py | Selected users written to: data/raw_user_data_scenario_sumo_512.csv
2025-01-12 21:16:38.090 CET | INFO | filter_users_RI_count.py | Selected users written to: data/raw_user_data_scenario_sumo_1024.csv
2025-01-12 21:16:38.954 CET | INFO | filter_users_RI_count.py | Selected users written to: data/raw_user_data_scenario_sumo_2048.csv
2025-01-12 21:16:39.778 CET | INFO | filter_users_RI_count.py | Selected users written to: data/raw_user_data_scenario_sumo_2124.csv
