2025-01-14 12:47:52.625 CET | INFO | reconstruction_tracing_multi.py | Baseline Privacy score calculated
2025-01-14 12:47:52.628 CET | INFO | reconstruction_tracing_multi.py | Reconstruction started
2025-01-14 12:47:52.628 CET | INFO | reconstruction_tracing_multi.py | index - 0 of 7808
2025-01-14 12:47:52.628 CET | INFO | reconstruction_tracing_multi.py | index - 1 of 7808
2025-01-14 12:47:52.629 CET | INFO | reconstruction_tracing_multi.py | index - 2 of 7808
2025-01-14 12:47:52.629 CET | INFO | reconstruction_tracing_multi.py | index - 3 of 7808
2025-01-14 12:47:52.629 CET | INFO | reconstruction_tracing_multi.py | index - 4 of 7808
2025-01-14 12:47:52.630 CET | INFO | reconstruction_tracing_multi.py | index - 5 of 7808
2025-01-14 12:47:52.630 CET | INFO | reconstruction_tracing_multi.py | index - 6 of 7808
2025-01-14 12:47:52.630 CET | INFO | reconstruction_tracing_multi.py | index - 7 of 7808
2025-01-14 12:47:52.631 CET | INFO | reconstruction_tracing_multi.py | index - 8 of 7808
2025-01-14 12:47:52.631 CET | INFO | reconstruction_tracing_multi.py | index - 9 of 7808
2025-01-14 12:47:52.631 CET | INFO | reconstruction_tracing_multi.py | index - 10 of 7808
2025-01-14 12:47:52.632 CET | INFO | reconstruction_tracing_multi.py | index - 11 of 7808
2025-01-14 12:47:52.632 CET | INFO | reconstruction_tracing_multi.py | index - 12 of 7808
2025-01-14 12:47:52.632 CET | INFO | reconstruction_tracing_multi.py | index - 13 of 7808
2025-01-14 12:47:52.633 CET | INFO | reconstruction_tracing_multi.py | index - 14 of 7808
2025-01-14 12:47:52.633 CET | INFO | reconstruction_tracing_multi.py | index - 15 of 7808
2025-01-14 12:47:52.633 CET | INFO | reconstruction_tracing_multi.py | index - 16 of 7808
2025-01-14 12:47:52.634 CET | INFO | reconstruction_tracing_multi.py | index - 17 of 7808
2025-01-14 12:47:52.634 CET | INFO | reconstruction_tracing_multi.py | index - 18 of 7808
2025-01-14 12:47:52.634 CET | INFO | reconstruction_tracing_multi.py | index - 19 of 7808
2025-01-14 12:47:52.635 CET | INFO | reconstruction_tracing_multi.py | index - 20 of 7808
2025-01-14 12:47:52.635 CET | INFO | reconstruction_tracing_multi.py | index - 21 of 7808
2025-01-14 12:47:52.635 CET | INFO | reconstruction_tracing_multi.py | index - 22 of 7808
2025-01-14 12:47:52.636 CET | INFO | reconstruction_tracing_multi.py | index - 23 of 7808
2025-01-14 12:47:52.636 CET | INFO | reconstruction_tracing_multi.py | index - 24 of 7808
2025-01-14 12:47:52.636 CET | INFO | reconstruction_tracing_multi.py | index - 25 of 7808
2025-01-14 12:47:52.637 CET | INFO | reconstruction_tracing_multi.py | index - 26 of 7808
2025-01-14 12:47:52.637 CET | INFO | reconstruction_tracing_multi.py | index - 27 of 7808
2025-01-14 12:47:52.637 CET | INFO | reconstruction_tracing_multi.py | index - 28 of 7808
2025-01-14 12:47:52.638 CET | INFO | reconstruction_tracing_multi.py | index - 29 of 7808
2025-01-14 12:47:52.638 CET | INFO | reconstruction_tracing_multi.py | index - 30 of 7808
2025-01-14 12:47:52.638 CET | INFO | reconstruction_tracing_multi.py | index - 31 of 7808
