2025-01-15 00:46:42.104 CET | INFO | reconstruction_tracing_multi.py | Baseline Privacy score calculated
2025-01-15 00:46:42.107 CET | INFO | reconstruction_tracing_multi.py | Reconstruction started
2025-01-15 00:46:42.107 CET | INFO | reconstruction_tracing_multi.py | index - 0 of 7369
2025-01-15 00:46:42.107 CET | INFO | reconstruction_tracing_multi.py | index - 1 of 7369
2025-01-15 00:46:42.108 CET | INFO | reconstruction_tracing_multi.py | index - 2 of 7369
2025-01-15 00:46:42.108 CET | INFO | reconstruction_tracing_multi.py | index - 3 of 7369
2025-01-15 00:46:42.108 CET | INFO | reconstruction_tracing_multi.py | index - 4 of 7369
2025-01-15 00:46:42.109 CET | INFO | reconstruction_tracing_multi.py | index - 5 of 7369
2025-01-15 00:46:42.109 CET | INFO | reconstruction_tracing_multi.py | index - 6 of 7369
2025-01-15 00:46:42.109 CET | INFO | reconstruction_tracing_multi.py | index - 7 of 7369
2025-01-15 00:46:42.110 CET | INFO | reconstruction_tracing_multi.py | index - 8 of 7369
2025-01-15 00:46:42.110 CET | INFO | reconstruction_tracing_multi.py | index - 9 of 7369
2025-01-15 00:46:42.110 CET | INFO | reconstruction_tracing_multi.py | index - 10 of 7369
2025-01-15 00:46:42.111 CET | INFO | reconstruction_tracing_multi.py | index - 11 of 7369
2025-01-15 00:46:42.111 CET | INFO | reconstruction_tracing_multi.py | index - 12 of 7369
2025-01-15 00:46:42.111 CET | INFO | reconstruction_tracing_multi.py | index - 13 of 7369
2025-01-15 00:46:42.112 CET | INFO | reconstruction_tracing_multi.py | index - 14 of 7369
2025-01-15 00:46:42.112 CET | INFO | reconstruction_tracing_multi.py | index - 15 of 7369
2025-01-15 00:46:42.112 CET | INFO | reconstruction_tracing_multi.py | index - 16 of 7369
2025-01-15 00:46:42.113 CET | INFO | reconstruction_tracing_multi.py | index - 17 of 7369
2025-01-15 00:46:42.113 CET | INFO | reconstruction_tracing_multi.py | index - 18 of 7369
2025-01-15 00:46:42.113 CET | INFO | reconstruction_tracing_multi.py | index - 19 of 7369
2025-01-15 00:46:42.114 CET | INFO | reconstruction_tracing_multi.py | index - 20 of 7369
2025-01-15 00:46:42.114 CET | INFO | reconstruction_tracing_multi.py | index - 21 of 7369
2025-01-15 00:46:42.114 CET | INFO | reconstruction_tracing_multi.py | index - 22 of 7369
2025-01-15 00:46:42.114 CET | INFO | reconstruction_tracing_multi.py | index - 23 of 7369
2025-01-15 00:46:42.115 CET | INFO | reconstruction_tracing_multi.py | index - 24 of 7369
2025-01-15 00:46:42.115 CET | INFO | reconstruction_tracing_multi.py | index - 25 of 7369
2025-01-15 00:46:42.115 CET | INFO | reconstruction_tracing_multi.py | index - 26 of 7369
2025-01-15 00:46:42.116 CET | INFO | reconstruction_tracing_multi.py | index - 27 of 7369
2025-01-15 00:46:42.116 CET | INFO | reconstruction_tracing_multi.py | index - 28 of 7369
2025-01-15 00:46:42.116 CET | INFO | reconstruction_tracing_multi.py | index - 29 of 7369
2025-01-15 00:46:42.117 CET | INFO | reconstruction_tracing_multi.py | index - 30 of 7369
2025-01-15 00:46:42.117 CET | INFO | reconstruction_tracing_multi.py | index - 31 of 7369
2025-01-15 00:46:42.117 CET | INFO | reconstruction_tracing_multi.py | index - 32 of 7369
2025-01-15 00:46:42.118 CET | INFO | reconstruction_tracing_multi.py | index - 33 of 7369
2025-01-15 00:46:42.118 CET | INFO | reconstruction_tracing_multi.py | index - 34 of 7369
2025-01-15 00:46:42.118 CET | INFO | reconstruction_tracing_multi.py | index - 35 of 7369
2025-01-15 00:46:42.119 CET | INFO | reconstruction_tracing_multi.py | index - 36 of 7369
2025-01-15 00:46:42.119 CET | INFO | reconstruction_tracing_multi.py | index - 37 of 7369
2025-01-15 00:46:42.119 CET | INFO | reconstruction_tracing_multi.py | index - 38 of 7369
2025-01-15 00:46:42.120 CET | INFO | reconstruction_tracing_multi.py | index - 39 of 7369
2025-01-15 00:46:42.120 CET | INFO | reconstruction_tracing_multi.py | index - 40 of 7369
2025-01-15 00:46:42.120 CET | INFO | reconstruction_tracing_multi.py | index - 41 of 7369
2025-01-15 00:46:42.121 CET | INFO | reconstruction_tracing_multi.py | index - 42 of 7369
2025-01-15 00:46:42.121 CET | INFO | reconstruction_tracing_multi.py | index - 43 of 7369
2025-01-15 00:46:42.121 CET | INFO | reconstruction_tracing_multi.py | index - 44 of 7369
2025-01-15 00:46:42.122 CET | INFO | reconstruction_tracing_multi.py | index - 45 of 7369
2025-01-15 00:46:42.122 CET | INFO | reconstruction_tracing_multi.py | index - 46 of 7369
2025-01-15 00:46:42.122 CET | INFO | reconstruction_tracing_multi.py | index - 47 of 7369
2025-01-15 00:46:42.123 CET | INFO | reconstruction_tracing_multi.py | index - 48 of 7369
2025-01-15 00:46:42.123 CET | INFO | reconstruction_tracing_multi.py | index - 49 of 7369
2025-01-15 00:46:42.123 CET | INFO | reconstruction_tracing_multi.py | index - 50 of 7369
2025-01-15 00:46:42.124 CET | INFO | reconstruction_tracing_multi.py | index - 51 of 7369
2025-01-15 00:46:42.124 CET | INFO | reconstruction_tracing_multi.py | index - 52 of 7369
2025-01-15 00:46:42.124 CET | INFO | reconstruction_tracing_multi.py | index - 53 of 7369
2025-01-15 00:46:42.125 CET | INFO | reconstruction_tracing_multi.py | index - 54 of 7369
2025-01-15 00:46:42.125 CET | INFO | reconstruction_tracing_multi.py | index - 55 of 7369
2025-01-15 00:46:42.125 CET | INFO | reconstruction_tracing_multi.py | index - 56 of 7369
2025-01-15 00:46:42.126 CET | INFO | reconstruction_tracing_multi.py | index - 57 of 7369
2025-01-15 00:46:42.126 CET | INFO | reconstruction_tracing_multi.py | index - 58 of 7369
2025-01-15 00:46:42.126 CET | INFO | reconstruction_tracing_multi.py | index - 59 of 7369
2025-01-15 00:46:42.127 CET | INFO | reconstruction_tracing_multi.py | index - 60 of 7369
2025-01-15 00:46:42.127 CET | INFO | reconstruction_tracing_multi.py | index - 61 of 7369
2025-01-15 00:46:42.127 CET | INFO | reconstruction_tracing_multi.py | index - 62 of 7369
2025-01-15 00:46:42.128 CET | INFO | reconstruction_tracing_multi.py | index - 63 of 7369
2025-01-15 00:46:42.128 CET | INFO | reconstruction_tracing_multi.py | index - 64 of 7369
2025-01-15 00:46:42.128 CET | INFO | reconstruction_tracing_multi.py | index - 65 of 7369
2025-01-15 00:46:42.129 CET | INFO | reconstruction_tracing_multi.py | index - 66 of 7369
2025-01-15 00:46:42.129 CET | INFO | reconstruction_tracing_multi.py | index - 67 of 7369
2025-01-15 00:46:42.129 CET | INFO | reconstruction_tracing_multi.py | index - 68 of 7369
2025-01-15 00:46:42.130 CET | INFO | reconstruction_tracing_multi.py | index - 69 of 7369
2025-01-15 00:46:42.130 CET | INFO | reconstruction_tracing_multi.py | index - 70 of 7369
2025-01-15 00:46:42.130 CET | INFO | reconstruction_tracing_multi.py | index - 71 of 7369
2025-01-15 00:46:42.131 CET | INFO | reconstruction_tracing_multi.py | index - 72 of 7369
2025-01-15 00:46:42.131 CET | INFO | reconstruction_tracing_multi.py | index - 73 of 7369
2025-01-15 00:46:42.131 CET | INFO | reconstruction_tracing_multi.py | index - 74 of 7369
2025-01-15 00:46:42.132 CET | INFO | reconstruction_tracing_multi.py | index - 75 of 7369
2025-01-15 00:46:42.132 CET | INFO | reconstruction_tracing_multi.py | index - 76 of 7369
2025-01-15 00:46:42.133 CET | INFO | reconstruction_tracing_multi.py | index - 77 of 7369
2025-01-15 00:46:42.133 CET | INFO | reconstruction_tracing_multi.py | index - 78 of 7369
2025-01-15 00:46:42.133 CET | INFO | reconstruction_tracing_multi.py | index - 79 of 7369
2025-01-15 00:46:42.134 CET | INFO | reconstruction_tracing_multi.py | index - 80 of 7369
2025-01-15 00:46:42.134 CET | INFO | reconstruction_tracing_multi.py | index - 81 of 7369
2025-01-15 00:46:42.134 CET | INFO | reconstruction_tracing_multi.py | index - 82 of 7369
2025-01-15 00:46:42.135 CET | INFO | reconstruction_tracing_multi.py | index - 83 of 7369
2025-01-15 00:46:42.135 CET | INFO | reconstruction_tracing_multi.py | index - 84 of 7369
2025-01-15 00:46:42.135 CET | INFO | reconstruction_tracing_multi.py | index - 85 of 7369
2025-01-15 00:46:42.136 CET | INFO | reconstruction_tracing_multi.py | index - 86 of 7369
2025-01-15 00:46:42.136 CET | INFO | reconstruction_tracing_multi.py | index - 87 of 7369
2025-01-15 00:46:42.137 CET | INFO | reconstruction_tracing_multi.py | index - 88 of 7369
2025-01-15 00:46:42.137 CET | INFO | reconstruction_tracing_multi.py | index - 89 of 7369
2025-01-15 00:46:42.137 CET | INFO | reconstruction_tracing_multi.py | index - 90 of 7369
2025-01-15 00:46:42.138 CET | INFO | reconstruction_tracing_multi.py | index - 91 of 7369
2025-01-15 00:46:42.138 CET | INFO | reconstruction_tracing_multi.py | index - 92 of 7369
2025-01-15 00:46:42.138 CET | INFO | reconstruction_tracing_multi.py | index - 93 of 7369
2025-01-15 00:46:42.139 CET | INFO | reconstruction_tracing_multi.py | index - 94 of 7369
2025-01-15 00:46:42.139 CET | INFO | reconstruction_tracing_multi.py | index - 95 of 7369
2025-01-15 00:46:42.139 CET | INFO | reconstruction_tracing_multi.py | index - 96 of 7369
2025-01-15 00:46:42.140 CET | INFO | reconstruction_tracing_multi.py | index - 97 of 7369
2025-01-15 00:46:42.140 CET | INFO | reconstruction_tracing_multi.py | index - 98 of 7369
2025-01-15 00:46:42.140 CET | INFO | reconstruction_tracing_multi.py | index - 99 of 7369
2025-01-15 00:46:42.141 CET | INFO | reconstruction_tracing_multi.py | index - 100 of 7369
2025-01-15 00:46:42.141 CET | INFO | reconstruction_tracing_multi.py | index - 101 of 7369
2025-01-15 00:46:42.141 CET | INFO | reconstruction_tracing_multi.py | index - 102 of 7369
2025-01-15 00:46:42.142 CET | INFO | reconstruction_tracing_multi.py | index - 103 of 7369
2025-01-15 00:46:42.142 CET | INFO | reconstruction_tracing_multi.py | index - 104 of 7369
2025-01-15 00:46:42.142 CET | INFO | reconstruction_tracing_multi.py | index - 105 of 7369
2025-01-15 00:46:42.143 CET | INFO | reconstruction_tracing_multi.py | index - 106 of 7369
2025-01-15 00:46:42.143 CET | INFO | reconstruction_tracing_multi.py | index - 107 of 7369
2025-01-15 00:46:42.143 CET | INFO | reconstruction_tracing_multi.py | index - 108 of 7369
2025-01-15 00:46:42.144 CET | INFO | reconstruction_tracing_multi.py | index - 109 of 7369
2025-01-15 00:46:42.144 CET | INFO | reconstruction_tracing_multi.py | index - 110 of 7369
2025-01-15 00:46:42.144 CET | INFO | reconstruction_tracing_multi.py | index - 111 of 7369
2025-01-15 00:46:42.145 CET | INFO | reconstruction_tracing_multi.py | index - 112 of 7369
2025-01-15 00:46:42.145 CET | INFO | reconstruction_tracing_multi.py | index - 113 of 7369
2025-01-15 00:46:42.145 CET | INFO | reconstruction_tracing_multi.py | index - 114 of 7369
2025-01-15 00:46:42.146 CET | INFO | reconstruction_tracing_multi.py | index - 115 of 7369
2025-01-15 00:46:42.146 CET | INFO | reconstruction_tracing_multi.py | index - 116 of 7369
2025-01-15 00:46:42.147 CET | INFO | reconstruction_tracing_multi.py | index - 117 of 7369
2025-01-15 00:46:42.147 CET | INFO | reconstruction_tracing_multi.py | index - 118 of 7369
2025-01-15 00:46:42.147 CET | INFO | reconstruction_tracing_multi.py | index - 119 of 7369
2025-01-15 00:46:42.148 CET | INFO | reconstruction_tracing_multi.py | index - 120 of 7369
2025-01-15 00:46:42.148 CET | INFO | reconstruction_tracing_multi.py | index - 121 of 7369
2025-01-15 00:46:42.148 CET | INFO | reconstruction_tracing_multi.py | index - 122 of 7369
2025-01-15 00:46:42.149 CET | INFO | reconstruction_tracing_multi.py | index - 123 of 7369
2025-01-15 00:46:42.149 CET | INFO | reconstruction_tracing_multi.py | index - 124 of 7369
2025-01-15 00:46:42.149 CET | INFO | reconstruction_tracing_multi.py | index - 125 of 7369
2025-01-15 00:46:42.150 CET | INFO | reconstruction_tracing_multi.py | index - 126 of 7369
2025-01-15 00:46:42.150 CET | INFO | reconstruction_tracing_multi.py | index - 127 of 7369
2025-01-15 00:46:42.150 CET | INFO | reconstruction_tracing_multi.py | index - 128 of 7369
2025-01-15 00:46:42.151 CET | INFO | reconstruction_tracing_multi.py | index - 129 of 7369
2025-01-15 00:46:42.151 CET | INFO | reconstruction_tracing_multi.py | index - 130 of 7369
2025-01-15 00:46:42.152 CET | INFO | reconstruction_tracing_multi.py | index - 131 of 7369
2025-01-15 00:46:42.152 CET | INFO | reconstruction_tracing_multi.py | index - 132 of 7369
2025-01-15 00:46:42.152 CET | INFO | reconstruction_tracing_multi.py | index - 133 of 7369
2025-01-15 00:46:42.153 CET | INFO | reconstruction_tracing_multi.py | index - 134 of 7369
2025-01-15 00:46:42.153 CET | INFO | reconstruction_tracing_multi.py | index - 135 of 7369
2025-01-15 00:46:42.153 CET | INFO | reconstruction_tracing_multi.py | index - 136 of 7369
2025-01-15 00:46:42.154 CET | INFO | reconstruction_tracing_multi.py | index - 137 of 7369
2025-01-15 00:46:42.154 CET | INFO | reconstruction_tracing_multi.py | index - 138 of 7369
2025-01-15 00:46:42.154 CET | INFO | reconstruction_tracing_multi.py | index - 139 of 7369
2025-01-15 00:46:42.155 CET | INFO | reconstruction_tracing_multi.py | index - 140 of 7369
2025-01-15 00:46:42.155 CET | INFO | reconstruction_tracing_multi.py | index - 141 of 7369
2025-01-15 00:46:42.155 CET | INFO | reconstruction_tracing_multi.py | index - 142 of 7369
2025-01-15 00:46:42.156 CET | INFO | reconstruction_tracing_multi.py | index - 143 of 7369
2025-01-15 00:46:42.156 CET | INFO | reconstruction_tracing_multi.py | index - 144 of 7369
2025-01-15 00:46:42.156 CET | INFO | reconstruction_tracing_multi.py | index - 145 of 7369
2025-01-15 00:46:42.157 CET | INFO | reconstruction_tracing_multi.py | index - 146 of 7369
2025-01-15 00:46:42.157 CET | INFO | reconstruction_tracing_multi.py | index - 147 of 7369
2025-01-15 00:46:42.157 CET | INFO | reconstruction_tracing_multi.py | index - 148 of 7369
2025-01-15 00:46:42.158 CET | INFO | reconstruction_tracing_multi.py | index - 149 of 7369
2025-01-15 00:46:42.158 CET | INFO | reconstruction_tracing_multi.py | index - 150 of 7369
2025-01-15 00:46:42.159 CET | INFO | reconstruction_tracing_multi.py | index - 151 of 7369
2025-01-15 00:46:42.159 CET | INFO | reconstruction_tracing_multi.py | index - 152 of 7369
2025-01-15 00:46:42.159 CET | INFO | reconstruction_tracing_multi.py | index - 153 of 7369
2025-01-15 00:46:42.159 CET | INFO | reconstruction_tracing_multi.py | index - 154 of 7369
2025-01-15 00:46:42.160 CET | INFO | reconstruction_tracing_multi.py | index - 155 of 7369
2025-01-15 00:46:42.160 CET | INFO | reconstruction_tracing_multi.py | index - 156 of 7369
2025-01-15 00:46:42.160 CET | INFO | reconstruction_tracing_multi.py | index - 157 of 7369
2025-01-15 00:46:42.161 CET | INFO | reconstruction_tracing_multi.py | index - 158 of 7369
2025-01-15 00:46:42.161 CET | INFO | reconstruction_tracing_multi.py | index - 159 of 7369
2025-01-15 00:46:42.162 CET | INFO | reconstruction_tracing_multi.py | index - 160 of 7369
2025-01-15 00:46:42.162 CET | INFO | reconstruction_tracing_multi.py | index - 161 of 7369
2025-01-15 00:46:42.162 CET | INFO | reconstruction_tracing_multi.py | index - 162 of 7369
2025-01-15 00:46:42.163 CET | INFO | reconstruction_tracing_multi.py | index - 163 of 7369
2025-01-15 00:46:42.163 CET | INFO | reconstruction_tracing_multi.py | index - 164 of 7369
2025-01-15 00:46:42.164 CET | INFO | reconstruction_tracing_multi.py | index - 165 of 7369
2025-01-15 00:46:42.164 CET | INFO | reconstruction_tracing_multi.py | index - 166 of 7369
2025-01-15 00:46:42.164 CET | INFO | reconstruction_tracing_multi.py | index - 167 of 7369
2025-01-15 00:46:42.165 CET | INFO | reconstruction_tracing_multi.py | index - 168 of 7369
