id1,id2,start_timestep,last_timestep,duration,ideal_duration,protocol_id1,user_id,protocol_id2,privacy_score
8EAJO2SDSUVI,5T0TGB33R16N,18001.25,18100.0,98.75,98.75,wifi,pedestrian_1-1-pt_7251,lte,1.0
03OLQ0US1Q2U,EN1LE4UFK016,18001.25,18100.0,98.75,98.75,wifi,pedestrian_1-3_2374,lte,1.0
ZG0XXYFJH19A,UX54UHZ9JEE7,18001.25,18041.0,39.75,98.75,wifi,pedestrian_1-2_1990,lte,0.40253164556962023
R5Y5Y4X716SF,540EI4SRIKU6,18003.25,18100.0,96.75,96.75,lte,pedestrian_1-1-pt_8637,wifi,1.0
UK566DBPGW96,JXU16GTYX8XG,18003.25,18052.5,49.25,49.25,wifi,pedestrian_1-3_2410,lte,1.0
BYCD4VXP0ZKO,9KRQQQUVF2RR,18004.25,18100.0,95.75,95.75,lte,pedestrian_1-1-veh_105,wifi,1.0
T2P7MOTKODM4,6BORO72LCB0U,18006.25,18100.0,93.75,93.75,lte,pedestrian_1-2_3838,wifi,1.0
WQAA7BUBIDDE,HVZXGMWW92LN,18008.25,18100.0,91.75,91.75,lte,pedestrian_1-1-veh_886,wifi,1.0
1V0GKRMPM73O,VSLC1Y54SHWH,18008.25,18100.0,91.75,91.75,lte,pedestrian_1-3_4838,wifi,1.0
YWBHM0ZUK9XX,9GWD6XP8LVMN,18009.25,18048.5,39.25,90.75,wifi,pedestrian_1-1-pt_8795,lte,0.4325068870523416
YUP21S6QMVNA,1LWVNWJMXD4C,18010.25,18100.0,89.75,89.75,lte,pedestrian_1-3_2221,wifi,1.0
AKQ4JJ8SLFTK,E50R3DRKKYU9,18010.25,18100.0,89.75,89.75,wifi,pedestrian_1-3_3320,lte,1.0
6CRMUVXH1LY6,SMDGYG5OREHJ,18011.25,18100.0,88.75,88.75,wifi,pedestrian_1-2_5770,lte,1.0
VHBGPNZHQEUF,4NMLVD5052GF,18013.25,18100.0,86.75,86.75,wifi,pedestrian_1-1-pt_8143,lte,1.0
BF4ESFWCLPQI,U3JWA4HMZW3Z,18014.25,18100.0,85.75,85.75,lte,pedestrian_1-1-pt_2382,wifi,1.0
XMVTHBDWGBXR,Q7JUTLCGZMI2,18016.25,18100.0,83.75,83.75,wifi,pedestrian_1-1-pt_6269,lte,1.0
108CVBHBAHPR,B4KIGCLCFRLG,18020.25,18100.0,79.75,79.75,lte,pedestrian_1-1-pt_8365,wifi,1.0
WU11Y2DOSVWN,K27IA5S5PI5E,18022.25,18100.0,77.75,77.75,lte,pedestrian_1-3_5363,wifi,1.0
ICUD7PIAQUAH,1939FLJYO5DL,18023.25,18100.0,76.75,76.75,lte,pedestrian_2-1_3545,wifi,1.0
NSBABRPFA5E9,PL92BCS6SDRV,18027.25,18100.0,72.75,72.75,wifi,pedestrian_1-3_537,lte,1.0
DQURFZSNMBMH,RPPPDMF1B723,18029.25,18100.0,70.75,70.75,wifi,pedestrian_1-1-pt_8810,lte,1.0
IZ1CSHLJ2WFZ,KVYYPAW5TD90,18029.25,18100.0,70.75,70.75,wifi,pedestrian_1-1-pt_1773,lte,1.0
1HRIJCP1JFQT,GW2CYKPW7NJO,18030.25,18100.0,69.75,69.75,lte,pedestrian_1-1-pt_3251,wifi,1.0
3386TQ2XL7X3,XDS8LRVNWW0G,18031.25,18100.0,68.75,68.75,wifi,pedestrian_2-1_3320,lte,1.0
MUGNGNU6VVDU,5H6KUCWDQYTL,18031.25,18100.0,68.75,68.75,wifi,pedestrian_1-1-pt_7054,lte,1.0
IDWTVXDAP1J2,BTOZI7M4VFKD,18031.25,18100.0,68.75,68.75,wifi,pedestrian_1-3_2018,lte,1.0
D9TUW3AEV76N,R3P0K6VNPHPQ,18032.25,18100.0,67.75,67.75,lte,pedestrian_1-1-veh_546,wifi,1.0
TQOHBHZBKJAL,FGEO40QV205I,18032.25,18100.0,67.75,67.75,wifi,pedestrian_1-1-pt_3431,lte,1.0
CNYWX91IT9JM,W99EB1BW5WFY,18036.25,18100.0,63.75,63.75,lte,pedestrian_1-2_609,wifi,1.0
LUFNJBH43V70,ENQIEJQRHANS,18038.25,18100.0,61.75,61.75,wifi,pedestrian_1-1-pt_5078,lte,1.0
CS7KFDURIMLB,9GFO8SUH74X4,18041.25,18065.0,23.75,23.75,wifi,pedestrian_1-2_4734,lte,1.0
702C0EX5SE8D,P2YWT6M4Z9FR,18041.25,18100.0,58.75,98.75,wifi,pedestrian_1-2_1990,lte,0.5949367088607594
A76NPXJC93X7,I6TEJHNLUABY,18041.25,18100.0,58.75,58.75,wifi,pedestrian_1-2_285,lte,1.0
578UH6SS9SIR,BBVXL5HRB8OL,18045.25,18100.0,54.75,54.75,wifi,pedestrian_1-1-pt_8289,lte,1.0
OP02X2F3Z24C,8HHMIL76TFCA,18046.25,18100.0,53.75,53.75,lte,pedestrian_1-1-pt_6561,wifi,1.0
E3HH7C3COVRF,RYWSA330QBEC,18048.25,18100.0,51.75,51.75,lte,pedestrian_1-3_1790,wifi,1.0
BJQMSZ98QAKY,XUCL4VD344WP,18048.75,18100.0,51.25,90.75,lte,pedestrian_1-1-pt_8795,wifi,0.5647382920110193
8PVO4W0UTRLA,SW3OWM19A5BT,18049.25,18100.0,50.75,50.75,lte,pedestrian_1-1-pt_1673,wifi,1.0
1JXWZMXNS6F3,3UNLNFEFJBBW,18052.25,18100.0,47.75,47.75,wifi,pedestrian_1-2_3940,lte,1.0
NZGLQ5NQK4LJ,P0W3W1FMVLHM,18052.25,18100.0,47.75,47.75,wifi,pedestrian_1-2_638,lte,1.0
BB44MOV2F0SU,XMWXCWY9MSAK,18053.25,18100.0,46.75,46.75,wifi,pedestrian_2-1_1662,lte,1.0
YL4UBQWH7AW8,32JGTA9LYOT9,18054.25,18100.0,45.75,45.75,lte,pedestrian_1-1-pt_2498,wifi,1.0
ZJOQX4PY3I8K,754PRFM8N96O,18056.25,18100.0,43.75,43.75,wifi,pedestrian_1-3_2454,lte,1.0
1KNVDLW40AB1,GW2CYKPW7NJO,18030.25,18100.0,69.75,69.75,lte,pedestrian_1-1-pt_3251,wifi,1.0
QIAK63QMGNX8,8A07MKIX3UG9,18060.25,18100.0,39.75,39.75,wifi,pedestrian_1-3_268,lte,1.0
6D25UOTLYGZU,YGK8FTWMOROQ,18061.25,18100.0,38.75,38.75,wifi,pedestrian_1-2_5791,lte,1.0
56SEUGDIRXOX,RUI1C4QSCJPU,18064.25,18100.0,35.75,35.75,wifi,pedestrian_1-2_1741,lte,1.0
TJ62F9NH7QYI,UIJGQ9JFZ7HS,18064.25,18100.0,35.75,35.75,wifi,pedestrian_1-2_2171,lte,1.0
PD3V38MQP0YL,C24H79OSC15M,18065.25,18100.0,34.75,34.75,wifi,pedestrian_1-1-pt_4187,lte,1.0
FHM4RBMDF16X,IQA3JOYNLKXZ,18066.25,18100.0,33.75,33.75,wifi,pedestrian_1-3_90,lte,1.0
UQ1PMGYCJBZ0,TB83ITXEOR57,18069.25,18100.0,30.75,30.75,wifi,pedestrian_1-2_4454,lte,1.0
L473I7PLR5HQ,XETZTL59Q6ZP,18069.25,18100.0,30.75,30.75,wifi,pedestrian_1-1-pt_2201,lte,1.0
9E747FHAXKUJ,8T6INAZ4B8WR,18070.25,18100.0,29.75,29.75,wifi,pedestrian_1-1-veh_790,lte,1.0
8MQIB2ECXNDD,FPVYN56MEWQL,18072.25,18100.0,27.75,27.75,wifi,pedestrian_2-1_4638,lte,1.0
IIJQMCZZE53G,14HGMZTQ09Z5,18073.25,18100.0,26.75,26.75,wifi,pedestrian_1-1-pt_4658,lte,1.0
O6PCOUKM02ZI,SLJDN2WGXYXT,18073.25,18100.0,26.75,26.75,wifi,pedestrian_1-1-veh_668,lte,1.0
S3KNPGEE4454,8IVWU9KAZ1ZH,18073.25,18100.0,26.75,26.75,wifi,pedestrian_1-1-pt_2770,lte,1.0
FHCNYEILW1LG,BXWVFKG0I0H7,18075.25,18100.0,24.75,24.75,wifi,pedestrian_1-1-pt_5139,lte,1.0
89JJ2C9VNK2V,HOV2O18Z8KRE,18076.25,18100.0,23.75,23.75,wifi,pedestrian_1-1-pt_4472,lte,1.0
JR061ULOS5JH,VNF3UNEX6ZT1,18078.25,18100.0,21.75,21.75,wifi,pedestrian_1-3_3834,lte,1.0
0YGVNVMNUP1H,SV4BEWG3NMCJ,18078.25,18100.0,21.75,21.75,wifi,pedestrian_1-1-pt_255,lte,1.0
MTTGIKHXAFFD,0G5F26UNKL0B,18083.25,18100.0,16.75,16.75,wifi,pedestrian_1-1-pt_2835,lte,1.0
4YI8W8JI2A15,L6KF26A5EVRG,18085.25,18100.0,14.75,14.75,wifi,pedestrian_1-2_4327,lte,1.0
HPOLF4NQHA1N,R3P0K6VNPHPQ,18032.25,18100.0,67.75,67.75,lte,pedestrian_1-1-veh_546,wifi,1.0
CSPHVX3LVXPT,AWP988HPF2SQ,18092.25,18100.0,7.75,7.75,wifi,pedestrian_1-2_1559,lte,1.0
