id1,id2,start_timestep,last_timestep,duration,ideal_duration,protocol_id1,user_id,protocol_id2,privacy_score
8EAJO2SDSUVI,5T0TGB33R16N,18001.25,18075.25,74.0,98.75,wifi,pedestrian_1-1-pt_7251,lte,0.7493670886075949
9KRQQQUVF2RR,BYCD4VXP0ZKO,18004.25,18046.75,42.5,95.75,wifi,pedestrian_1-1-veh_105,lte,0.44386422976501305
YWBHM0ZUK9XX,9GWD6XP8LVMN,18009.25,18048.5,39.25,90.75,wifi,pedestrian_1-1-pt_8795,lte,0.4325068870523416
6CRMUVXH1LY6,SMDGYG5OREHJ,18011.25,18041.25,30.0,88.75,wifi,pedestrian_1-2_5770,lte,0.3380281690140845
B4KIGCLCFRLG,108CVBHBAHPR,18020.25,18079.25,59.0,79.75,wifi,pedestrian_1-1-pt_8365,lte,0.7398119122257053
WU11Y2DOSVWN,K27IA5S5PI5E,18022.25,18100.0,77.75,77.75,lte,pedestrian_1-3_5363,wifi,1.0
NSBABRPFA5E9,PL92BCS6SDRV,18027.25,18071.5,44.25,72.75,wifi,pedestrian_1-3_537,lte,0.6082474226804123
IZ1CSHLJ2WFZ,KVYYPAW5TD90,18029.25,18093.5,64.25,70.75,wifi,pedestrian_1-1-pt_1773,lte,0.9081272084805654
GW2CYKPW7NJO,1HRIJCP1JFQT,18030.25,18097.75,67.5,69.75,wifi,pedestrian_1-1-pt_3251,lte,0.967741935483871
IDWTVXDAP1J2,BTOZI7M4VFKD,18031.25,18071.75,40.5,68.75,wifi,pedestrian_1-3_2018,lte,0.5890909090909091
3386TQ2XL7X3,XDS8LRVNWW0G,18031.25,18092.0,60.75,68.75,wifi,pedestrian_2-1_3320,lte,0.8836363636363637
R3P0K6VNPHPQ,VVEHOMCS034Q,18032.25,18097.25,65.0,67.75,wifi,pedestrian_1-1-veh_546,lte,0.959409594095941
W99EB1BW5WFY,CNYWX91IT9JM,18036.25,18086.75,50.5,63.75,wifi,pedestrian_1-2_609,lte,0.792156862745098
KI1JN1EESES0,K27IA5S5PI5E,18022.25,18100.0,77.75,77.75,lte,pedestrian_1-3_5363,wifi,1.0
LUFNJBH43V70,ENQIEJQRHANS,18038.25,18089.25,51.0,61.75,wifi,pedestrian_1-1-pt_5078,lte,0.8259109311740891
