id,user_id,protocol,start_timestep,last_timestep,total_time,ble_duration,privacy_score
pedestrian_1-1-pt_0_B_PBWLH,pedestrian_1-1-pt_0,Bluetooth,19303.0,20944.0,1642.0,5898.0,0.2783994574432011
pedestrian_1-1-pt_1006_B_CC4Y9,pedestrian_1-1-pt_1006,Bluetooth,18839.0,20341.0,1503.0,7050.0,0.21319148936170212
pedestrian_1-1-pt_1037_B_XC81T,pedestrian_1-1-pt_1037,Bluetooth,20904.0,22122.0,1219.0,5840.0,0.20873287671232876
pedestrian_1-1-pt_1039_B_6425M,pedestrian_1-1-pt_1039,Bluetooth,19028.0,23730.0,4703.0,6474.0,0.7264442384924312
pedestrian_1-1-pt_1108_B_WG9NW,pedestrian_1-1-pt_1108,Bluetooth,18854.0,20653.0,1800.0,6696.0,0.26881720430107525
pedestrian_1-1-pt_1121_B_FZEZR,pedestrian_1-1-pt_1121,Bluetooth,22435.0,24371.0,1937.0,5916.0,0.32741717376605817
pedestrian_1-1-pt_1138_B_UYTOJ,pedestrian_1-1-pt_1138,Bluetooth,23100.0,25200.0,2101.0,5624.0,0.37357752489331436
pedestrian_1-1-pt_1167_B_SHJL8,pedestrian_1-1-pt_1167,Bluetooth,21574.0,22889.0,1316.0,6258.0,0.21029082774049218
pedestrian_1-1-pt_1173_B_K6QDW,pedestrian_1-1-pt_1173,Bluetooth,19719.0,21408.0,1690.0,6381.0,0.2648487697853001
pedestrian_1-1-pt_1226_B_0WFXC,pedestrian_1-1-pt_1226,Bluetooth,20377.0,21946.0,1570.0,5413.0,0.29004249030112694
pedestrian_1-1-pt_1238_B_10EAQ,pedestrian_1-1-pt_1238,Bluetooth,23140.0,25200.0,2061.0,6403.0,0.3218803685772294
pedestrian_1-1-pt_1270_B_FEVFP,pedestrian_1-1-pt_1270,Bluetooth,18955.0,20874.0,1920.0,6731.0,0.2852473629475561
pedestrian_1-1-pt_1296_B_3CRJA,pedestrian_1-1-pt_1296,Bluetooth,20851.0,22770.0,1920.0,6354.0,0.3021718602455146
pedestrian_1-1-pt_1298_B_K0MXS,pedestrian_1-1-pt_1298,Bluetooth,20947.0,23824.0,2878.0,6335.0,0.45430149960536703
pedestrian_1-1-pt_1304_B_BFG5R,pedestrian_1-1-pt_1304,Bluetooth,19347.0,21273.0,1927.0,5854.0,0.3291766313631705
pedestrian_1-1-pt_1306_B_G57NJ,pedestrian_1-1-pt_1306,Bluetooth,21378.0,23471.0,2094.0,6172.0,0.33927414128321454
pedestrian_1-1-pt_1329_B_J28W5,pedestrian_1-1-pt_1329,Bluetooth,19158.0,20936.0,1779.0,6666.0,0.2668766876687669
pedestrian_1-1-pt_1420_B_S3029,pedestrian_1-1-pt_1420,Bluetooth,20927.0,22454.0,1528.0,6156.0,0.24821312540610785
pedestrian_1-1-pt_1473_B_77BWP,pedestrian_1-1-pt_1473,Bluetooth,22745.0,25200.0,2456.0,5832.0,0.42112482853223593
pedestrian_1-1-pt_1497_B_OXRQM,pedestrian_1-1-pt_1497,Bluetooth,23202.0,24131.0,930.0,5453.0,0.17054832202457362
pedestrian_1-1-pt_150_B_9W15S,pedestrian_1-1-pt_150,Bluetooth,20128.0,21568.0,1441.0,5891.0,0.24461042267866237
pedestrian_1-1-pt_1560_B_23TVH,pedestrian_1-1-pt_1560,Bluetooth,18945.0,20762.0,1818.0,6694.0,0.27158649536898716
pedestrian_1-1-pt_1601_B_M3VD4,pedestrian_1-1-pt_1601,Bluetooth,21124.0,23024.0,1901.0,6011.0,0.31625353518549326
pedestrian_1-1-pt_1669_B_SX1QO,pedestrian_1-1-pt_1669,Bluetooth,20686.0,23409.0,2724.0,7057.0,0.38599971659345333
pedestrian_1-1-pt_1700_B_BPG46,pedestrian_1-1-pt_1700,Bluetooth,20506.0,21811.0,1306.0,5771.0,0.22630393346040548
pedestrian_1-1-pt_1714_B_1EQAE,pedestrian_1-1-pt_1714,Bluetooth,18687.0,20465.0,1779.0,6514.0,0.27310408351243476
pedestrian_1-1-pt_1723_B_REPT7,pedestrian_1-1-pt_1723,Bluetooth,20326.0,21624.0,1299.0,5437.0,0.2389185212433327
pedestrian_1-1-pt_1747_B_GTR3Z,pedestrian_1-1-pt_1747,Bluetooth,22753.0,24383.0,1631.0,6993.0,0.23323323323323322
pedestrian_1-1-pt_1798_B_IEQIZ,pedestrian_1-1-pt_1798,Bluetooth,19627.0,21492.0,1866.0,5574.0,0.33476856835306784
pedestrian_1-1-pt_182_B_3W256,pedestrian_1-1-pt_182,Bluetooth,21556.0,24763.0,3208.0,6141.0,0.5223904901481843
pedestrian_1-1-pt_1966_B_1O29W,pedestrian_1-1-pt_1966,Bluetooth,21797.0,24206.0,2410.0,6326.0,0.3809674359785014
pedestrian_1-1-pt_2013_B_F587V,pedestrian_1-1-pt_2013,Bluetooth,21820.0,24100.0,2281.0,6083.0,0.374979450928818
pedestrian_1-1-pt_2032_B_4JV9E,pedestrian_1-1-pt_2032,Bluetooth,23298.0,24165.0,868.0,6461.0,0.13434452871072589
pedestrian_1-1-pt_2129_B_PG9E3,pedestrian_1-1-pt_2129,Bluetooth,18717.0,20972.0,2256.0,6484.0,0.3479333744602097
pedestrian_1-1-pt_2162_B_TTD9O,pedestrian_1-1-pt_2162,Bluetooth,19960.0,21619.0,1660.0,6850.0,0.24233576642335766
pedestrian_1-1-pt_2170_B_MXVU2,pedestrian_1-1-pt_2170,Bluetooth,23342.0,25200.0,1859.0,6529.0,0.2847296676366978
pedestrian_1-1-pt_2297_B_GL3I7,pedestrian_1-1-pt_2297,Bluetooth,22327.0,24310.0,1984.0,5715.0,0.347156605424322
pedestrian_1-1-pt_2342_B_VIRZF,pedestrian_1-1-pt_2342,Bluetooth,22572.0,25200.0,2629.0,6929.0,0.3794198297012556
pedestrian_1-1-pt_2369_B_8DEYO,pedestrian_1-1-pt_2369,Bluetooth,19268.0,20775.0,1508.0,6654.0,0.22663059813645928
pedestrian_1-1-pt_2424_B_X2VYA,pedestrian_1-1-pt_2424,Bluetooth,20246.0,23071.0,2826.0,5720.0,0.49405594405594405
pedestrian_1-1-pt_2425_B_0HO45,pedestrian_1-1-pt_2425,Bluetooth,21128.0,22602.0,1475.0,6264.0,0.23547254150702426
pedestrian_1-1-pt_2431_B_Y0QU7,pedestrian_1-1-pt_2431,Bluetooth,19902.0,21313.0,1412.0,6458.0,0.2186435428925364
pedestrian_1-1-pt_2503_B_3O81Z,pedestrian_1-1-pt_2503,Bluetooth,20133.0,21368.0,1236.0,5459.0,0.22641509433962265
pedestrian_1-1-pt_2529_B_T0TWP,pedestrian_1-1-pt_2529,Bluetooth,21067.0,22577.0,1511.0,6637.0,0.22766310079855356
pedestrian_1-1-pt_255_B_PI1YS,pedestrian_1-1-pt_255,Bluetooth,22738.0,25200.0,2463.0,7122.0,0.34582982308340354
pedestrian_1-1-pt_2606_B_74P5Q,pedestrian_1-1-pt_2606,Bluetooth,18514.0,19506.0,993.0,6687.0,0.14849708389412292
