id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
pedestrian_1-1-pt_0_W_ARZY1,19303.0,23083.0,3781.0,pedestrian_1-1-pt_0,WiFi,5898.0,0.6410647677178705
pedestrian_1-1-pt_1006_W_L92G2,18425.0,25200.0,6776.0,pedestrian_1-1-pt_1006,WiFi,7050.0,0.9611347517730496
pedestrian_1-1-pt_1037_B_SGDLV,20084.0,23472.0,3389.0,pedestrian_1-1-pt_1037,Bluetooth,5840.0,0.5803082191780822
pedestrian_1-1-pt_1039_B_96EJ5,18727.0,25200.0,6474.0,pedestrian_1-1-pt_1039,Bluetooth,6474.0,1.0
pedestrian_1-1-pt_1108_W_JO9SO,18640.0,25200.0,6561.0,pedestrian_1-1-pt_1108,WiFi,6696.0,0.9798387096774194
pedestrian_1-1-pt_1121_W_4OY6D,19285.0,25200.0,5916.0,pedestrian_1-1-pt_1121,WiFi,5916.0,1.0
pedestrian_1-1-pt_1138_W_1LBAO,19577.0,22985.0,3409.0,pedestrian_1-1-pt_1138,WiFi,5624.0,0.6061522048364154
pedestrian_1-1-pt_1167_W_5YDAR,20615.0,25200.0,4586.0,pedestrian_1-1-pt_1167,WiFi,6258.0,0.7328219878555449
pedestrian_1-1-pt_1173_B_K6QDW,19719.0,22664.0,2946.0,pedestrian_1-1-pt_1173,Bluetooth,6381.0,0.461683121767748
pedestrian_1-1-pt_1226_B_32SFE,21994.0,25200.0,3207.0,pedestrian_1-1-pt_1226,Bluetooth,5413.0,0.5924625900609644
pedestrian_1-1-pt_1238_W_QQZMX,20636.0,25200.0,4565.0,pedestrian_1-1-pt_1238,WiFi,6403.0,0.7129470560674683
pedestrian_1-1-pt_1270_W_JPT9K,18470.0,24965.0,6496.0,pedestrian_1-1-pt_1270,WiFi,6731.0,0.9650869113058981
pedestrian_1-1-pt_1296_B_9XJ8K,18847.0,22770.0,3924.0,pedestrian_1-1-pt_1296,Bluetooth,6354.0,0.6175637393767706
pedestrian_1-1-pt_1298_B_PTX1E,18866.0,25200.0,6335.0,pedestrian_1-1-pt_1298,Bluetooth,6335.0,1.0
pedestrian_1-1-pt_1304_B_LYOQI,22279.0,24494.0,2216.0,pedestrian_1-1-pt_1304,Bluetooth,5854.0,0.3785445848992142
pedestrian_1-1-pt_1306_B_IV4RJ,20329.0,23471.0,3143.0,pedestrian_1-1-pt_1306,Bluetooth,6172.0,0.5092352559948153
pedestrian_1-1-pt_1329_W_TW4QY,19158.0,24238.0,5081.0,pedestrian_1-1-pt_1329,WiFi,6666.0,0.7622262226222623
pedestrian_1-1-pt_1420_W_5DFEH,20927.0,23681.0,2755.0,pedestrian_1-1-pt_1420,WiFi,6156.0,0.44753086419753085
