id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
pedestrian_1-1-pt_0_B_60HTO,19303.0,25200.0,5898.0,pedestrian_1-1-pt_0,Bluetooth,5898.0,1.0
pedestrian_1-1-pt_1006_L_LCQ8C,18151.0,25200.0,7050.0,pedestrian_1-1-pt_1006,LTE,7050.0,1.0
pedestrian_1-1-pt_1037_L_MR5EC,19361.0,25200.0,5840.0,pedestrian_1-1-pt_1037,LTE,5840.0,1.0
pedestrian_1-1-pt_1039_B_6425M,18727.0,25200.0,6474.0,pedestrian_1-1-pt_1039,Bluetooth,6474.0,1.0
pedestrian_1-1-pt_1108_B_N4Y05,18505.0,25200.0,6696.0,pedestrian_1-1-pt_1108,Bluetooth,6696.0,1.0
pedestrian_1-1-pt_1121_L_GL27C,19285.0,25200.0,5916.0,pedestrian_1-1-pt_1121,LTE,5916.0,1.0
pedestrian_1-1-pt_1138_L_O767R,19577.0,25200.0,5624.0,pedestrian_1-1-pt_1138,LTE,5624.0,1.0
pedestrian_1-1-pt_1167_B_TU3I6,18943.0,25200.0,6258.0,pedestrian_1-1-pt_1167,Bluetooth,6258.0,1.0
pedestrian_1-1-pt_1173_B_OGDH5,18820.0,25200.0,6381.0,pedestrian_1-1-pt_1173,Bluetooth,6381.0,1.0
pedestrian_1-1-pt_1226_B_1LCKF,19788.0,25200.0,5413.0,pedestrian_1-1-pt_1226,Bluetooth,5413.0,1.0
pedestrian_1-1-pt_1238_B_8HZJD,18798.0,25200.0,6403.0,pedestrian_1-1-pt_1238,Bluetooth,6403.0,1.0
pedestrian_1-1-pt_1270_L_OKKW6,18470.0,25200.0,6731.0,pedestrian_1-1-pt_1270,LTE,6731.0,1.0
pedestrian_1-1-pt_1296_L_DE6HE,18847.0,25200.0,6354.0,pedestrian_1-1-pt_1296,LTE,6354.0,1.0
pedestrian_1-1-pt_1298_B_100GW,18866.0,25200.0,6335.0,pedestrian_1-1-pt_1298,Bluetooth,6335.0,1.0
pedestrian_1-1-pt_1304_B_BFG5R,19347.0,25200.0,5854.0,pedestrian_1-1-pt_1304,Bluetooth,5854.0,1.0
pedestrian_1-1-pt_1306_B_G57NJ,20060.0,25200.0,5141.0,pedestrian_1-1-pt_1306,Bluetooth,6172.0,0.8329552819183409
pedestrian_1-1-pt_1329_L_Y71EE,18535.0,25200.0,6666.0,pedestrian_1-1-pt_1329,LTE,6666.0,1.0
pedestrian_1-1-pt_1420_B_4XG3X,19045.0,25200.0,6156.0,pedestrian_1-1-pt_1420,Bluetooth,6156.0,1.0
pedestrian_1-1-pt_1473_L_TUYP6,19369.0,25200.0,5832.0,pedestrian_1-1-pt_1473,LTE,5832.0,1.0
pedestrian_1-1-pt_1497_B_NL302,19748.0,25200.0,5453.0,pedestrian_1-1-pt_1497,Bluetooth,5453.0,1.0
pedestrian_1-1-pt_150_L_0IS2X,19310.0,25200.0,5891.0,pedestrian_1-1-pt_150,LTE,5891.0,1.0
pedestrian_1-1-pt_1560_B_EUS86,18507.0,25200.0,6694.0,pedestrian_1-1-pt_1560,Bluetooth,6694.0,1.0
pedestrian_1-1-pt_1601_L_MR38B,19190.0,25200.0,6011.0,pedestrian_1-1-pt_1601,LTE,6011.0,1.0
pedestrian_1-1-pt_1669_L_OOK2N,18144.0,25200.0,7057.0,pedestrian_1-1-pt_1669,LTE,7057.0,1.0
pedestrian_1-1-pt_1700_B_5PKZX,19430.0,25200.0,5771.0,pedestrian_1-1-pt_1700,Bluetooth,5771.0,1.0
pedestrian_1-1-pt_1714_L_FMJCH,18687.0,25200.0,6514.0,pedestrian_1-1-pt_1714,LTE,6514.0,1.0
pedestrian_1-1-pt_1723_B_Q6MD9,19764.0,25200.0,5437.0,pedestrian_1-1-pt_1723,Bluetooth,5437.0,1.0
pedestrian_1-1-pt_1747_L_5POC4,18208.0,25200.0,6993.0,pedestrian_1-1-pt_1747,LTE,6993.0,1.0
pedestrian_1-1-pt_1798_B_IEQIZ,19627.0,25200.0,5574.0,pedestrian_1-1-pt_1798,Bluetooth,5574.0,1.0
pedestrian_1-1-pt_182_B_DXOMS,19060.0,25200.0,6141.0,pedestrian_1-1-pt_182,Bluetooth,6141.0,1.0
pedestrian_1-1-pt_1966_L_8VMUJ,18875.0,25200.0,6326.0,pedestrian_1-1-pt_1966,LTE,6326.0,1.0
pedestrian_1-1-pt_2013_L_BJEBI,19118.0,25200.0,6083.0,pedestrian_1-1-pt_2013,LTE,6083.0,1.0
pedestrian_1-1-pt_2032_L_YXBPI,18740.0,25200.0,6461.0,pedestrian_1-1-pt_2032,LTE,6461.0,1.0
pedestrian_1-1-pt_2129_L_V9ZRD,18717.0,25200.0,6484.0,pedestrian_1-1-pt_2129,LTE,6484.0,1.0
pedestrian_1-1-pt_2162_L_GYQL7,18351.0,25200.0,6850.0,pedestrian_1-1-pt_2162,LTE,6850.0,1.0
pedestrian_1-1-pt_2170_L_BYDTC,18672.0,25200.0,6529.0,pedestrian_1-1-pt_2170,LTE,6529.0,1.0
pedestrian_1-1-pt_2297_L_E0HNH,19486.0,25200.0,5715.0,pedestrian_1-1-pt_2297,LTE,5715.0,1.0
pedestrian_1-1-pt_2342_B_605NI,18272.0,25200.0,6929.0,pedestrian_1-1-pt_2342,Bluetooth,6929.0,1.0
pedestrian_1-1-pt_2369_L_1MADO,18547.0,25200.0,6654.0,pedestrian_1-1-pt_2369,LTE,6654.0,1.0
pedestrian_1-1-pt_2424_L_XLP1M,19481.0,25200.0,5720.0,pedestrian_1-1-pt_2424,LTE,5720.0,1.0
pedestrian_1-1-pt_2425_B_0HO45,18937.0,23851.0,4915.0,pedestrian_1-1-pt_2425,Bluetooth,6264.0,0.7846424010217113
pedestrian_1-1-pt_2431_B_14MPJ,18743.0,25200.0,6458.0,pedestrian_1-1-pt_2431,Bluetooth,6458.0,1.0
pedestrian_1-1-pt_2503_B_GCMXP,19742.0,25200.0,5459.0,pedestrian_1-1-pt_2503,Bluetooth,5459.0,1.0
pedestrian_1-1-pt_2529_L_YKOKV,18564.0,25200.0,6637.0,pedestrian_1-1-pt_2529,LTE,6637.0,1.0
pedestrian_1-1-pt_255_B_GGMG0,18079.0,25200.0,7122.0,pedestrian_1-1-pt_255,Bluetooth,7122.0,1.0
pedestrian_1-1-pt_2606_B_74P5Q,18514.0,25200.0,6687.0,pedestrian_1-1-pt_2606,Bluetooth,6687.0,1.0
pedestrian_1-1-pt_2718_L_WS6O4,19195.0,25200.0,6006.0,pedestrian_1-1-pt_2718,LTE,6006.0,1.0
pedestrian_1-1-pt_2770_L_Q9711,18074.0,25200.0,7127.0,pedestrian_1-1-pt_2770,LTE,7127.0,1.0
pedestrian_1-1-pt_2808_B_ELSDW,19783.0,25200.0,5418.0,pedestrian_1-1-pt_2808,Bluetooth,5418.0,1.0
pedestrian_1-1-pt_2820_L_NOH43,18717.0,25200.0,6484.0,pedestrian_1-1-pt_2820,LTE,6484.0,1.0
pedestrian_1-1-pt_2834_B_KB8J2,19094.0,25200.0,6107.0,pedestrian_1-1-pt_2834,Bluetooth,6107.0,1.0
pedestrian_1-1-pt_2844_L_ZHTV8,18372.0,25200.0,6829.0,pedestrian_1-1-pt_2844,LTE,6829.0,1.0
pedestrian_1-1-pt_2863_B_PCW9I,18772.0,25200.0,6429.0,pedestrian_1-1-pt_2863,Bluetooth,6429.0,1.0
pedestrian_1-1-pt_2880_B_P0WPF,19303.0,25200.0,5898.0,pedestrian_1-1-pt_2880,Bluetooth,5898.0,1.0
pedestrian_1-1-pt_2920_B_LLKCQ,19077.0,25200.0,6124.0,pedestrian_1-1-pt_2920,Bluetooth,6124.0,1.0
pedestrian_1-1-pt_2952_B_P1AIJ,19634.0,25200.0,5567.0,pedestrian_1-1-pt_2952,Bluetooth,5567.0,1.0
pedestrian_1-1-pt_2961_L_EL4LV,19115.0,25200.0,6086.0,pedestrian_1-1-pt_2961,LTE,6086.0,1.0
pedestrian_1-1-pt_297_B_YPSSW,19146.0,25200.0,6055.0,pedestrian_1-1-pt_297,Bluetooth,6055.0,1.0
pedestrian_1-1-pt_3067_B_NF7A2,19288.0,25200.0,5913.0,pedestrian_1-1-pt_3067,Bluetooth,5913.0,1.0
pedestrian_1-1-pt_3097_L_RF2NU,19028.0,25200.0,6173.0,pedestrian_1-1-pt_3097,LTE,6173.0,1.0
pedestrian_1-1-pt_3176_L_6HVTR,19489.0,25200.0,5712.0,pedestrian_1-1-pt_3176,LTE,5712.0,1.0
pedestrian_1-1-pt_3207_B_HMMAZ,19319.0,25200.0,5882.0,pedestrian_1-1-pt_3207,Bluetooth,5882.0,1.0
pedestrian_1-1-pt_3230_L_2HF5G,19258.0,25200.0,5943.0,pedestrian_1-1-pt_3230,LTE,5943.0,1.0
pedestrian_1-1-pt_3275_L_4A0VX,18731.0,25200.0,6470.0,pedestrian_1-1-pt_3275,LTE,6470.0,1.0
pedestrian_1-1-pt_3353_L_7HABO,19580.0,25200.0,5621.0,pedestrian_1-1-pt_3353,LTE,5621.0,1.0
pedestrian_1-1-pt_3386_B_TOCBF,19569.0,25200.0,5632.0,pedestrian_1-1-pt_3386,Bluetooth,5632.0,1.0
pedestrian_1-1-pt_3409_B_UN8U3,19458.0,25200.0,5743.0,pedestrian_1-1-pt_3409,Bluetooth,5743.0,1.0
pedestrian_1-1-pt_3489_B_ICE1N,18706.0,25200.0,6495.0,pedestrian_1-1-pt_3489,Bluetooth,6495.0,1.0
pedestrian_1-1-pt_3512_B_HXGY8,19780.0,25200.0,5421.0,pedestrian_1-1-pt_3512,Bluetooth,5421.0,1.0
pedestrian_1-1-pt_3571_B_F32WL,19289.0,25200.0,5912.0,pedestrian_1-1-pt_3571,Bluetooth,5912.0,1.0
pedestrian_1-1-pt_3595_L_54RZM,19280.0,25200.0,5921.0,pedestrian_1-1-pt_3595,LTE,5921.0,1.0
pedestrian_1-1-pt_3624_L_RSPP0,19340.0,25200.0,5861.0,pedestrian_1-1-pt_3624,LTE,5861.0,1.0
pedestrian_1-1-pt_3629_L_H0UGW,18123.0,25200.0,7078.0,pedestrian_1-1-pt_3629,LTE,7078.0,1.0
pedestrian_1-1-pt_3671_B_C6X93,18958.0,25200.0,6243.0,pedestrian_1-1-pt_3671,Bluetooth,6243.0,1.0
pedestrian_1-1-pt_3769_L_XKJ06,18515.0,25200.0,6686.0,pedestrian_1-1-pt_3769,LTE,6686.0,1.0
pedestrian_1-1-pt_3800_L_QVG0O,19727.0,25200.0,5474.0,pedestrian_1-1-pt_3800,LTE,5474.0,1.0
pedestrian_1-1-pt_3858_L_47X5J,18473.0,25200.0,6728.0,pedestrian_1-1-pt_3858,LTE,6728.0,1.0
pedestrian_1-1-pt_3916_B_FITKO,19697.0,25200.0,5504.0,pedestrian_1-1-pt_3916,Bluetooth,5504.0,1.0
pedestrian_1-1-pt_3927_B_E36MU,18522.0,25200.0,6679.0,pedestrian_1-1-pt_3927,Bluetooth,6679.0,1.0
pedestrian_1-1-pt_3931_B_N9O3K,19823.0,25200.0,5378.0,pedestrian_1-1-pt_3931,Bluetooth,5378.0,1.0
pedestrian_1-1-pt_394_L_ATWP7,20507.0,25200.0,4694.0,pedestrian_1-1-pt_394,LTE,5831.0,0.8050077173726633
pedestrian_1-1-pt_4262_L_7E302,18424.0,25200.0,6777.0,pedestrian_1-1-pt_4262,LTE,6777.0,1.0
pedestrian_1-1-pt_4380_L_XCLVK,19651.0,25200.0,5550.0,pedestrian_1-1-pt_4380,LTE,5550.0,1.0
pedestrian_1-1-pt_4541_L_0YCUZ,20541.0,25200.0,4660.0,pedestrian_1-1-pt_4541,LTE,5793.0,0.8044191265320214
pedestrian_1-1-pt_4595_B_YHBTI,19577.0,25200.0,5624.0,pedestrian_1-1-pt_4595,Bluetooth,5624.0,1.0
pedestrian_1-1-pt_4645_L_NBM3I,19046.0,25200.0,6155.0,pedestrian_1-1-pt_4645,LTE,6155.0,1.0
pedestrian_1-1-pt_4671_B_GD8OO,18353.0,25200.0,6848.0,pedestrian_1-1-pt_4671,Bluetooth,6848.0,1.0
pedestrian_1-1-pt_4715_L_ME9UF,18725.0,25200.0,6476.0,pedestrian_1-1-pt_4715,LTE,6476.0,1.0
pedestrian_1-1-pt_4736_B_MS8QY,18877.0,25200.0,6324.0,pedestrian_1-1-pt_4736,Bluetooth,6324.0,1.0
pedestrian_1-1-pt_4785_L_OJG3J,19331.0,25200.0,5870.0,pedestrian_1-1-pt_4785,LTE,5870.0,1.0
pedestrian_1-1-pt_4875_B_XHERR,18736.0,25200.0,6465.0,pedestrian_1-1-pt_4875,Bluetooth,6465.0,1.0
pedestrian_1-1-pt_4879_B_0PIEQ,18560.0,25200.0,6641.0,pedestrian_1-1-pt_4879,Bluetooth,6641.0,1.0
pedestrian_1-1-pt_4901_L_J9JXE,19765.0,25200.0,5436.0,pedestrian_1-1-pt_4901,LTE,5436.0,1.0
pedestrian_1-1-pt_4919_B_ZRBME,19769.0,25200.0,5432.0,pedestrian_1-1-pt_4919,Bluetooth,5432.0,1.0
