id,start_timestep,last_timestep,total_time,user_id,protocol,ble_duration,privacy_score
pedestrian_1-1-pt_0_B_6ROYL,21188.0,23083.0,1896.0,pedestrian_1-1-pt_0,Bluetooth,5898.0,0.3214649033570702
pedestrian_1-1-pt_1006_B_CC4Y9,18839.0,25200.0,6362.0,pedestrian_1-1-pt_1006,Bluetooth,7050.0,0.9024113475177304
pedestrian_1-1-pt_1037_B_SGDLV,20084.0,23472.0,3389.0,pedestrian_1-1-pt_1037,Bluetooth,5840.0,0.5803082191780822
pedestrian_1-1-pt_1039_B_96EJ5,18727.0,23730.0,5004.0,pedestrian_1-1-pt_1039,Bluetooth,6474.0,0.772937905468026
pedestrian_1-1-pt_1108_B_M1LY5,22635.0,25200.0,2566.0,pedestrian_1-1-pt_1108,Bluetooth,6696.0,0.38321385902031063
pedestrian_1-1-pt_1121_B_7NHNC,19285.0,24371.0,5087.0,pedestrian_1-1-pt_1121,Bluetooth,5916.0,0.8598715348208249
pedestrian_1-1-pt_1138_B_98EGT,19577.0,22985.0,3409.0,pedestrian_1-1-pt_1138,Bluetooth,5624.0,0.6061522048364154
pedestrian_1-1-pt_1167_B_U87SD,20699.0,25200.0,4502.0,pedestrian_1-1-pt_1167,Bluetooth,6258.0,0.7193991690635986
pedestrian_1-1-pt_1173_B_K6QDW,19719.0,21408.0,1690.0,pedestrian_1-1-pt_1173,Bluetooth,6381.0,0.2648487697853001
pedestrian_1-1-pt_1226_B_W38X5,19857.0,21946.0,2090.0,pedestrian_1-1-pt_1226,Bluetooth,5413.0,0.38610751893589507
pedestrian_1-1-pt_1238_B_TGTSM,22839.0,25200.0,2362.0,pedestrian_1-1-pt_1238,Bluetooth,6403.0,0.36888958300796504
pedestrian_1-1-pt_1270_B_EMHAN,18470.0,24965.0,6496.0,pedestrian_1-1-pt_1270,Bluetooth,6731.0,0.9650869113058981
pedestrian_1-1-pt_1296_B_9XJ8K,18847.0,22770.0,3924.0,pedestrian_1-1-pt_1296,Bluetooth,6354.0,0.6175637393767706
pedestrian_1-1-pt_1298_B_NP18Z,20152.0,25200.0,5049.0,pedestrian_1-1-pt_1298,Bluetooth,6335.0,0.7970007892659826
pedestrian_1-1-pt_1304_B_BFG5R,19347.0,21273.0,1927.0,pedestrian_1-1-pt_1304,Bluetooth,5854.0,0.3291766313631705
pedestrian_1-1-pt_1306_B_IV4RJ,20329.0,23471.0,3143.0,pedestrian_1-1-pt_1306,Bluetooth,6172.0,0.5092352559948153
pedestrian_1-1-pt_1329_B_J28W5,19158.0,24238.0,5081.0,pedestrian_1-1-pt_1329,Bluetooth,6666.0,0.7622262226222623
pedestrian_1-1-pt_1420_B_4XG3X,19045.0,20905.0,1861.0,pedestrian_1-1-pt_1420,Bluetooth,6156.0,0.3023066926575699
pedestrian_1-1-pt_1473_B_LHBOE,19402.0,22289.0,2888.0,pedestrian_1-1-pt_1473,Bluetooth,5832.0,0.49519890260631
pedestrian_1-1-pt_1497_B_OXRQM,23202.0,24769.0,1568.0,pedestrian_1-1-pt_1497,Bluetooth,5453.0,0.28754813863928114
