id,start_timestep,last_timestep,total_time,user_id,protocol,lte_duration,privacy_score
pedestrian_1-1-pt_0_L_2A9F8,20635.0,25200.0,4566.0,pedestrian_1-1-pt_0,LTE,5898.0,0.7741607324516785
pedestrian_1-1-pt_1006_L_WSMMV,20053.0,25200.0,5148.0,pedestrian_1-1-pt_1006,LTE,7050.0,0.7302127659574468
pedestrian_1-1-pt_1037_L_MR5EC,19361.0,23296.0,3936.0,pedestrian_1-1-pt_1037,LTE,5840.0,0.673972602739726
pedestrian_1-1-pt_1039_L_UG8C1,18727.0,24269.0,5543.0,pedestrian_1-1-pt_1039,LTE,6474.0,0.8561940067964164
pedestrian_1-1-pt_1108_L_ZK434,19598.0,23415.0,3818.0,pedestrian_1-1-pt_1108,LTE,6696.0,0.5701911589008363
pedestrian_1-1-pt_1121_L_8RVB1,21120.0,25200.0,4081.0,pedestrian_1-1-pt_1121,LTE,5916.0,0.6898242055442867
pedestrian_1-1-pt_1138_L_O767R,19577.0,25200.0,5624.0,pedestrian_1-1-pt_1138,LTE,5624.0,1.0
pedestrian_1-1-pt_1167_L_W8A31,18943.0,23627.0,4685.0,pedestrian_1-1-pt_1167,LTE,6258.0,0.7486417385746245
pedestrian_1-1-pt_1173_L_O7PA3,18820.0,22707.0,3888.0,pedestrian_1-1-pt_1173,LTE,6381.0,0.609308885754584
pedestrian_1-1-pt_1226_L_41KRI,19788.0,25200.0,5413.0,pedestrian_1-1-pt_1226,LTE,5413.0,1.0
pedestrian_1-1-pt_1238_L_XTO5G,22076.0,25200.0,3125.0,pedestrian_1-1-pt_1238,LTE,6403.0,0.48805247540215524
pedestrian_1-1-pt_1270_L_ZGGVS,19525.0,23961.0,4437.0,pedestrian_1-1-pt_1270,LTE,6731.0,0.6591888278116179
pedestrian_1-1-pt_1296_L_DE6HE,18847.0,24243.0,5397.0,pedestrian_1-1-pt_1296,LTE,6354.0,0.8493862134088763
pedestrian_1-1-pt_1298_L_40K21,19911.0,23104.0,3194.0,pedestrian_1-1-pt_1298,LTE,6335.0,0.5041831097079715
pedestrian_1-1-pt_1304_L_5V2GJ,19347.0,21485.0,2139.0,pedestrian_1-1-pt_1304,LTE,5854.0,0.3653911855141783
pedestrian_1-1-pt_1306_L_FPUQE,20060.0,23154.0,3095.0,pedestrian_1-1-pt_1306,LTE,6172.0,0.5014581983149708
pedestrian_1-1-pt_1329_L_Y71EE,18535.0,23379.0,4845.0,pedestrian_1-1-pt_1329,LTE,6666.0,0.7268226822682268
pedestrian_1-1-pt_1420_L_3TU8P,21704.0,25200.0,3497.0,pedestrian_1-1-pt_1420,LTE,6156.0,0.5680636777128005
pedestrian_1-1-pt_1473_L_T0TG1,20645.0,24819.0,4175.0,pedestrian_1-1-pt_1473,LTE,5832.0,0.715877914951989
