id,user_id,protocol,start_timestep,last_timestep,total_time,lte_duration,privacy_score
pedestrian_1-1-pt_0_L_7JS8A,pedestrian_1-1-pt_0,LTE,22309.0,25200.0,2892.0,5898.0,0.4903357070193286
pedestrian_1-1-pt_1006_L_UNQKK,pedestrian_1-1-pt_1006,LTE,21354.0,22692.0,1339.0,7050.0,0.1899290780141844
pedestrian_1-1-pt_1037_L_XZGHS,pedestrian_1-1-pt_1037,LTE,20922.0,23296.0,2375.0,5840.0,0.4066780821917808
pedestrian_1-1-pt_1039_L_E8CQP,pedestrian_1-1-pt_1039,LTE,22686.0,24269.0,1584.0,6474.0,0.24467099165894346
pedestrian_1-1-pt_1108_L_501FD,pedestrian_1-1-pt_1108,LTE,20339.0,23415.0,3077.0,6696.0,0.4595280764635603
pedestrian_1-1-pt_1121_L_MS5PF,pedestrian_1-1-pt_1121,LTE,22203.0,24675.0,2473.0,5916.0,0.41801893171061527
pedestrian_1-1-pt_1138_L_MOVW9,pedestrian_1-1-pt_1138,LTE,20385.0,24816.0,4432.0,5624.0,0.7880512091038406
pedestrian_1-1-pt_1167_L_W8A31,pedestrian_1-1-pt_1167,LTE,18943.0,23627.0,4685.0,6258.0,0.7486417385746245
pedestrian_1-1-pt_1173_L_70KF8,pedestrian_1-1-pt_1173,LTE,19544.0,22516.0,2973.0,6381.0,0.46591443347437705
pedestrian_1-1-pt_1226_L_41KRI,pedestrian_1-1-pt_1226,LTE,19788.0,25200.0,5413.0,5413.0,1.0
pedestrian_1-1-pt_1238_L_FS7DU,pedestrian_1-1-pt_1238,LTE,18798.0,21270.0,2473.0,6403.0,0.38622520693424955
pedestrian_1-1-pt_1270_L_ZGGVS,pedestrian_1-1-pt_1270,LTE,19525.0,21881.0,2357.0,6731.0,0.3501708512850988
pedestrian_1-1-pt_1296_L_DE6HE,pedestrian_1-1-pt_1296,LTE,18847.0,24243.0,5397.0,6354.0,0.8493862134088763
pedestrian_1-1-pt_1298_L_40K21,pedestrian_1-1-pt_1298,LTE,19911.0,21400.0,1490.0,6335.0,0.23520126282557222
pedestrian_1-1-pt_1304_L_5V2GJ,pedestrian_1-1-pt_1304,LTE,19347.0,21485.0,2139.0,5854.0,0.3653911855141783
pedestrian_1-1-pt_1306_L_04B5R,pedestrian_1-1-pt_1306,LTE,23189.0,24668.0,1480.0,6172.0,0.23979261179520414
pedestrian_1-1-pt_1329_L_Y71EE,pedestrian_1-1-pt_1329,LTE,18535.0,20987.0,2453.0,6666.0,0.367986798679868
pedestrian_1-1-pt_1420_L_3TU8P,pedestrian_1-1-pt_1420,LTE,21704.0,23467.0,1764.0,6156.0,0.28654970760233917
pedestrian_1-1-pt_1473_L_T0OIB,pedestrian_1-1-pt_1473,LTE,22013.0,23366.0,1354.0,5832.0,0.23216735253772292
pedestrian_1-1-pt_1497_L_DOUF4,pedestrian_1-1-pt_1497,LTE,21854.0,25200.0,3347.0,5453.0,0.6137905739959655
pedestrian_1-1-pt_150_L_XI7CT,pedestrian_1-1-pt_150,LTE,22034.0,25200.0,3167.0,5891.0,0.5375997283992531
pedestrian_1-1-pt_1560_L_EVNBC,pedestrian_1-1-pt_1560,LTE,19681.0,22475.0,2795.0,6694.0,0.41753809381535706
pedestrian_1-1-pt_1601_L_E8K8Z,pedestrian_1-1-pt_1601,LTE,19926.0,24148.0,4223.0,6011.0,0.7025453335551489
pedestrian_1-1-pt_1669_L_BLKAX,pedestrian_1-1-pt_1669,LTE,20835.0,23975.0,3141.0,7057.0,0.4450899815785745
pedestrian_1-1-pt_1700_L_F2XYQ,pedestrian_1-1-pt_1700,LTE,19510.0,24146.0,4637.0,5771.0,0.8035002599202911
pedestrian_1-1-pt_1714_L_Q6HRB,pedestrian_1-1-pt_1714,LTE,19318.0,21660.0,2343.0,6514.0,0.3596868283696653
pedestrian_1-1-pt_1723_L_KWI8A,pedestrian_1-1-pt_1723,LTE,21384.0,25200.0,3817.0,5437.0,0.7020415670406475
pedestrian_1-1-pt_1747_L_19LUF,pedestrian_1-1-pt_1747,LTE,23429.0,25200.0,1772.0,6993.0,0.2533962533962534
pedestrian_1-1-pt_1798_L_3YPG9,pedestrian_1-1-pt_1798,LTE,22768.0,24836.0,2069.0,5574.0,0.37118765697883027
pedestrian_1-1-pt_182_L_40TYL,pedestrian_1-1-pt_182,LTE,19267.0,22133.0,2867.0,6141.0,0.4668620745806872
pedestrian_1-1-pt_1966_L_2777T,pedestrian_1-1-pt_1966,LTE,21695.0,23094.0,1400.0,6326.0,0.2213088839709137
pedestrian_1-1-pt_2013_L_W4PDB,pedestrian_1-1-pt_2013,LTE,21939.0,24674.0,2736.0,6083.0,0.4497780700312346
pedestrian_1-1-pt_2032_L_FRL85,pedestrian_1-1-pt_2032,LTE,21330.0,25200.0,3871.0,6461.0,0.5991332611050921
pedestrian_1-1-pt_2129_L_V9ZRD,pedestrian_1-1-pt_2129,LTE,18717.0,21499.0,2783.0,6484.0,0.4292103639728563
pedestrian_1-1-pt_2162_L_0YXU8,pedestrian_1-1-pt_2162,LTE,19640.0,21744.0,2105.0,6850.0,0.3072992700729927
pedestrian_1-1-pt_2170_L_ZHQSB,pedestrian_1-1-pt_2170,LTE,20331.0,22448.0,2118.0,6529.0,0.32439883596262825
pedestrian_1-1-pt_2297_L_QLETH,pedestrian_1-1-pt_2297,LTE,22059.0,25200.0,3142.0,5715.0,0.5497812773403324
pedestrian_1-1-pt_2342_L_COLKC,pedestrian_1-1-pt_2342,LTE,19626.0,22631.0,3006.0,6929.0,0.4338288353297734
pedestrian_1-1-pt_2369_L_U858W,pedestrian_1-1-pt_2369,LTE,21002.0,25200.0,4199.0,6654.0,0.631048993086865
pedestrian_1-1-pt_2424_L_RX262,pedestrian_1-1-pt_2424,LTE,20098.0,22457.0,2360.0,5720.0,0.4125874125874126
pedestrian_1-1-pt_2425_L_DCD81,pedestrian_1-1-pt_2425,LTE,22712.0,25200.0,2489.0,6264.0,0.3973499361430396
pedestrian_1-1-pt_2431_L_S2XTS,pedestrian_1-1-pt_2431,LTE,20021.0,21758.0,1738.0,6458.0,0.26912356766800866
pedestrian_1-1-pt_2503_L_PBTHT,pedestrian_1-1-pt_2503,LTE,20194.0,23600.0,3407.0,5459.0,0.6241069793002382
pedestrian_1-1-pt_2529_L_JZU8E,pedestrian_1-1-pt_2529,LTE,20515.0,24208.0,3694.0,6637.0,0.5565767666114209
pedestrian_1-1-pt_255_L_OCPNJ,pedestrian_1-1-pt_255,LTE,18079.0,22268.0,4190.0,7122.0,0.5883178882336423
pedestrian_1-1-pt_2606_L_63NFN,pedestrian_1-1-pt_2606,LTE,19420.0,21287.0,1868.0,6687.0,0.27934798863466426
pedestrian_1-1-pt_2718_L_MW1AS,pedestrian_1-1-pt_2718,LTE,20865.0,22595.0,1731.0,6006.0,0.2882117882117882
pedestrian_1-1-pt_2770_L_DCVZD,pedestrian_1-1-pt_2770,LTE,19450.0,21277.0,1828.0,7127.0,0.2564894064823909
pedestrian_1-1-pt_2808_L_VZYLU,pedestrian_1-1-pt_2808,LTE,22069.0,23961.0,1893.0,5418.0,0.349390919158361
pedestrian_1-1-pt_2820_L_3QYQL,pedestrian_1-1-pt_2820,LTE,19681.0,22253.0,2573.0,6484.0,0.3968229487970389
pedestrian_1-1-pt_2834_L_QP3SI,pedestrian_1-1-pt_2834,LTE,23354.0,25200.0,1847.0,6107.0,0.302439823153758
pedestrian_1-1-pt_2844_L_AW995,pedestrian_1-1-pt_2844,LTE,22353.0,25200.0,2848.0,6829.0,0.4170449553375311
pedestrian_1-1-pt_2863_L_U4RXP,pedestrian_1-1-pt_2863,LTE,19124.0,22970.0,3847.0,6429.0,0.5983823300668845
pedestrian_1-1-pt_2880_L_JXL4N,pedestrian_1-1-pt_2880,LTE,22891.0,25200.0,2310.0,5898.0,0.3916581892166836
pedestrian_1-1-pt_2920_L_BO5IS,pedestrian_1-1-pt_2920,LTE,20983.0,23620.0,2638.0,6124.0,0.43076420640104507
pedestrian_1-1-pt_2952_L_4EZB5,pedestrian_1-1-pt_2952,LTE,23399.0,25200.0,1802.0,5567.0,0.3236931920244297
pedestrian_1-1-pt_2961_L_2BT0B,pedestrian_1-1-pt_2961,LTE,19746.0,25200.0,5455.0,6086.0,0.896319421623398
pedestrian_1-1-pt_297_L_PKP3P,pedestrian_1-1-pt_297,LTE,19802.0,22922.0,3121.0,6055.0,0.5154417836498761
pedestrian_1-1-pt_3067_L_E6W2Y,pedestrian_1-1-pt_3067,LTE,21216.0,24206.0,2991.0,5913.0,0.5058346017250127
pedestrian_1-1-pt_3097_L_RF2NU,pedestrian_1-1-pt_3097,LTE,19028.0,22184.0,3157.0,6173.0,0.5114207030617204
pedestrian_1-1-pt_3176_L_6HVTR,pedestrian_1-1-pt_3176,LTE,19489.0,25200.0,5712.0,5712.0,1.0
pedestrian_1-1-pt_3207_L_I48RH,pedestrian_1-1-pt_3207,LTE,19746.0,23315.0,3570.0,5882.0,0.6069364161849711
