id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
pedestrian_1-1-pt_0_L_2A9F8,20635.0,25200.0,4566.0,pedestrian_1-1-pt_0,LTE,5898.0,0.7741607324516785
pedestrian_1-1-pt_1006_W_82KBO,20030.0,25200.0,5171.0,pedestrian_1-1-pt_1006,WiFi,7050.0,0.7334751773049646
pedestrian_1-1-pt_1037_L_MR5EC,19361.0,25200.0,5840.0,pedestrian_1-1-pt_1037,LTE,5840.0,1.0
pedestrian_1-1-pt_1039_L_UG8C1,18727.0,24269.0,5543.0,pedestrian_1-1-pt_1039,LTE,6474.0,0.8561940067964164
pedestrian_1-1-pt_1108_W_PT5O4,19598.0,25200.0,5603.0,pedestrian_1-1-pt_1108,WiFi,6696.0,0.836768219832736
pedestrian_1-1-pt_1121_W_AVIPL,21120.0,25200.0,4081.0,pedestrian_1-1-pt_1121,WiFi,5916.0,0.6898242055442867
pedestrian_1-1-pt_1138_W_QVW3Q,19577.0,25200.0,5624.0,pedestrian_1-1-pt_1138,WiFi,5624.0,1.0
pedestrian_1-1-pt_1167_L_W8A31,18943.0,25200.0,6258.0,pedestrian_1-1-pt_1167,LTE,6258.0,1.0
pedestrian_1-1-pt_1173_L_O7PA3,18820.0,25200.0,6381.0,pedestrian_1-1-pt_1173,LTE,6381.0,1.0
pedestrian_1-1-pt_1226_L_41KRI,19788.0,25200.0,5413.0,pedestrian_1-1-pt_1226,LTE,5413.0,1.0
pedestrian_1-1-pt_1238_W_5VN97,22076.0,25200.0,3125.0,pedestrian_1-1-pt_1238,WiFi,6403.0,0.48805247540215524
pedestrian_1-1-pt_1270_L_OKKW6,18470.0,25200.0,6731.0,pedestrian_1-1-pt_1270,LTE,6731.0,1.0
pedestrian_1-1-pt_1296_L_DE6HE,18847.0,24243.0,5397.0,pedestrian_1-1-pt_1296,LTE,6354.0,0.8493862134088763
pedestrian_1-1-pt_1298_W_FS4KQ,18866.0,24549.0,5684.0,pedestrian_1-1-pt_1298,WiFi,6335.0,0.8972375690607735
pedestrian_1-1-pt_1304_W_YBH15,19347.0,23124.0,3778.0,pedestrian_1-1-pt_1304,WiFi,5854.0,0.6453706867099419
pedestrian_1-1-pt_1306_L_FPUQE,20060.0,23154.0,3095.0,pedestrian_1-1-pt_1306,LTE,6172.0,0.5014581983149708
pedestrian_1-1-pt_1329_L_Y71EE,18535.0,23379.0,4845.0,pedestrian_1-1-pt_1329,LTE,6666.0,0.7268226822682268
pedestrian_1-1-pt_1420_L_PHFFY,19045.0,25200.0,6156.0,pedestrian_1-1-pt_1420,LTE,6156.0,1.0
pedestrian_1-1-pt_1473_W_1L26Y,20645.0,25200.0,4556.0,pedestrian_1-1-pt_1473,WiFi,5832.0,0.7812071330589849
pedestrian_1-1-pt_1497_L_DOUF4,21854.0,25200.0,3347.0,pedestrian_1-1-pt_1497,LTE,5453.0,0.6137905739959655
