id,user_id,protocol,start_timestep,last_timestep,total_time,wifi_duration,privacy_score
pedestrian_1-1-pt_0_W_F2MEQ,pedestrian_1-1-pt_0,WiFi,23647.0,23821.0,175.0,5898.0,0.02967107494065785
pedestrian_1-1-pt_1006_W_LJEPP,pedestrian_1-1-pt_1006,WiFi,23715.0,23949.0,235.0,7050.0,0.03333333333333333
pedestrian_1-1-pt_1037_W_3M5T8,pedestrian_1-1-pt_1037,WiFi,19503.0,19629.0,127.0,5840.0,0.021746575342465754
pedestrian_1-1-pt_1039_W_5UIS0,pedestrian_1-1-pt_1039,WiFi,22587.0,22788.0,202.0,6474.0,0.031201729996910718
pedestrian_1-1-pt_1108_W_2EA4W,pedestrian_1-1-pt_1108,WiFi,21857.0,22052.0,196.0,6696.0,0.02927120669056153
pedestrian_1-1-pt_1121_W_9D335,pedestrian_1-1-pt_1121,WiFi,24485.0,24810.0,326.0,5916.0,0.05510480054090602
pedestrian_1-1-pt_1138_W_J9G95,pedestrian_1-1-pt_1138,WiFi,21169.0,21617.0,449.0,5624.0,0.07983641536273116
pedestrian_1-1-pt_1167_W_FV9N3,pedestrian_1-1-pt_1167,WiFi,19942.0,20073.0,132.0,6258.0,0.02109300095877277
pedestrian_1-1-pt_1173_W_3ZN1V,pedestrian_1-1-pt_1173,WiFi,21211.0,21513.0,303.0,6381.0,0.04748472026328162
pedestrian_1-1-pt_1226_W_AF7BW,pedestrian_1-1-pt_1226,WiFi,24666.0,24944.0,279.0,5413.0,0.05154258267134676
pedestrian_1-1-pt_1238_W_1YCW0,pedestrian_1-1-pt_1238,WiFi,24926.0,25098.0,173.0,6403.0,0.027018585038263314
pedestrian_1-1-pt_1270_W_XQ4EE,pedestrian_1-1-pt_1270,WiFi,22448.0,22678.0,231.0,6731.0,0.03431882335462784
pedestrian_1-1-pt_1296_W_Y1L2X,pedestrian_1-1-pt_1296,WiFi,22251.0,22527.0,277.0,6354.0,0.04359458608750393
pedestrian_1-1-pt_1298_W_ETTN5,pedestrian_1-1-pt_1298,WiFi,20587.0,20748.0,162.0,6335.0,0.025572217837411208
