id,start_timestep,last_timestep,total_time,user_id,protocol,wifi_duration,privacy_score
pedestrian_1-1-pt_0_W_F2MEQ,23647.0,23821.0,175.0,pedestrian_1-1-pt_0,WiFi,5898.0,0.02967107494065785
pedestrian_1-1-pt_1006_W_1B8G8,23700.0,23949.0,250.0,pedestrian_1-1-pt_1006,WiFi,7050.0,0.03546099290780142
pedestrian_1-1-pt_1037_W_3M5T8,19503.0,19629.0,127.0,pedestrian_1-1-pt_1037,WiFi,5840.0,0.021746575342465754
pedestrian_1-1-pt_1039_W_5UIS0,22587.0,22788.0,202.0,pedestrian_1-1-pt_1039,WiFi,6474.0,0.031201729996910718
pedestrian_1-1-pt_1108_W_2EA4W,21857.0,22052.0,196.0,pedestrian_1-1-pt_1108,WiFi,6696.0,0.02927120669056153
pedestrian_1-1-pt_1121_W_9D335,24485.0,24810.0,326.0,pedestrian_1-1-pt_1121,WiFi,5916.0,0.05510480054090602
pedestrian_1-1-pt_1138_W_J9G95,21169.0,21617.0,449.0,pedestrian_1-1-pt_1138,WiFi,5624.0,0.07983641536273116
pedestrian_1-1-pt_1167_W_9NDZQ,20815.0,21040.0,226.0,pedestrian_1-1-pt_1167,WiFi,6258.0,0.03611377436880792
pedestrian_1-1-pt_1173_W_3ZN1V,21211.0,21513.0,303.0,pedestrian_1-1-pt_1173,WiFi,6381.0,0.04748472026328162
pedestrian_1-1-pt_1226_W_AF7BW,24666.0,24944.0,279.0,pedestrian_1-1-pt_1226,WiFi,5413.0,0.05154258267134676
pedestrian_1-1-pt_1238_W_1YCW0,24926.0,25098.0,173.0,pedestrian_1-1-pt_1238,WiFi,6403.0,0.027018585038263314
pedestrian_1-1-pt_1270_W_AGBNR,18603.0,18860.0,258.0,pedestrian_1-1-pt_1270,WiFi,6731.0,0.03833011439607785
pedestrian_1-1-pt_1296_W_3DJF6,18847.0,19315.0,469.0,pedestrian_1-1-pt_1296,WiFi,6354.0,0.0738117721120554
pedestrian_1-1-pt_1298_W_ETTN5,20587.0,20748.0,162.0,pedestrian_1-1-pt_1298,WiFi,6335.0,0.025572217837411208
pedestrian_1-1-pt_1304_W_G106M,22457.0,22651.0,195.0,pedestrian_1-1-pt_1304,WiFi,5854.0,0.033310556884181754
pedestrian_1-1-pt_1306_W_1MUO2,19209.0,19365.0,157.0,pedestrian_1-1-pt_1306,WiFi,6172.0,0.02543745949449125
pedestrian_1-1-pt_1329_W_R1UR5,21432.0,21678.0,247.0,pedestrian_1-1-pt_1329,WiFi,6666.0,0.03705370537053705
pedestrian_1-1-pt_1420_W_1ES0J,20062.0,20268.0,207.0,pedestrian_1-1-pt_1420,WiFi,6156.0,0.033625730994152045
pedestrian_1-1-pt_1473_W_EES2M,24499.0,24707.0,209.0,pedestrian_1-1-pt_1473,WiFi,5832.0,0.03583676268861454
pedestrian_1-1-pt_1497_W_KHJ00,22125.0,22288.0,164.0,pedestrian_1-1-pt_1497,WiFi,5453.0,0.03007518796992481
pedestrian_1-1-pt_150_W_QF8O1,21381.0,21660.0,280.0,pedestrian_1-1-pt_150,WiFi,5891.0,0.04753013070785945
pedestrian_1-1-pt_1560_W_5B8QN,23748.0,23991.0,244.0,pedestrian_1-1-pt_1560,WiFi,6694.0,0.036450552733791455
pedestrian_1-1-pt_1601_W_K6NSR,21902.0,22170.0,269.0,pedestrian_1-1-pt_1601,WiFi,6011.0,0.0447512893029446
pedestrian_1-1-pt_1669_W_LI1KE,18977.0,19240.0,264.0,pedestrian_1-1-pt_1669,WiFi,7057.0,0.03740966416324217
pedestrian_1-1-pt_1700_W_NUIRG,23585.0,24020.0,436.0,pedestrian_1-1-pt_1700,WiFi,5771.0,0.07555016461618437
pedestrian_1-1-pt_1714_W_Y2JNA,23594.0,23886.0,293.0,pedestrian_1-1-pt_1714,WiFi,6514.0,0.04498004298434142
pedestrian_1-1-pt_1723_W_5R36O,21920.0,22167.0,248.0,pedestrian_1-1-pt_1723,WiFi,5437.0,0.04561338973698731
pedestrian_1-1-pt_1747_W_6HL9N,20776.0,20990.0,215.0,pedestrian_1-1-pt_1747,WiFi,6993.0,0.030745030745030745
pedestrian_1-1-pt_1798_W_ITI74,24368.0,24917.0,550.0,pedestrian_1-1-pt_1798,WiFi,5574.0,0.0986724076067456
pedestrian_1-1-pt_182_W_OGGZX,19465.0,19749.0,285.0,pedestrian_1-1-pt_182,WiFi,6141.0,0.046409379579872984
pedestrian_1-1-pt_1966_W_8LYCJ,24513.0,24865.0,353.0,pedestrian_1-1-pt_1966,WiFi,6326.0,0.05580145431552324
pedestrian_1-1-pt_2013_W_NCSX9,20812.0,21031.0,220.0,pedestrian_1-1-pt_2013,WiFi,6083.0,0.03616636528028933
pedestrian_1-1-pt_2032_W_4ZJCA,24467.0,24696.0,230.0,pedestrian_1-1-pt_2032,WiFi,6461.0,0.03559820461228912
pedestrian_1-1-pt_2129_W_WC30T,19810.0,20040.0,231.0,pedestrian_1-1-pt_2129,WiFi,6484.0,0.035626156693399136
pedestrian_1-1-pt_2162_W_G8MWS,18351.0,18576.0,226.0,pedestrian_1-1-pt_2162,WiFi,6850.0,0.03299270072992701
pedestrian_1-1-pt_2170_W_FTR5H,19210.0,20110.0,901.0,pedestrian_1-1-pt_2170,WiFi,6529.0,0.13799969367437587
pedestrian_1-1-pt_2297_W_72ENQ,22549.0,22959.0,411.0,pedestrian_1-1-pt_2297,WiFi,5715.0,0.07191601049868766
pedestrian_1-1-pt_2342_W_UD7PT,18272.0,18836.0,565.0,pedestrian_1-1-pt_2342,WiFi,6929.0,0.08154134795785828
pedestrian_1-1-pt_2369_W_462EB,22187.0,22411.0,225.0,pedestrian_1-1-pt_2369,WiFi,6654.0,0.03381424706943192
pedestrian_1-1-pt_2424_W_GUP8Y,24785.0,24976.0,192.0,pedestrian_1-1-pt_2424,WiFi,5720.0,0.033566433566433566
pedestrian_1-1-pt_2425_W_9MSHJ,21119.0,21434.0,316.0,pedestrian_1-1-pt_2425,WiFi,6264.0,0.05044699872286079
pedestrian_1-1-pt_2431_W_1T4H9,20738.0,21151.0,414.0,pedestrian_1-1-pt_2431,WiFi,6458.0,0.0641065345308145
pedestrian_1-1-pt_2503_W_1RCKG,21820.0,21977.0,158.0,pedestrian_1-1-pt_2503,WiFi,5459.0,0.028943029858948525
pedestrian_1-1-pt_2529_W_2PIHS,20440.0,20692.0,253.0,pedestrian_1-1-pt_2529,WiFi,6637.0,0.03811963236401989
pedestrian_1-1-pt_255_W_7CRE3,18133.0,18545.0,413.0,pedestrian_1-1-pt_255,WiFi,7122.0,0.057989328840213426
pedestrian_1-1-pt_2606_W_85Z8Y,25044.0,25200.0,157.0,pedestrian_1-1-pt_2606,WiFi,6687.0,0.02347839090773142
pedestrian_1-1-pt_2718_W_KUFKS,19449.0,19881.0,433.0,pedestrian_1-1-pt_2718,WiFi,6006.0,0.0720945720945721
pedestrian_1-1-pt_2770_W_HQJA6,24252.0,24474.0,223.0,pedestrian_1-1-pt_2770,WiFi,7127.0,0.03128946260698751
pedestrian_1-1-pt_2808_W_IBJWJ,24972.0,25200.0,229.0,pedestrian_1-1-pt_2808,WiFi,5418.0,0.04226651901070506
pedestrian_1-1-pt_2820_W_VU9OI,22392.0,22661.0,270.0,pedestrian_1-1-pt_2820,WiFi,6484.0,0.04164096236890808
pedestrian_1-1-pt_2834_W_BK339,20816.0,21048.0,233.0,pedestrian_1-1-pt_2834,WiFi,6107.0,0.038152939250040936
pedestrian_1-1-pt_2844_W_8TRJL,23451.0,23773.0,323.0,pedestrian_1-1-pt_2844,WiFi,6829.0,0.047298286718406794
pedestrian_1-1-pt_2863_W_0Z81J,20016.0,20374.0,359.0,pedestrian_1-1-pt_2863,WiFi,6429.0,0.055840721729662465
pedestrian_1-1-pt_2880_W_3S33Z,23198.0,23459.0,262.0,pedestrian_1-1-pt_2880,WiFi,5898.0,0.04442183791115632
pedestrian_1-1-pt_2920_W_6M3PP,24852.0,25200.0,349.0,pedestrian_1-1-pt_2920,WiFi,6124.0,0.0569888961463096
pedestrian_1-1-pt_2952_W_I0LH8,24567.0,24839.0,273.0,pedestrian_1-1-pt_2952,WiFi,5567.0,0.04903897970181426
pedestrian_1-1-pt_2961_W_3G6DX,23848.0,24032.0,185.0,pedestrian_1-1-pt_2961,WiFi,6086.0,0.030397633913900757
pedestrian_1-1-pt_297_W_S8CME,22871.0,23031.0,161.0,pedestrian_1-1-pt_297,WiFi,6055.0,0.026589595375722544
pedestrian_1-1-pt_3067_W_Y03AT,22404.0,22901.0,498.0,pedestrian_1-1-pt_3067,WiFi,5913.0,0.08422120750887874
