id,user_id,protocol,start_timestep,last_timestep,total_time,ble_duration,privacy_score
pedestrian_1-1-pt_0_B_49W2P,pedestrian_1-1-pt_0,Bluetooth,21512.0,22319.0,808.0,5898.0,0.1369955917260088
pedestrian_1-1-pt_1006_B_ZX163,pedestrian_1-1-pt_1006,Bluetooth,23340.0,24203.0,864.0,7050.0,0.1225531914893617
pedestrian_1-1-pt_1037_B_SQKP0,pedestrian_1-1-pt_1037,Bluetooth,23313.0,24180.0,868.0,5840.0,0.14863013698630137
pedestrian_1-1-pt_1039_B_YOFHV,pedestrian_1-1-pt_1039,Bluetooth,22026.0,22828.0,803.0,6474.0,0.12403459993821439
pedestrian_1-1-pt_1108_B_X4LWG,pedestrian_1-1-pt_1108,Bluetooth,22240.0,23054.0,815.0,6696.0,0.12171445639187575
pedestrian_1-1-pt_1121_B_MBUEC,pedestrian_1-1-pt_1121,Bluetooth,23009.0,23886.0,878.0,5916.0,0.14841108857336038
pedestrian_1-1-pt_1138_B_BYKXE,pedestrian_1-1-pt_1138,Bluetooth,20374.0,21147.0,774.0,5624.0,0.137624466571835
pedestrian_1-1-pt_1167_B_GW0TC,pedestrian_1-1-pt_1167,Bluetooth,21833.0,22688.0,856.0,6258.0,0.13678491530840525
pedestrian_1-1-pt_1173_B_FS8FY,pedestrian_1-1-pt_1173,Bluetooth,20333.0,21156.0,824.0,6381.0,0.129133364676383
pedestrian_1-1-pt_1226_B_IHKGW,pedestrian_1-1-pt_1226,Bluetooth,19788.0,20603.0,816.0,5413.0,0.1507481987807131
pedestrian_1-1-pt_1238_B_CSEYI,pedestrian_1-1-pt_1238,Bluetooth,19572.0,20446.0,875.0,6403.0,0.13665469311260348
pedestrian_1-1-pt_1270_B_2ZJ6S,pedestrian_1-1-pt_1270,Bluetooth,21295.0,22121.0,827.0,6731.0,0.12286435893626504
pedestrian_1-1-pt_1296_B_PEL2P,pedestrian_1-1-pt_1296,Bluetooth,18847.0,19697.0,851.0,6354.0,0.13393138180673592
pedestrian_1-1-pt_1298_B_Q5TGR,pedestrian_1-1-pt_1298,Bluetooth,22715.0,23578.0,864.0,6335.0,0.13638516179952645
pedestrian_1-1-pt_1304_B_0SR5F,pedestrian_1-1-pt_1304,Bluetooth,22357.0,23220.0,864.0,5854.0,0.1475913905022207
pedestrian_1-1-pt_1306_B_7D1MW,pedestrian_1-1-pt_1306,Bluetooth,19878.0,20715.0,838.0,6172.0,0.13577446532728452
pedestrian_1-1-pt_1329_B_OA04E,pedestrian_1-1-pt_1329,Bluetooth,19151.0,20017.0,867.0,6666.0,0.13006300630063006
pedestrian_1-1-pt_1420_B_YY62D,pedestrian_1-1-pt_1420,Bluetooth,19045.0,19922.0,878.0,6156.0,0.14262508122157244
pedestrian_1-1-pt_1473_B_MK7FO,pedestrian_1-1-pt_1473,Bluetooth,22164.0,22884.0,721.0,5832.0,0.12362825788751715
pedestrian_1-1-pt_1497_B_YTH09,pedestrian_1-1-pt_1497,Bluetooth,19748.0,20538.0,791.0,5453.0,0.14505776636713735
pedestrian_1-1-pt_150_B_2N6KC,pedestrian_1-1-pt_150,Bluetooth,23842.0,24611.0,770.0,5891.0,0.13070785944661348
pedestrian_1-1-pt_1560_B_6XI6C,pedestrian_1-1-pt_1560,Bluetooth,22089.0,22899.0,811.0,6694.0,0.12115327158649537
pedestrian_1-1-pt_1601_B_0N9M0,pedestrian_1-1-pt_1601,Bluetooth,20583.0,21430.0,848.0,6011.0,0.14107469638995176
pedestrian_1-1-pt_1669_B_NI7I5,pedestrian_1-1-pt_1669,Bluetooth,23243.0,24122.0,880.0,7057.0,0.12469888054414056
pedestrian_1-1-pt_1700_B_XR9YH,pedestrian_1-1-pt_1700,Bluetooth,19430.0,20294.0,865.0,5771.0,0.149887367873852
pedestrian_1-1-pt_1714_B_303SL,pedestrian_1-1-pt_1714,Bluetooth,20846.0,21690.0,845.0,6514.0,0.12972060178077985
pedestrian_1-1-pt_1723_B_XSU9I,pedestrian_1-1-pt_1723,Bluetooth,24360.0,25200.0,841.0,5437.0,0.1546808901967997
pedestrian_1-1-pt_1747_B_O8AP3,pedestrian_1-1-pt_1747,Bluetooth,19060.0,19872.0,813.0,6993.0,0.11625911625911627
pedestrian_1-1-pt_1798_B_HIWLB,pedestrian_1-1-pt_1798,Bluetooth,19627.0,20462.0,836.0,5574.0,0.14998205956225333
pedestrian_1-1-pt_182_B_8A7AY,pedestrian_1-1-pt_182,Bluetooth,24243.0,25095.0,853.0,6141.0,0.13890245888291808
pedestrian_1-1-pt_1966_B_K7TLS,pedestrian_1-1-pt_1966,Bluetooth,18875.0,19681.0,807.0,6326.0,0.12756876383180524
pedestrian_1-1-pt_2013_B_82TXV,pedestrian_1-1-pt_2013,Bluetooth,21904.0,22679.0,776.0,6083.0,0.12756863389774784
pedestrian_1-1-pt_2032_B_UEFN2,pedestrian_1-1-pt_2032,Bluetooth,21600.0,22480.0,881.0,6461.0,0.13635660114533354
pedestrian_1-1-pt_2129_B_7T1UK,pedestrian_1-1-pt_2129,Bluetooth,20010.0,20778.0,769.0,6484.0,0.11859962985811227
