id,user_id,protocol,start_timestep,last_timestep,total_time,wifi_duration,privacy_score
pedestrian_1-1-pt_0_W_9G2YB,pedestrian_1-1-pt_0,WiFi,21532.0,21582.0,51.0,5898.0,0.008646998982706003
pedestrian_1-1-pt_1006_W_ZOGVX,pedestrian_1-1-pt_1006,WiFi,18923.0,18966.0,44.0,7050.0,0.00624113475177305
pedestrian_1-1-pt_1037_W_EFIES,pedestrian_1-1-pt_1037,WiFi,22527.0,22577.0,51.0,5840.0,0.008732876712328768
pedestrian_1-1-pt_1039_W_O5N41,pedestrian_1-1-pt_1039,WiFi,23618.0,23671.0,54.0,6474.0,0.008341056533827619
pedestrian_1-1-pt_1108_W_TDKGT,pedestrian_1-1-pt_1108,WiFi,23108.0,23154.0,47.0,6696.0,0.007019115890083632
pedestrian_1-1-pt_1121_W_4YZAZ,pedestrian_1-1-pt_1121,WiFi,21792.0,21845.0,54.0,5916.0,0.009127789046653144
pedestrian_1-1-pt_1138_W_VLLII,pedestrian_1-1-pt_1138,WiFi,22149.0,22202.0,54.0,5624.0,0.009601706970128023
pedestrian_1-1-pt_1167_W_M1DH7,pedestrian_1-1-pt_1167,WiFi,19065.0,19117.0,53.0,6258.0,0.008469159475870885
pedestrian_1-1-pt_1173_W_6V22F,pedestrian_1-1-pt_1173,WiFi,23311.0,23366.0,56.0,6381.0,0.008776053910045448
pedestrian_1-1-pt_1226_W_USUZI,pedestrian_1-1-pt_1226,WiFi,20773.0,20831.0,59.0,5413.0,0.01089968594125254
pedestrian_1-1-pt_1238_W_J72DB,pedestrian_1-1-pt_1238,WiFi,23297.0,23348.0,52.0,6403.0,0.008121193190691864
pedestrian_1-1-pt_1270_W_DZ4A3,pedestrian_1-1-pt_1270,WiFi,22841.0,22895.0,55.0,6731.0,0.008171148417768533
pedestrian_1-1-pt_1296_W_EK2N2,pedestrian_1-1-pt_1296,WiFi,22207.0,22260.0,54.0,6354.0,0.0084985835694051
pedestrian_1-1-pt_1298_W_3V1JP,pedestrian_1-1-pt_1298,WiFi,21219.0,21266.0,48.0,6335.0,0.007576953433307025
pedestrian_1-1-pt_1304_W_6VB93,pedestrian_1-1-pt_1304,WiFi,21967.0,22026.0,60.0,5854.0,0.010249402118209771
pedestrian_1-1-pt_1306_W_E84LQ,pedestrian_1-1-pt_1306,WiFi,20061.0,20108.0,48.0,6172.0,0.007777057679844459
pedestrian_1-1-pt_1329_W_ZN3GE,pedestrian_1-1-pt_1329,WiFi,20485.0,20527.0,43.0,6666.0,0.006450645064506451
pedestrian_1-1-pt_1420_W_OX8MS,pedestrian_1-1-pt_1420,WiFi,19444.0,19493.0,50.0,6156.0,0.008122157244964262
pedestrian_1-1-pt_1473_W_9VW31,pedestrian_1-1-pt_1473,WiFi,22685.0,22740.0,56.0,5832.0,0.009602194787379973
pedestrian_1-1-pt_1497_W_DBGG0,pedestrian_1-1-pt_1497,WiFi,23490.0,23540.0,51.0,5453.0,0.009352649917476618
pedestrian_1-1-pt_150_W_U1XAM,pedestrian_1-1-pt_150,WiFi,20858.0,20911.0,54.0,5891.0,0.009166525207944322
pedestrian_1-1-pt_1560_W_CNLPN,pedestrian_1-1-pt_1560,WiFi,18507.0,18562.0,56.0,6694.0,0.008365700627427548
pedestrian_1-1-pt_1601_W_9LBED,pedestrian_1-1-pt_1601,WiFi,22597.0,22648.0,52.0,6011.0,0.008650806854100815
pedestrian_1-1-pt_1669_W_0VR30,pedestrian_1-1-pt_1669,WiFi,24032.0,24088.0,57.0,7057.0,0.008077086580700015
