id,start_timestep,last_timestep,total_time,user_id,protocol,wifi_duration,privacy_score
pedestrian_1-1-pt_0_W_9G2YB,21532.0,21582.0,51.0,pedestrian_1-1-pt_0,WiFi,5898.0,0.008646998982706003
pedestrian_1-1-pt_1006_W_ZOGVX,18923.0,19005.0,83.0,pedestrian_1-1-pt_1006,WiFi,7050.0,0.01177304964539007
pedestrian_1-1-pt_1037_W_EFIES,22527.0,22577.0,51.0,pedestrian_1-1-pt_1037,WiFi,5840.0,0.008732876712328768
pedestrian_1-1-pt_1039_W_O5N41,23618.0,23671.0,54.0,pedestrian_1-1-pt_1039,WiFi,6474.0,0.008341056533827619
pedestrian_1-1-pt_1108_W_TDKGT,23108.0,23154.0,47.0,pedestrian_1-1-pt_1108,WiFi,6696.0,0.007019115890083632
pedestrian_1-1-pt_1121_W_W3B6G,22464.0,22575.0,112.0,pedestrian_1-1-pt_1121,WiFi,5916.0,0.018931710615280595
pedestrian_1-1-pt_1138_W_VLLII,22149.0,22202.0,54.0,pedestrian_1-1-pt_1138,WiFi,5624.0,0.009601706970128023
pedestrian_1-1-pt_1167_W_DIJKT,20071.0,20236.0,166.0,pedestrian_1-1-pt_1167,WiFi,6258.0,0.02652604666027485
pedestrian_1-1-pt_1173_W_6V22F,23311.0,23366.0,56.0,pedestrian_1-1-pt_1173,WiFi,6381.0,0.008776053910045448
pedestrian_1-1-pt_1226_W_USUZI,20773.0,20831.0,59.0,pedestrian_1-1-pt_1226,WiFi,5413.0,0.01089968594125254
pedestrian_1-1-pt_1238_W_J72DB,23297.0,23348.0,52.0,pedestrian_1-1-pt_1238,WiFi,6403.0,0.008121193190691864
pedestrian_1-1-pt_1270_W_566YB,18896.0,19110.0,215.0,pedestrian_1-1-pt_1270,WiFi,6731.0,0.031941761996731544
pedestrian_1-1-pt_1296_W_IBWWG,18847.0,19516.0,670.0,pedestrian_1-1-pt_1296,WiFi,6354.0,0.10544538873150772
pedestrian_1-1-pt_1298_W_3V1JP,21219.0,21266.0,48.0,pedestrian_1-1-pt_1298,WiFi,6335.0,0.007576953433307025
pedestrian_1-1-pt_1304_W_6VB93,21967.0,22026.0,60.0,pedestrian_1-1-pt_1304,WiFi,5854.0,0.010249402118209771
pedestrian_1-1-pt_1306_W_2VL64,19272.0,19345.0,74.0,pedestrian_1-1-pt_1306,WiFi,6172.0,0.011989630589760207
