id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
pedestrian_1-1-pt_0_L_9WDK8,19303.0,25200.0,5898.0,pedestrian_1-1-pt_0,LTE,5898.0,1.0
pedestrian_1-1-pt_1006_L_XS10B,18151.0,25200.0,7050.0,pedestrian_1-1-pt_1006,LTE,7050.0,1.0
pedestrian_1-1-pt_1037_L_R4LQ7,19361.0,25200.0,5840.0,pedestrian_1-1-pt_1037,LTE,5840.0,1.0
pedestrian_1-1-pt_1039_L_PNSCX,18727.0,25200.0,6474.0,pedestrian_1-1-pt_1039,LTE,6474.0,1.0
pedestrian_1-1-pt_1108_B_PDKAF,18505.0,25200.0,6696.0,pedestrian_1-1-pt_1108,Bluetooth,6696.0,1.0
pedestrian_1-1-pt_1121_B_K1655,19285.0,25200.0,5916.0,pedestrian_1-1-pt_1121,Bluetooth,5916.0,1.0
pedestrian_1-1-pt_1138_B_1AYCY,19577.0,25200.0,5624.0,pedestrian_1-1-pt_1138,Bluetooth,5624.0,1.0
pedestrian_1-1-pt_1167_B_84MJO,18943.0,25200.0,6258.0,pedestrian_1-1-pt_1167,Bluetooth,6258.0,1.0
pedestrian_1-1-pt_1173_L_71CEQ,18820.0,25200.0,6381.0,pedestrian_1-1-pt_1173,LTE,6381.0,1.0
pedestrian_1-1-pt_1226_B_3IPX8,19788.0,25200.0,5413.0,pedestrian_1-1-pt_1226,Bluetooth,5413.0,1.0
pedestrian_1-1-pt_1238_B_KBV7D,18798.0,25200.0,6403.0,pedestrian_1-1-pt_1238,Bluetooth,6403.0,1.0
pedestrian_1-1-pt_1270_L_MX40G,18470.0,25200.0,6731.0,pedestrian_1-1-pt_1270,LTE,6731.0,1.0
pedestrian_1-1-pt_1296_L_L5ZX4,18847.0,25200.0,6354.0,pedestrian_1-1-pt_1296,LTE,6354.0,1.0
pedestrian_1-1-pt_1298_L_LQVDH,18866.0,25200.0,6335.0,pedestrian_1-1-pt_1298,LTE,6335.0,1.0
pedestrian_1-1-pt_1304_L_D90QZ,19347.0,25200.0,5854.0,pedestrian_1-1-pt_1304,LTE,5854.0,1.0
pedestrian_1-1-pt_1306_L_4A447,19029.0,25200.0,6172.0,pedestrian_1-1-pt_1306,LTE,6172.0,1.0
pedestrian_1-1-pt_1329_L_AM83U,18535.0,25200.0,6666.0,pedestrian_1-1-pt_1329,LTE,6666.0,1.0
pedestrian_1-1-pt_1420_L_UIC0F,19045.0,25200.0,6156.0,pedestrian_1-1-pt_1420,LTE,6156.0,1.0
pedestrian_1-1-pt_1473_B_EBECI,19369.0,25200.0,5832.0,pedestrian_1-1-pt_1473,Bluetooth,5832.0,1.0
pedestrian_1-1-pt_1497_B_VCAFM,19748.0,25200.0,5453.0,pedestrian_1-1-pt_1497,Bluetooth,5453.0,1.0
pedestrian_1-1-pt_150_B_4GA46,19310.0,25200.0,5891.0,pedestrian_1-1-pt_150,Bluetooth,5891.0,1.0
pedestrian_1-1-pt_1560_B_PFDNZ,18507.0,25200.0,6694.0,pedestrian_1-1-pt_1560,Bluetooth,6694.0,1.0
pedestrian_1-1-pt_1601_B_1ZAX1,19190.0,25200.0,6011.0,pedestrian_1-1-pt_1601,Bluetooth,6011.0,1.0
pedestrian_1-1-pt_1669_B_EQRW8,18144.0,25200.0,7057.0,pedestrian_1-1-pt_1669,Bluetooth,7057.0,1.0
pedestrian_1-1-pt_1700_B_8UD4U,19430.0,25200.0,5771.0,pedestrian_1-1-pt_1700,Bluetooth,5771.0,1.0
pedestrian_1-1-pt_1714_B_TWG0G,18687.0,25200.0,6514.0,pedestrian_1-1-pt_1714,Bluetooth,6514.0,1.0
pedestrian_1-1-pt_1723_L_5TXW3,19764.0,25200.0,5437.0,pedestrian_1-1-pt_1723,LTE,5437.0,1.0
pedestrian_1-1-pt_1747_L_E5VN0,18208.0,25200.0,6993.0,pedestrian_1-1-pt_1747,LTE,6993.0,1.0
