id,start_timestep,last_timestep,total_time,user_id,protocol,ble_duration,privacy_score
pedestrian_1-1-pt_0_B_49W2P,21512.0,24535.0,3024.0,pedestrian_1-1-pt_0,Bluetooth,5898.0,0.5127161749745677
pedestrian_1-1-pt_1006_B_JU2LE,21748.0,24203.0,2456.0,pedestrian_1-1-pt_1006,Bluetooth,7050.0,0.3483687943262411
pedestrian_1-1-pt_1037_B_JKXZ8,19361.0,22518.0,3158.0,pedestrian_1-1-pt_1037,Bluetooth,5840.0,0.5407534246575343
pedestrian_1-1-pt_1039_B_MD8SA,22865.0,25200.0,2336.0,pedestrian_1-1-pt_1039,Bluetooth,6474.0,0.36082792709298733
pedestrian_1-1-pt_1108_B_N7JVU,21512.0,24668.0,3157.0,pedestrian_1-1-pt_1108,Bluetooth,6696.0,0.47147550776583036
pedestrian_1-1-pt_1121_B_I9ID2,22335.0,25200.0,2866.0,pedestrian_1-1-pt_1121,Bluetooth,5916.0,0.4844489519945909
pedestrian_1-1-pt_1138_B_VP886,22466.0,25200.0,2735.0,pedestrian_1-1-pt_1138,Bluetooth,5624.0,0.4863086770981508
pedestrian_1-1-pt_1167_B_A1KKC,18943.0,24955.0,6013.0,pedestrian_1-1-pt_1167,Bluetooth,6258.0,0.9608501118568232
pedestrian_1-1-pt_1173_B_Z63J4,18820.0,21156.0,2337.0,pedestrian_1-1-pt_1173,Bluetooth,6381.0,0.36624353549600375
pedestrian_1-1-pt_1226_B_IHKGW,19788.0,20603.0,816.0,pedestrian_1-1-pt_1226,Bluetooth,5413.0,0.1507481987807131
pedestrian_1-1-pt_1238_B_IZ73L,21254.0,23989.0,2736.0,pedestrian_1-1-pt_1238,Bluetooth,6403.0,0.42729970326409494
pedestrian_1-1-pt_1270_B_I4DKN,18470.0,19903.0,1434.0,pedestrian_1-1-pt_1270,Bluetooth,6731.0,0.21304412420145594
pedestrian_1-1-pt_1296_B_S88UG,20460.0,24181.0,3722.0,pedestrian_1-1-pt_1296,Bluetooth,6354.0,0.5857727415801071
pedestrian_1-1-pt_1298_B_4QTO2,18866.0,21946.0,3081.0,pedestrian_1-1-pt_1298,Bluetooth,6335.0,0.4863456985003946
pedestrian_1-1-pt_1304_B_6221D,20903.0,22309.0,1407.0,pedestrian_1-1-pt_1304,Bluetooth,5854.0,0.24034847967201914
pedestrian_1-1-pt_1306_B_W2JFV,19029.0,24183.0,5155.0,pedestrian_1-1-pt_1306,Bluetooth,6172.0,0.8352235904082955
