id,user_id,protocol,start_timestep,last_timestep,total_time,lte_duration,privacy_score
pedestrian_1-1-pt_0_L_03X08,pedestrian_1-1-pt_0,LTE,21492.0,22988.0,1497.0,5898.0,0.2538148524923703
pedestrian_1-1-pt_1006_L_II0L8,pedestrian_1-1-pt_1006,LTE,21268.0,22583.0,1316.0,7050.0,0.18666666666666668
pedestrian_1-1-pt_1037_L_NTI64,pedestrian_1-1-pt_1037,LTE,22351.0,24129.0,1779.0,5840.0,0.30462328767123287
pedestrian_1-1-pt_1039_L_PNSCX,pedestrian_1-1-pt_1039,LTE,20224.0,21857.0,1634.0,6474.0,0.2523941921532283
pedestrian_1-1-pt_1108_L_LJ3WN,pedestrian_1-1-pt_1108,LTE,23621.0,25200.0,1580.0,6696.0,0.23596176821983272
pedestrian_1-1-pt_1121_L_39TQ3,pedestrian_1-1-pt_1121,LTE,21858.0,23390.0,1533.0,5916.0,0.2591277890466531
pedestrian_1-1-pt_1138_L_EEW9U,pedestrian_1-1-pt_1138,LTE,21614.0,23269.0,1656.0,5624.0,0.29445234708392604
pedestrian_1-1-pt_1167_L_OJHIZ,pedestrian_1-1-pt_1167,LTE,21303.0,23030.0,1728.0,6258.0,0.27612655800575264
pedestrian_1-1-pt_1173_L_NVT2K,pedestrian_1-1-pt_1173,LTE,19604.0,20956.0,1353.0,6381.0,0.21203573107663376
pedestrian_1-1-pt_1226_L_GSWWQ,pedestrian_1-1-pt_1226,LTE,23506.0,25098.0,1593.0,5413.0,0.29429152041381856
pedestrian_1-1-pt_1238_L_DJKA5,pedestrian_1-1-pt_1238,LTE,19833.0,21519.0,1687.0,6403.0,0.2634702483210995
pedestrian_1-1-pt_1270_L_61Z87,pedestrian_1-1-pt_1270,LTE,19807.0,21266.0,1460.0,6731.0,0.21690684890803744
pedestrian_1-1-pt_1296_L_FYKHS,pedestrian_1-1-pt_1296,LTE,20364.0,21830.0,1467.0,6354.0,0.23087818696883852
pedestrian_1-1-pt_1298_L_3RUFG,pedestrian_1-1-pt_1298,LTE,22381.0,24002.0,1622.0,6335.0,0.25603788476716655
pedestrian_1-1-pt_1304_L_DAL67,pedestrian_1-1-pt_1304,LTE,22388.0,23818.0,1431.0,5854.0,0.24444824051930303
pedestrian_1-1-pt_1306_L_ZU199,pedestrian_1-1-pt_1306,LTE,19029.0,20737.0,1709.0,6172.0,0.27689565780946207
pedestrian_1-1-pt_1329_L_AM83U,pedestrian_1-1-pt_1329,LTE,18535.0,20317.0,1783.0,6666.0,0.2674767476747675
pedestrian_1-1-pt_1420_L_0043I,pedestrian_1-1-pt_1420,LTE,19045.0,20772.0,1728.0,6156.0,0.2807017543859649
pedestrian_1-1-pt_1473_L_DKAQS,pedestrian_1-1-pt_1473,LTE,22513.0,24002.0,1490.0,5832.0,0.2554869684499314
pedestrian_1-1-pt_1497_L_Y9JBQ,pedestrian_1-1-pt_1497,LTE,20600.0,22108.0,1509.0,5453.0,0.2767284063818082
pedestrian_1-1-pt_150_L_S3AAQ,pedestrian_1-1-pt_150,LTE,19310.0,20953.0,1644.0,5891.0,0.27906976744186046
pedestrian_1-1-pt_1560_L_6P9GC,pedestrian_1-1-pt_1560,LTE,21467.0,23180.0,1714.0,6694.0,0.25605019420376457
pedestrian_1-1-pt_1601_L_FBAN4,pedestrian_1-1-pt_1601,LTE,23100.0,24723.0,1624.0,6011.0,0.2701713525203793
pedestrian_1-1-pt_1669_L_LNZ0V,pedestrian_1-1-pt_1669,LTE,20550.0,22034.0,1485.0,7057.0,0.21042936091823722
pedestrian_1-1-pt_1700_L_47OKG,pedestrian_1-1-pt_1700,LTE,23422.0,24927.0,1506.0,5771.0,0.2609599722751689
pedestrian_1-1-pt_1714_L_O562O,pedestrian_1-1-pt_1714,LTE,18687.0,20244.0,1558.0,6514.0,0.2391771568928462
pedestrian_1-1-pt_1723_L_5TXW3,pedestrian_1-1-pt_1723,LTE,20682.0,22222.0,1541.0,5437.0,0.2834283612286187
pedestrian_1-1-pt_1747_L_RH7K9,pedestrian_1-1-pt_1747,LTE,21022.0,22591.0,1570.0,6993.0,0.2245102245102245
pedestrian_1-1-pt_1798_L_6X94J,pedestrian_1-1-pt_1798,LTE,20471.0,21997.0,1527.0,5574.0,0.2739504843918192
pedestrian_1-1-pt_182_L_N3BMZ,pedestrian_1-1-pt_182,LTE,20550.0,22077.0,1528.0,6141.0,0.24881941051945938
pedestrian_1-1-pt_1966_L_CU9N6,pedestrian_1-1-pt_1966,LTE,18875.0,20040.0,1166.0,6326.0,0.1843186847929181
pedestrian_1-1-pt_2013_L_W2FMC,pedestrian_1-1-pt_2013,LTE,21767.0,23319.0,1553.0,6083.0,0.2553016603649515
pedestrian_1-1-pt_2032_L_OBX8R,pedestrian_1-1-pt_2032,LTE,18740.0,19970.0,1231.0,6461.0,0.19052778207707785
pedestrian_1-1-pt_2129_L_7U8AS,pedestrian_1-1-pt_2129,LTE,19790.0,21412.0,1623.0,6484.0,0.250308451573103
pedestrian_1-1-pt_2162_L_VA151,pedestrian_1-1-pt_2162,LTE,21640.0,23248.0,1609.0,6850.0,0.23489051094890512
pedestrian_1-1-pt_2170_L_VP082,pedestrian_1-1-pt_2170,LTE,19914.0,21561.0,1648.0,6529.0,0.25241231429009037
pedestrian_1-1-pt_2297_L_7BOLL,pedestrian_1-1-pt_2297,LTE,20663.0,21945.0,1283.0,5715.0,0.22449693788276465
pedestrian_1-1-pt_2342_L_1BKUP,pedestrian_1-1-pt_2342,LTE,21994.0,23742.0,1749.0,6929.0,0.25241737624476834
pedestrian_1-1-pt_2369_L_SSMBR,pedestrian_1-1-pt_2369,LTE,18547.0,20326.0,1780.0,6654.0,0.2675082657048392
pedestrian_1-1-pt_2424_L_CWONF,pedestrian_1-1-pt_2424,LTE,19481.0,20982.0,1502.0,5720.0,0.2625874125874126
pedestrian_1-1-pt_2425_L_T7F5N,pedestrian_1-1-pt_2425,LTE,23158.0,24425.0,1268.0,6264.0,0.20242656449553
