id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
pedestrian_1-1-pt_0_W_0ZAP6,19303.0,25200.0,5898.0,pedestrian_1-1-pt_0,WiFi,5898.0,1.0
pedestrian_1-1-pt_1006_W_WTZST,18151.0,25200.0,7050.0,pedestrian_1-1-pt_1006,WiFi,7050.0,1.0
pedestrian_1-1-pt_1037_L_S2XH5,19361.0,24129.0,4769.0,pedestrian_1-1-pt_1037,LTE,5840.0,0.8166095890410959
pedestrian_1-1-pt_1039_L_PNSCX,18727.0,25200.0,6474.0,pedestrian_1-1-pt_1039,LTE,6474.0,1.0
pedestrian_1-1-pt_1108_W_XD7FR,18505.0,25200.0,6696.0,pedestrian_1-1-pt_1108,WiFi,6696.0,1.0
pedestrian_1-1-pt_1121_W_OGQ8V,19285.0,25200.0,5916.0,pedestrian_1-1-pt_1121,WiFi,5916.0,1.0
pedestrian_1-1-pt_1138_L_N5568,21614.0,25200.0,3587.0,pedestrian_1-1-pt_1138,LTE,5624.0,0.6378022759601707
pedestrian_1-1-pt_1167_W_5ISVN,18943.0,25200.0,6258.0,pedestrian_1-1-pt_1167,WiFi,6258.0,1.0
pedestrian_1-1-pt_1173_L_71CEQ,18820.0,25200.0,6381.0,pedestrian_1-1-pt_1173,LTE,6381.0,1.0
pedestrian_1-1-pt_1226_W_IXO9K,19788.0,25200.0,5413.0,pedestrian_1-1-pt_1226,WiFi,5413.0,1.0
pedestrian_1-1-pt_1238_W_24LMC,19833.0,22597.0,2765.0,pedestrian_1-1-pt_1238,WiFi,6403.0,0.43182883023582697
pedestrian_1-1-pt_1270_L_MX40G,19807.0,25200.0,5394.0,pedestrian_1-1-pt_1270,LTE,6731.0,0.8013668102807904
pedestrian_1-1-pt_1296_W_1O65B,18847.0,25200.0,6354.0,pedestrian_1-1-pt_1296,WiFi,6354.0,1.0
pedestrian_1-1-pt_1298_W_QG936,18866.0,24717.0,5852.0,pedestrian_1-1-pt_1298,WiFi,6335.0,0.9237569060773481
pedestrian_1-1-pt_1304_L_5MIX5,21472.0,25200.0,3729.0,pedestrian_1-1-pt_1304,LTE,5854.0,0.6370003416467372
pedestrian_1-1-pt_1306_L_ZU199,19029.0,24133.0,5105.0,pedestrian_1-1-pt_1306,LTE,6172.0,0.8271224886584575
pedestrian_1-1-pt_1329_W_KT5GX,18535.0,25200.0,6666.0,pedestrian_1-1-pt_1329,WiFi,6666.0,1.0
pedestrian_1-1-pt_1420_L_S56VY,19045.0,25200.0,6156.0,pedestrian_1-1-pt_1420,LTE,6156.0,1.0
pedestrian_1-1-pt_1473_W_GYQW3,19369.0,24002.0,4634.0,pedestrian_1-1-pt_1473,WiFi,5832.0,0.7945816186556928
pedestrian_1-1-pt_1497_W_2ZWLL,19748.0,24714.0,4967.0,pedestrian_1-1-pt_1497,WiFi,5453.0,0.9108747478452228
pedestrian_1-1-pt_150_W_M19P0,19310.0,25200.0,5891.0,pedestrian_1-1-pt_150,WiFi,5891.0,1.0
pedestrian_1-1-pt_1560_W_CMV8Z,21467.0,25200.0,3734.0,pedestrian_1-1-pt_1560,WiFi,6694.0,0.5578129668359725
pedestrian_1-1-pt_1601_W_LPUED,19190.0,25200.0,6011.0,pedestrian_1-1-pt_1601,WiFi,6011.0,1.0
pedestrian_1-1-pt_1669_W_5WHTU,18144.0,24896.0,6753.0,pedestrian_1-1-pt_1669,WiFi,7057.0,0.9569222049029332
pedestrian_1-1-pt_1700_W_9RB0W,19430.0,25200.0,5771.0,pedestrian_1-1-pt_1700,WiFi,5771.0,1.0
pedestrian_1-1-pt_1714_W_ITGQ2,18687.0,22363.0,3677.0,pedestrian_1-1-pt_1714,WiFi,6514.0,0.5644765121277249
pedestrian_1-1-pt_1723_W_QYWSW,19764.0,24885.0,5122.0,pedestrian_1-1-pt_1723,WiFi,5437.0,0.9420636380356815
pedestrian_1-1-pt_1747_L_RH7K9,19696.0,22591.0,2896.0,pedestrian_1-1-pt_1747,LTE,6993.0,0.4141284141284141
pedestrian_1-1-pt_1798_W_XBAX2,20471.0,22974.0,2504.0,pedestrian_1-1-pt_1798,WiFi,5574.0,0.4492285611768927
pedestrian_1-1-pt_182_W_8HE88,19060.0,23125.0,4066.0,pedestrian_1-1-pt_182,WiFi,6141.0,0.6621071486728546
pedestrian_1-1-pt_1966_W_ECC23,18875.0,25200.0,6326.0,pedestrian_1-1-pt_1966,WiFi,6326.0,1.0
pedestrian_1-1-pt_2013_L_GTBYI,19118.0,21726.0,2609.0,pedestrian_1-1-pt_2013,LTE,6083.0,0.4289002137103403
pedestrian_1-1-pt_2032_W_FO3U2,18740.0,25200.0,6461.0,pedestrian_1-1-pt_2032,WiFi,6461.0,1.0
pedestrian_1-1-pt_2129_L_UAX7A,19790.0,25200.0,5411.0,pedestrian_1-1-pt_2129,LTE,6484.0,0.8345157310302282
pedestrian_1-1-pt_2162_L_CNRHX,20683.0,25200.0,4518.0,pedestrian_1-1-pt_2162,LTE,6850.0,0.6595620437956204
pedestrian_1-1-pt_2170_W_IVE0M,18672.0,25200.0,6529.0,pedestrian_1-1-pt_2170,WiFi,6529.0,1.0
pedestrian_1-1-pt_2297_W_2B18B,19486.0,25200.0,5715.0,pedestrian_1-1-pt_2297,WiFi,5715.0,1.0
pedestrian_1-1-pt_2342_W_BOPGV,19731.0,25200.0,5470.0,pedestrian_1-1-pt_2342,WiFi,6929.0,0.7894357050079377
pedestrian_1-1-pt_2369_W_T34FA,20350.0,24506.0,4157.0,pedestrian_1-1-pt_2369,WiFi,6654.0,0.6247370003005711
pedestrian_1-1-pt_2424_W_0QKTR,19481.0,25200.0,5720.0,pedestrian_1-1-pt_2424,WiFi,5720.0,1.0
pedestrian_1-1-pt_2425_W_PUQMS,18937.0,25200.0,6264.0,pedestrian_1-1-pt_2425,WiFi,6264.0,1.0
pedestrian_1-1-pt_2431_W_0IQXA,18743.0,25200.0,6458.0,pedestrian_1-1-pt_2431,WiFi,6458.0,1.0
pedestrian_1-1-pt_2503_W_9YRLX,19742.0,25200.0,5459.0,pedestrian_1-1-pt_2503,WiFi,5459.0,1.0
pedestrian_1-1-pt_2529_W_BHKJB,18564.0,25200.0,6637.0,pedestrian_1-1-pt_2529,WiFi,6637.0,1.0
pedestrian_1-1-pt_255_L_DSA6Z,18079.0,22276.0,4198.0,pedestrian_1-1-pt_255,LTE,7122.0,0.5894411682111766
pedestrian_1-1-pt_2606_W_OGJ9W,18514.0,25200.0,6687.0,pedestrian_1-1-pt_2606,WiFi,6687.0,1.0
pedestrian_1-1-pt_2718_W_KXQ83,19195.0,25200.0,6006.0,pedestrian_1-1-pt_2718,WiFi,6006.0,1.0
pedestrian_1-1-pt_2770_W_AITOB,18074.0,25200.0,7127.0,pedestrian_1-1-pt_2770,WiFi,7127.0,1.0
pedestrian_1-1-pt_2808_W_0NWOQ,22011.0,25200.0,3190.0,pedestrian_1-1-pt_2808,WiFi,5418.0,0.5887781469176818
pedestrian_1-1-pt_2820_W_F6SB5,18717.0,24128.0,5412.0,pedestrian_1-1-pt_2820,WiFi,6484.0,0.8346699568167798
pedestrian_1-1-pt_2834_W_R69KC,19094.0,24460.0,5367.0,pedestrian_1-1-pt_2834,WiFi,6107.0,0.8788275749140331
pedestrian_1-1-pt_2844_L_LJLMW,18372.0,25200.0,6829.0,pedestrian_1-1-pt_2844,LTE,6829.0,1.0
pedestrian_1-1-pt_2863_W_JKUEB,19671.0,25200.0,5530.0,pedestrian_1-1-pt_2863,WiFi,6429.0,0.8601648778970291
pedestrian_1-1-pt_2880_W_J8VOL,20373.0,24495.0,4123.0,pedestrian_1-1-pt_2880,WiFi,5898.0,0.699050525601899
pedestrian_1-1-pt_2920_W_XG6XG,19077.0,25200.0,6124.0,pedestrian_1-1-pt_2920,WiFi,6124.0,1.0
pedestrian_1-1-pt_2952_L_GXCD2,19634.0,25200.0,5567.0,pedestrian_1-1-pt_2952,LTE,5567.0,1.0
pedestrian_1-1-pt_2961_W_UIGCD,19115.0,25200.0,6086.0,pedestrian_1-1-pt_2961,WiFi,6086.0,1.0
pedestrian_1-1-pt_297_L_7YZWU,19146.0,24335.0,5190.0,pedestrian_1-1-pt_297,LTE,6055.0,0.8571428571428571
