id,start_timestep,last_timestep,total_time,user_id,protocol,lte_duration,privacy_score
pedestrian_1-1-pt_0_L_WWEFL,19303.0,25200.0,5898.0,pedestrian_1-1-pt_0,LTE,5898.0,1.0
pedestrian_1-1-pt_1006_L_Z8ELC,20135.0,25200.0,5066.0,pedestrian_1-1-pt_1006,LTE,7050.0,0.7185815602836879
pedestrian_1-1-pt_1037_L_WR25B,19361.0,24129.0,4769.0,pedestrian_1-1-pt_1037,LTE,5840.0,0.8166095890410959
pedestrian_1-1-pt_1039_L_980CF,21914.0,25200.0,3287.0,pedestrian_1-1-pt_1039,LTE,6474.0,0.5077232004942849
pedestrian_1-1-pt_1108_L_AVAK0,18505.0,25200.0,6696.0,pedestrian_1-1-pt_1108,LTE,6696.0,1.0
pedestrian_1-1-pt_1121_L_FHSBU,19285.0,23390.0,4106.0,pedestrian_1-1-pt_1121,LTE,5916.0,0.6940500338066261
pedestrian_1-1-pt_1138_L_2KYHA,19577.0,21577.0,2001.0,pedestrian_1-1-pt_1138,LTE,5624.0,0.35579658605974396
pedestrian_1-1-pt_1167_L_Y0N4L,18943.0,25200.0,6258.0,pedestrian_1-1-pt_1167,LTE,6258.0,1.0
pedestrian_1-1-pt_1173_L_L1TJB,18820.0,25200.0,6381.0,pedestrian_1-1-pt_1173,LTE,6381.0,1.0
pedestrian_1-1-pt_1226_L_FHDU7,22510.0,25200.0,2691.0,pedestrian_1-1-pt_1226,LTE,5413.0,0.4971365231849252
pedestrian_1-1-pt_1238_L_DJKA5,19833.0,22597.0,2765.0,pedestrian_1-1-pt_1238,LTE,6403.0,0.43182883023582697
pedestrian_1-1-pt_1270_L_PNOQA,21273.0,25200.0,3928.0,pedestrian_1-1-pt_1270,LTE,6731.0,0.5835685633635418
pedestrian_1-1-pt_1296_L_52NQJ,18847.0,25200.0,6354.0,pedestrian_1-1-pt_1296,LTE,6354.0,1.0
pedestrian_1-1-pt_1298_L_TKDDU,21249.0,24717.0,3469.0,pedestrian_1-1-pt_1298,LTE,6335.0,0.5475927387529598
pedestrian_1-1-pt_1304_L_70343,21472.0,25200.0,3729.0,pedestrian_1-1-pt_1304,LTE,5854.0,0.6370003416467372
pedestrian_1-1-pt_1306_L_ZU199,19029.0,24133.0,5105.0,pedestrian_1-1-pt_1306,LTE,6172.0,0.8271224886584575
pedestrian_1-1-pt_1329_L_AM83U,18535.0,25200.0,6666.0,pedestrian_1-1-pt_1329,LTE,6666.0,1.0
pedestrian_1-1-pt_1420_L_0043I,19045.0,25200.0,6156.0,pedestrian_1-1-pt_1420,LTE,6156.0,1.0
pedestrian_1-1-pt_1473_L_1I89A,19369.0,24002.0,4634.0,pedestrian_1-1-pt_1473,LTE,5832.0,0.7945816186556928
pedestrian_1-1-pt_1497_L_NZSOK,22149.0,24714.0,2566.0,pedestrian_1-1-pt_1497,LTE,5453.0,0.47056666055382357
pedestrian_1-1-pt_150_L_O6UJD,20984.0,23682.0,2699.0,pedestrian_1-1-pt_150,LTE,5891.0,0.4581565099304023
pedestrian_1-1-pt_1560_L_6P9GC,21467.0,25200.0,3734.0,pedestrian_1-1-pt_1560,LTE,6694.0,0.5578129668359725
pedestrian_1-1-pt_1601_L_P4TBS,19190.0,25200.0,6011.0,pedestrian_1-1-pt_1601,LTE,6011.0,1.0
pedestrian_1-1-pt_1669_L_T7T5K,18144.0,24896.0,6753.0,pedestrian_1-1-pt_1669,LTE,7057.0,0.9569222049029332
pedestrian_1-1-pt_1700_L_5JKQ2,19430.0,24927.0,5498.0,pedestrian_1-1-pt_1700,LTE,5771.0,0.9526945070178479
pedestrian_1-1-pt_1714_L_O562O,18687.0,22363.0,3677.0,pedestrian_1-1-pt_1714,LTE,6514.0,0.5644765121277249
pedestrian_1-1-pt_1723_L_5TXW3,20682.0,23555.0,2874.0,pedestrian_1-1-pt_1723,LTE,5437.0,0.5286003310649255
pedestrian_1-1-pt_1747_L_30B1C,19696.0,22591.0,2896.0,pedestrian_1-1-pt_1747,LTE,6993.0,0.4141284141284141
pedestrian_1-1-pt_1798_L_6X94J,20471.0,22974.0,2504.0,pedestrian_1-1-pt_1798,LTE,5574.0,0.4492285611768927
pedestrian_1-1-pt_182_L_LVIP7,19060.0,23125.0,4066.0,pedestrian_1-1-pt_182,LTE,6141.0,0.6621071486728546
pedestrian_1-1-pt_1966_L_CU9N6,18875.0,23167.0,4293.0,pedestrian_1-1-pt_1966,LTE,6326.0,0.6786278849193803
pedestrian_1-1-pt_2013_L_F6SNM,19118.0,21726.0,2609.0,pedestrian_1-1-pt_2013,LTE,6083.0,0.4289002137103403
pedestrian_1-1-pt_2032_L_OBX8R,18740.0,25200.0,6461.0,pedestrian_1-1-pt_2032,LTE,6461.0,1.0
pedestrian_1-1-pt_2129_L_7U8AS,19790.0,25200.0,5411.0,pedestrian_1-1-pt_2129,LTE,6484.0,0.8345157310302282
pedestrian_1-1-pt_2162_L_LL4BJ,20683.0,23248.0,2566.0,pedestrian_1-1-pt_2162,LTE,6850.0,0.3745985401459854
pedestrian_1-1-pt_2170_L_9TY89,18672.0,25200.0,6529.0,pedestrian_1-1-pt_2170,LTE,6529.0,1.0
pedestrian_1-1-pt_2297_L_00SO8,19486.0,25200.0,5715.0,pedestrian_1-1-pt_2297,LTE,5715.0,1.0
pedestrian_1-1-pt_2342_L_1UYQ0,19731.0,25200.0,5470.0,pedestrian_1-1-pt_2342,LTE,6929.0,0.7894357050079377
pedestrian_1-1-pt_2369_L_IRGAM,20350.0,23176.0,2827.0,pedestrian_1-1-pt_2369,LTE,6654.0,0.42485722873459575
pedestrian_1-1-pt_2424_L_CWONF,19481.0,25200.0,5720.0,pedestrian_1-1-pt_2424,LTE,5720.0,1.0
pedestrian_1-1-pt_2425_L_9GRDS,18937.0,24425.0,5489.0,pedestrian_1-1-pt_2425,LTE,6264.0,0.8762771392081737
pedestrian_1-1-pt_2431_L_KP35L,18743.0,25200.0,6458.0,pedestrian_1-1-pt_2431,LTE,6458.0,1.0
pedestrian_1-1-pt_2503_L_QSQSP,19742.0,25200.0,5459.0,pedestrian_1-1-pt_2503,LTE,5459.0,1.0
pedestrian_1-1-pt_2529_L_UHGG5,18564.0,25200.0,6637.0,pedestrian_1-1-pt_2529,LTE,6637.0,1.0
pedestrian_1-1-pt_255_L_OGPTB,18079.0,22276.0,4198.0,pedestrian_1-1-pt_255,LTE,7122.0,0.5894411682111766
pedestrian_1-1-pt_2606_L_TM7LN,18514.0,25200.0,6687.0,pedestrian_1-1-pt_2606,LTE,6687.0,1.0
pedestrian_1-1-pt_2718_L_QNWBT,19195.0,25200.0,6006.0,pedestrian_1-1-pt_2718,LTE,6006.0,1.0
pedestrian_1-1-pt_2770_L_ZIBAH,18074.0,25200.0,7127.0,pedestrian_1-1-pt_2770,LTE,7127.0,1.0
pedestrian_1-1-pt_2808_L_S0ND8,22013.0,25200.0,3188.0,pedestrian_1-1-pt_2808,LTE,5418.0,0.5884090070136582
pedestrian_1-1-pt_2820_L_CDQCP,18717.0,24128.0,5412.0,pedestrian_1-1-pt_2820,LTE,6484.0,0.8346699568167798
pedestrian_1-1-pt_2834_L_8TNI2,19094.0,24460.0,5367.0,pedestrian_1-1-pt_2834,LTE,6107.0,0.8788275749140331
pedestrian_1-1-pt_2844_L_LJLMW,18372.0,25200.0,6829.0,pedestrian_1-1-pt_2844,LTE,6829.0,1.0
pedestrian_1-1-pt_2863_L_OYE3E,21146.0,25200.0,4055.0,pedestrian_1-1-pt_2863,LTE,6429.0,0.6307357287291958
pedestrian_1-1-pt_2880_L_GU49X,21579.0,24495.0,2917.0,pedestrian_1-1-pt_2880,LTE,5898.0,0.49457443201085116
pedestrian_1-1-pt_2920_L_Q79JB,20247.0,25200.0,4954.0,pedestrian_1-1-pt_2920,LTE,6124.0,0.8089483997387329
pedestrian_1-1-pt_2952_L_TX3JB,20712.0,25200.0,4489.0,pedestrian_1-1-pt_2952,LTE,5567.0,0.8063589006646309
pedestrian_1-1-pt_2961_L_OE8MI,19115.0,25200.0,6086.0,pedestrian_1-1-pt_2961,LTE,6086.0,1.0
pedestrian_1-1-pt_297_L_7YZWU,20248.0,24335.0,4088.0,pedestrian_1-1-pt_297,LTE,6055.0,0.6751445086705202
pedestrian_1-1-pt_3067_L_YZGD2,19288.0,24129.0,4842.0,pedestrian_1-1-pt_3067,LTE,5913.0,0.8188736681887366
